Integration Number,Time (s),Max Area Error
0,0.296000,56.0654762622916
1,0.026000,27.78537500695914
2,0.031000,13.72391834648351
3,0.041000,8.042523679630673
4,0.051000,4.972142192179784
5,0.041000,3.143216406577463
6,0.036000,1.878506109043141
7,0.034000,1.019468672120278
8,0.041000,0.43517041601003
9,0.032000,0.2083354615554334
10,0.030000,0.07077614915211639
11,0.038000,0.02146050298614322
12,0.020000,0.01019531973103516
13,0.024000,0.005367846853374436
14,0.022000,0.0037556960904781
15,0.032000,0.001243102238475569
16,0.021000,0.0005706869840755857
17,0.016000,0.0004646374256174202
18,0.034000,0.0001287785413897069
19,0.013000,0.0001231883310655046
20,0.036000,3.981651557971588e-05
21,0.020000,3.173287258495527e-05
22,0.023000,1.428242936318824e-05
23,0.024000,4.431879843558306e-06
24,0.020000,3.098690277258953e-06
25,0.025000,1.760292601016289e-06
26,0.029000,8.33724790094692e-07
27,0.036000,2.671317058666745e-07
28,0.028000,2.219073538256566e-07
29,0.029000,6.149342568484428e-08
30,0.020000,6.137312436038656e-08
31,0.029000,2.759230333104767e-08
32,0.042000,1.294580864730221e-08
33,0.030000,4.507989315172267e-09
34,0.021000,3.429161399282066e-09
35,0.020000,3.087638367205159e-09
36,0.034000,1.223628309787728e-09
37,0.027000,6.514913053479177e-10
38,0.033000,1.489395273779337e-10
39,0.017000,1.505739977147869e-10
40,0.046000,1.505799929191198e-10
41,0.173000,1.505797708745149e-10
42,0.607000,1.505797708745149e-10
43,0.618000,1.505797708745149e-10
44,0.701000,1.505797708745149e-10
45,1.085000,8.010458962814937e-11
46,1.093000,1.985278608174212e-11
47,0.938000,4.807265696626928e-12
48,0.840000,2.243205621255129e-12
49,1.048000,9.091616348655407e-13
50,0.923000,3.222977440486829e-13
51,1.397000,1.978417429882029e-13
52,2.026000,6.505906924303417e-14
53,1.887000,3.708144902248023e-14
54,1.680000,2.031708135064036e-14
55,1.417000,6.328271240363392e-15
56,1.344000,1.088018564132653e-14
57,1.289000,6.217248937900877e-15
58,1.638000,6.439293542825908e-15
59,2.347000,3.552713678800501e-15
60,1.710000,3.885780586188048e-15
61,2.604000,5.440092820663267e-15
62,1.390000,3.885780586188048e-15
63,2.098000,6.328271240363392e-15
64,1.723000,6.661338147750939e-15
65,3.091000,7.327471962526033e-15
66,2.701000,7.327471962526033e-15
67,3.543000,7.549516567451064e-15
68,2.971000,6.883382752675971e-15
69,2.206000,5.440092820663267e-15
70,3.316000,6.661338147750939e-15
71,4.697000,4.996003610813204e-15
72,8.098000,4.218847493575595e-15
73,4.970000,3.774758283725532e-15
74,3.915000,6.883382752675971e-15
75,3.440000,7.327471962526033e-15
76,4.015000,6.661338147750939e-15
77,5.050000,6.883382752675971e-15
78,3.473000,8.992806499463768e-15
79,3.462000,8.215650382226158e-15
80,3.334000,6.661338147750939e-15
81,1.536000,4.996003610813204e-15
82,2.547000,6.439293542825908e-15
83,2.634000,5.329070518200751e-15
84,1.916000,6.328271240363392e-15
85,2.482000,5.995204332975845e-15
86,2.645000,6.661338147750939e-15
87,2.468000,6.883382752675971e-15
88,2.508000,7.549516567451064e-15
89,2.830000,7.882583474838611e-15
90,2.782000,7.882583474838611e-15
91,2.669000,8.215650382226158e-15
92,2.598000,7.549516567451064e-15
93,2.603000,7.882583474838611e-15
94,3.181000,8.548717289613705e-15
95,3.715000,7.882583474838611e-15
96,4.110000,7.882583474838611e-15
97,3.530000,7.882583474838611e-15
98,2.777000,7.66053886991358e-15
99,3.538000,7.66053886991358e-15
