Integration Number,Time (s),Max Area Error
0,0.375000,0.292209607012323
1,0.207000,0.08598159183128895
2,0.297000,0.08598159183129894
3,0.164000,0.007895590839476885
4,0.105000,0.007895590839475997
5,0.099000,0.007895590839476885
6,0.112000,0.007895590839476885
7,0.291000,0.002895623875324715
8,0.266000,0.001106393397320993
9,0.283000,0.000442583129003582
10,0.653000,0.0001835371378779982
11,0.362000,7.501387013364447e-05
12,0.311000,3.009884344851166e-05
13,0.306000,1.231550374836132e-05
14,0.235000,5.171524919189707e-06
15,0.211000,2.183089093277246e-06
16,0.255000,8.92088445336725e-07
17,0.230000,3.641676613597156e-07
18,0.241000,1.591314848781167e-07
19,0.355000,6.316104728121275e-08
20,0.400000,2.605219817652937e-08
21,0.282000,1.074643352083626e-08
22,0.214000,4.63554727936355e-09
23,0.333000,1.89450588550244e-09
24,0.259000,7.650300393180487e-10
25,0.214000,3.138990178896961e-10
26,0.248000,1.366604607255795e-10
27,0.360000,5.560951699123962e-11
28,0.319000,2.248423669470867e-11
29,0.268000,8.976375198699316e-12
30,0.301000,3.82938125653709e-12
31,0.295000,1.658895243394909e-12
32,0.290000,6.981082378842984e-13
33,0.235000,2.974287482970794e-13
34,0.246000,9.547918011776346e-14
35,0.290000,3.563815909046752e-14
36,0.257000,1.554312234475219e-14
37,0.298000,1.84297022087776e-14
38,0.707000,8.881784197001252e-15
39,0.770000,6.106226635438361e-15
40,0.674000,6.106226635438361e-15
41,0.641000,6.106226635438361e-15
42,1.540000,3.419486915845482e-14
43,1.021000,1.48769885299771e-14
44,2.116000,2.065014825802791e-14
45,2.218000,3.153033389935445e-14
46,3.305000,3.108624468950438e-14
47,2.310000,3.952393967665557e-14
48,1.338000,4.551914400963142e-14
49,2.777000,2.431388423929093e-14
50,3.042000,9.325873406851315e-15
51,1.659000,2.131628207280301e-14
52,2.142000,1.84297022087776e-14
53,2.099000,4.329869796038111e-15
54,1.287000,9.880984919163893e-15
55,3.086000,1.354472090042691e-14
56,2.415000,5.551115123125783e-15
57,1.347000,3.108624468950438e-15
58,1.085000,1.754152378907747e-14
59,3.788000,2.753353101070388e-14
60,3.162000,1.221245327087672e-14
61,4.246000,7.993605777301127e-15
62,4.689000,7.66053886991358e-15
63,6.150000,3.885780586188048e-15
64,4.065000,1.4210854715202e-14
65,2.922000,1.088018564132653e-14
66,3.164000,1.665334536937735e-14
67,3.362000,2.153832667772804e-14
68,4.158000,3.486100297322992e-14
69,3.663000,5.473399511402022e-14
70,3.896000,4.818367926873179e-14
71,4.400000,2.109423746787797e-14
72,5.817000,1.199040866595169e-14
73,5.556000,9.992007221626409e-15
74,4.075000,8.770761894538737e-15
75,3.796000,4.707345624410664e-14
76,2.598000,4.807265696626928e-14
77,5.053000,1.643130076445232e-14
78,3.486000,1.232347557333924e-14
79,3.868000,5.88418203051333e-15
80,3.241000,7.549516567451064e-15
81,3.510000,6.772360450213455e-15
82,3.101000,2.264854970235319e-14
83,4.797000,4.130029651605582e-14
84,3.608000,3.141931159689193e-14
85,3.323000,1.199040866595169e-14
86,2.837000,5.773159728050814e-15
87,2.250000,1.598721155460225e-14
88,4.023000,2.309263891220326e-14
89,3.538000,2.875477633779155e-14
90,3.623000,5.329070518200751e-15
91,3.369000,1.931788062847772e-14
92,3.806000,8.881784197001252e-15
93,3.248000,1.63202784619898e-14
94,5.560000,1.176836406102666e-14
95,8.661000,1.77635683940025e-14
96,4.091000,2.886579864025407e-14
97,3.343000,2.065014825802791e-14
98,2.786000,1.088018564132653e-14
99,2.892000,1.454392162258955e-14
