Integration Number,Time (s),Max Area Error
0,0.149000,1.148496377316893
1,0.075000,0.5969423379690584
2,0.054000,0.2885475144529528
3,0.042000,0.06198589888666062
4,0.029000,0.01578225798199373
5,0.018000,0.00539553427549988
6,0.019000,0.005395534275500546
7,0.059000,0.005395534275500546
8,0.302000,0.001733172877174227
9,0.254000,0.0005814638075585243
10,0.204000,0.0001947684467389355
11,0.205000,7.624219349122718e-05
12,0.175000,2.966248672886529e-05
13,0.217000,1.174065611231345e-05
14,0.212000,4.597411615625546e-06
15,0.224000,1.808309450845869e-06
16,0.291000,7.089747828814552e-07
17,0.199000,2.78805094233725e-07
18,0.238000,1.074430824310468e-07
19,0.207000,4.249144502921354e-08
20,0.176000,1.67047715660118e-08
21,0.234000,6.578864231165937e-09
22,0.237000,2.582503322301477e-09
23,0.318000,1.013796380178178e-09
24,0.233000,3.975209050821604e-10
25,0.231000,1.562123763676482e-10
26,0.227000,6.122591322821336e-11
27,0.222000,2.404487720042425e-11
28,0.176000,9.354739205491569e-12
29,0.218000,3.674505144601881e-12
30,0.175000,1.441735619778228e-12
31,0.226000,5.678790770957676e-13
32,0.249000,2.238209617644316e-13
33,0.211000,8.848477506262498e-14
34,0.225000,3.486100297322992e-14
35,0.392000,1.465494392505207e-14
36,0.333000,5.995204332975845e-15
37,0.364000,3.108624468950438e-15
38,0.361000,2.442490654175344e-15
39,0.302000,2.331468351712829e-15
40,0.347000,2.220446049250313e-15
41,0.285000,2.442490654175344e-15
42,0.663000,3.108624468950438e-15
43,0.618000,3.108624468950438e-15
44,0.552000,3.108624468950438e-15
45,0.613000,3.108624468950438e-15
46,1.096000,2.220446049250313e-15
47,2.352000,1.998401444325282e-15
48,1.534000,1.554312234475219e-15
49,1.197000,1.665334536937735e-15
50,1.080000,1.554312234475219e-15
51,1.868000,1.77635683940025e-15
52,2.282000,1.554312234475219e-15
53,1.869000,1.554312234475219e-15
54,1.462000,1.332267629550188e-15
55,1.251000,1.554312234475219e-15
56,1.350000,1.332267629550188e-15
57,2.038000,1.332267629550188e-15
58,2.456000,1.332267629550188e-15
59,1.233000,1.332267629550188e-15
60,1.762000,1.554312234475219e-15
61,3.756000,2.220446049250313e-15
62,2.200000,2.109423746787797e-15
63,3.797000,1.77635683940025e-15
64,1.311000,1.77635683940025e-15
65,1.967000,2.220446049250313e-15
66,1.899000,1.77635683940025e-15
67,2.527000,2.442490654175344e-15
68,1.447000,2.442490654175344e-15
69,1.316000,2.220446049250313e-15
70,2.329000,1.998401444325282e-15
71,2.933000,1.998401444325282e-15
72,9.563000,1.998401444325282e-15
73,7.812000,1.998401444325282e-15
74,1.603000,1.998401444325282e-15
75,5.353000,1.998401444325282e-15
76,4.416000,1.998401444325282e-15
77,19.722000,1.998401444325282e-15
78,9.194000,2.442490654175344e-15
79,8.504000,1.998401444325282e-15
80,4.114000,1.998401444325282e-15
81,2.947000,1.998401444325282e-15
82,2.628000,1.998401444325282e-15
83,3.322000,1.998401444325282e-15
84,2.798000,1.998401444325282e-15
85,3.971000,1.998401444325282e-15
86,3.510000,1.998401444325282e-15
87,4.995000,1.998401444325282e-15
88,3.194000,1.998401444325282e-15
89,2.799000,1.998401444325282e-15
90,4.093000,1.998401444325282e-15
91,3.525000,1.998401444325282e-15
92,3.106000,1.998401444325282e-15
93,3.142000,1.998401444325282e-15
94,3.114000,1.998401444325282e-15
95,2.556000,1.998401444325282e-15
96,2.114000,1.998401444325282e-15
97,2.468000,1.998401444325282e-15
98,2.443000,1.998401444325282e-15
99,2.579000,2.220446049250313e-15
