Integration Number,Time (s),Max Area Error
0,0.194000,0.5803645986089325
1,0.072000,0.2418427423646357
2,0.036000,0.09045687033381
3,0.028000,0.03313832909677283
4,0.019000,0.006271310652719353
5,0.018000,0.006271310652719353
6,0.078000,0.006271310652719353
7,0.353000,0.0008323183995272432
8,0.408000,0.0001326383633322159
9,0.289000,2.352869761523824e-05
10,0.297000,4.02034414903607e-06
11,0.275000,7.017345167170674e-07
12,0.289000,1.19146994381758e-07
13,0.271000,2.091253981095775e-08
14,0.291000,3.519301183807499e-09
15,0.313000,6.267424357275786e-10
16,0.280000,1.040469932434007e-10
17,0.319000,1.86133330970506e-11
18,0.329000,2.988942426895846e-12
19,0.287000,5.544453784978032e-13
20,0.304000,8.426592756904938e-14
21,0.305000,1.743050148661496e-14
22,0.366000,1.554312234475219e-15
23,0.285000,1.110223024625157e-15
24,0.314000,6.661338147750939e-16
25,0.438000,6.661338147750939e-16
26,0.954000,6.661338147750939e-16
27,0.918000,6.661338147750939e-16
28,1.144000,6.661338147750939e-16
29,0.890000,6.661338147750939e-16
30,1.321000,6.661338147750939e-16
31,1.975000,6.661338147750939e-16
32,2.812000,6.661338147750939e-16
33,4.377000,6.661338147750939e-16
34,2.307000,5.551115123125783e-16
35,9.101000,5.551115123125783e-16
36,9.451000,5.551115123125783e-16
37,19.164000,5.551115123125783e-16
38,13.497000,5.551115123125783e-16
39,10.546000,5.551115123125783e-16
40,9.038000,5.551115123125783e-16
41,9.276000,5.551115123125783e-16
42,8.791000,5.551115123125783e-16
43,12.187000,5.551115123125783e-16
44,12.317000,5.551115123125783e-16
45,11.699000,5.551115123125783e-16
46,16.459000,5.551115123125783e-16
47,12.520000,5.551115123125783e-16
48,36.511000,5.551115123125783e-16
49,10.464000,5.551115123125783e-16
50,9.247000,5.551115123125783e-16
51,10.735000,5.551115123125783e-16
52,10.395000,5.551115123125783e-16
53,9.227000,5.551115123125783e-16
54,11.819000,5.551115123125783e-16
55,8.539000,5.551115123125783e-16
56,9.469000,5.551115123125783e-16
57,9.542000,5.551115123125783e-16
58,8.948000,5.551115123125783e-16
59,10.876000,5.551115123125783e-16
60,13.054000,5.551115123125783e-16
61,13.061000,5.551115123125783e-16
62,13.464000,5.551115123125783e-16
63,15.935000,5.551115123125783e-16
64,12.153000,5.551115123125783e-16
65,10.742000,5.551115123125783e-16
66,10.145000,5.551115123125783e-16
67,10.971000,5.551115123125783e-16
68,10.344000,5.551115123125783e-16
69,15.744000,5.551115123125783e-16
70,16.646000,5.551115123125783e-16
71,13.221000,5.551115123125783e-16
72,11.011000,5.551115123125783e-16
73,19.301000,5.551115123125783e-16
74,15.011000,5.551115123125783e-16
75,15.931000,5.551115123125783e-16
76,22.628000,5.551115123125783e-16
77,11.379000,5.551115123125783e-16
78,15.960000,5.551115123125783e-16
79,20.363000,5.551115123125783e-16
80,11.057000,5.551115123125783e-16
81,12.239000,5.551115123125783e-16
82,16.378000,5.551115123125783e-16
83,10.849000,5.551115123125783e-16
84,10.105000,5.551115123125783e-16
85,9.938000,5.551115123125783e-16
86,10.451000,5.551115123125783e-16
87,10.024000,5.551115123125783e-16
88,11.609000,5.551115123125783e-16
89,11.868000,5.551115123125783e-16
90,10.462000,5.551115123125783e-16
91,13.789000,5.551115123125783e-16
92,9.883000,5.551115123125783e-16
93,11.589000,5.551115123125783e-16
94,10.592000,5.551115123125783e-16
95,9.917000,5.551115123125783e-16
96,9.847000,5.551115123125783e-16
97,10.869000,5.551115123125783e-16
98,10.452000,5.551115123125783e-16
99,11.990000,5.551115123125783e-16
