Integration Number,Time (s),Max Area Error
0,0.169000,1.504597715191647
1,0.035000,0.5769591902934439
2,0.023000,0.1983398546190103
3,0.020000,0.1100390168141705
4,0.020000,0.03461412955069632
5,0.020000,0.01690395104429698
6,0.021000,0.004576044176482608
7,0.017000,0.002785396978135291
8,0.017000,0.001442736804521783
9,0.018000,0.0007574820054554454
10,0.025000,0.0003319634135789951
11,0.016000,0.0002733942935093658
12,0.021000,0.000107420475405906
13,0.023000,4.811662974790742e-05
14,0.019000,2.281630777178911e-05
15,0.020000,1.102536624686401e-05
16,0.014000,6.948191849209806e-06
17,0.025000,3.984372529242108e-06
18,0.016000,1.854373776311036e-06
19,0.024000,7.832131629914585e-07
20,0.017000,5.486835430446035e-07
21,0.027000,1.293072009467267e-07
22,0.016000,1.081329861207792e-07
23,0.024000,4.695448341252018e-08
24,0.018000,2.35910502244252e-08
25,0.021000,6.70309718842077e-09
26,0.013000,6.45083897410359e-09
27,0.038000,3.598962683426521e-09
28,0.017000,1.284423012393177e-09
29,0.016000,9.582181714762328e-10
30,0.033000,6.644824690482665e-10
31,0.019000,1.988806896946471e-10
32,0.023000,9.461975647440113e-11
33,0.016000,6.461453594397426e-11
34,0.023000,1.989386433365326e-11
35,0.019000,1.140776362262841e-11
36,0.021000,6.181277711903022e-12
37,0.019000,2.487121619765276e-12
38,0.013000,2.073896609999792e-12
39,0.026000,7.087663789206999e-13
40,0.015000,3.681499549657019e-13
41,0.019000,1.789679515695752e-13
42,0.019000,9.381384558082573e-14
43,0.021000,4.174438572590589e-14
44,0.017000,2.464695114667848e-14
45,0.020000,1.221245327087672e-14
46,0.021000,9.103828801926284e-15
47,0.028000,1.06581410364015e-14
48,0.046000,1.06581410364015e-14
49,0.165000,1.06581410364015e-14
50,0.600000,1.06581410364015e-14
51,0.569000,1.06581410364015e-14
52,0.568000,1.06581410364015e-14
53,0.567000,1.06581410364015e-14
54,1.060000,1.088018564132653e-14
55,1.532000,1.088018564132653e-14
56,1.096000,1.110223024625157e-14
57,1.032000,1.110223024625157e-14
58,1.014000,1.088018564132653e-14
59,2.027000,1.110223024625157e-14
60,1.911000,1.110223024625157e-14
61,1.559000,1.110223024625157e-14
62,1.357000,1.110223024625157e-14
63,2.112000,1.110223024625157e-14
64,1.665000,1.110223024625157e-14
65,1.148000,1.110223024625157e-14
66,1.592000,1.110223024625157e-14
67,1.645000,1.110223024625157e-14
68,1.309000,1.110223024625157e-14
69,2.252000,1.13242748511766e-14
70,1.806000,1.110223024625157e-14
71,1.634000,1.110223024625157e-14
72,1.116000,1.110223024625157e-14
73,1.105000,1.13242748511766e-14
74,2.389000,1.088018564132653e-14
75,3.088000,1.088018564132653e-14
76,3.373000,1.088018564132653e-14
77,3.342000,1.110223024625157e-14
78,3.110000,1.088018564132653e-14
79,2.212000,1.088018564132653e-14
80,2.245000,1.088018564132653e-14
81,2.374000,1.088018564132653e-14
82,2.607000,1.088018564132653e-14
83,2.669000,1.110223024625157e-14
84,3.307000,1.110223024625157e-14
85,2.902000,1.110223024625157e-14
86,2.735000,1.154631945610163e-14
87,5.610000,1.13242748511766e-14
88,3.785000,1.110223024625157e-14
89,3.384000,1.110223024625157e-14
90,3.574000,1.13242748511766e-14
91,3.200000,1.13242748511766e-14
92,3.769000,1.13242748511766e-14
93,3.945000,1.13242748511766e-14
94,3.163000,1.13242748511766e-14
95,3.130000,1.13242748511766e-14
96,2.172000,1.13242748511766e-14
97,4.297000,1.13242748511766e-14
98,2.453000,1.13242748511766e-14
99,1.770000,1.13242748511766e-14
