Integration Number,Time (s),Max Area Error
0,0.084000,4.157512604806447
1,0.018000,1.407529894502589
2,0.018000,0.2798290037471352
3,0.014000,0.1105702019553729
4,0.014000,0.06377779836119224
5,0.012000,0.02730177231434139
6,0.017000,0.0112549216510025
7,0.012000,0.005135635697604002
8,0.013000,0.002847553338064635
9,0.012000,0.001801263291239419
10,0.013000,0.001007869146724127
11,0.021000,0.0002375939520120607
12,0.011000,0.0002375939520116166
13,0.026000,0.0002375939520116166
14,0.093000,0.0002375939520113945
15,0.355000,0.0002375939520116166
16,0.442000,0.0001227718744206685
17,0.504000,4.814023297927683e-05
18,0.474000,1.960252072030766e-05
19,0.426000,7.968317713880069e-06
20,0.487000,3.247066196476744e-06
21,0.503000,1.299414346345173e-06
22,0.451000,5.163085685655489e-07
23,0.383000,2.066434123815242e-07
24,0.391000,8.623783043226751e-08
25,0.377000,3.469766718389167e-08
26,0.376000,1.555220441318284e-08
27,0.430000,6.057899071265638e-09
28,0.442000,2.345085126087554e-09
29,0.430000,9.135592282660809e-10
30,0.382000,3.58376994746834e-10
31,0.400000,1.433191343380713e-10
32,0.635000,5.689393400842846e-11
33,0.489000,2.269606724780715e-11
34,0.384000,1.283839701216039e-11
35,0.396000,5.060396546241464e-12
36,0.484000,2.045474900569388e-12
37,0.496000,8.266720641358916e-13
38,0.536000,3.33288951992472e-13
39,0.444000,1.327826737451687e-13
40,0.390000,5.351274978693255e-14
41,0.471000,2.109423746787797e-14
42,0.422000,7.549516567451064e-15
43,0.394000,4.218847493575595e-15
44,0.492000,4.218847493575595e-15
45,0.536000,3.774758283725532e-15
46,0.810000,5.329070518200751e-15
47,0.619000,2.442490654175344e-15
48,0.470000,1.665334536937735e-15
49,0.577000,1.887379141862766e-15
50,0.866000,1.77635683940025e-15
51,0.824000,1.665334536937735e-15
52,0.864000,1.665334536937735e-15
53,0.713000,1.665334536937735e-15
54,0.737000,1.665334536937735e-15
55,0.609000,1.998401444325282e-15
56,0.685000,2.109423746787797e-15
57,0.495000,2.220446049250313e-15
58,0.618000,2.664535259100376e-15
59,0.704000,1.443289932012704e-15
60,4.171000,1.665334536937735e-15
61,0.570000,1.998401444325282e-15
62,0.692000,1.998401444325282e-15
63,0.841000,2.109423746787797e-15
64,0.539000,1.77635683940025e-15
65,0.567000,1.887379141862766e-15
66,0.989000,2.220446049250313e-15
67,1.384000,1.332267629550188e-15
68,1.071000,1.332267629550188e-15
69,0.527000,1.443289932012704e-15
70,0.573000,1.443289932012704e-15
71,0.910000,1.554312234475219e-15
72,0.951000,1.887379141862766e-15
73,1.310000,1.887379141862766e-15
74,1.176000,1.77635683940025e-15
75,1.072000,1.77635683940025e-15
76,0.980000,1.554312234475219e-15
77,1.021000,1.554312234475219e-15
78,1.027000,1.554312234475219e-15
79,1.132000,1.554312234475219e-15
80,1.138000,1.554312234475219e-15
81,0.966000,1.554312234475219e-15
82,1.317000,1.443289932012704e-15
83,2.093000,1.554312234475219e-15
84,4.569000,2.331468351712829e-15
85,1.109000,2.331468351712829e-15
86,0.698000,1.887379141862766e-15
87,0.620000,9.992007221626409e-16
88,1.032000,1.443289932012704e-15
89,1.008000,1.443289932012704e-15
90,0.959000,1.443289932012704e-15
91,1.835000,1.554312234475219e-15
92,2.222000,1.998401444325282e-15
93,0.883000,2.442490654175344e-15
94,0.511000,1.665334536937735e-15
95,0.505000,2.109423746787797e-15
96,0.744000,1.77635683940025e-15
97,1.024000,1.665334536937735e-15
98,0.584000,1.77635683940025e-15
99,1.011000,1.665334536937735e-15
