Integration Number,Time (s),Max Area Error
0,0.052000,1.813124075600226
1,0.045000,0.5765506723923721
2,0.039000,0.2270706530345432
3,0.036000,0.09084518231402594
4,0.039000,0.02245759967407746
5,0.024000,0.01881182516405433
6,0.042000,0.007233004620110783
7,0.024000,0.004828370249621461
8,0.036000,0.002827236749475714
9,0.032000,0.000916629815211456
10,0.029000,0.0005034582185515779
11,0.034000,0.0003161939876956676
12,0.035000,0.0001320687423431721
13,0.030000,7.352275794914043e-05
14,0.032000,3.84097532135641e-05
15,0.028000,1.665192956012973e-05
16,0.033000,7.536571359434419e-06
17,0.028000,4.229507554187606e-06
18,0.034000,1.998144630421805e-06
19,0.032000,8.763828465152557e-07
20,0.031000,6.160768957208518e-07
21,0.037000,2.364720821379507e-07
22,0.030000,1.346658293766012e-07
23,0.038000,6.006699493354972e-08
24,0.032000,3.121764247104863e-08
25,0.034000,1.741824706691375e-08
26,0.035000,9.040527881865046e-09
27,0.036000,2.675476284963452e-09
28,0.043000,2.860617076549943e-09
29,0.107000,2.860617298594548e-09
30,0.258000,2.860617298594548e-09
31,0.478000,2.860617298594548e-09
32,0.301000,2.860617298594548e-09
33,0.466000,9.818916790749199e-10
34,0.973000,3.503202172794317e-10
35,0.589000,1.288962270251659e-10
36,0.480000,4.73188155325488e-11
37,0.524000,1.767452850742757e-11
38,0.500000,7.037925797703792e-12
39,0.528000,2.759237283100902e-12
40,0.458000,1.139088823265411e-12
41,0.573000,4.268807529683727e-13
42,0.518000,1.696420781627239e-13
43,0.470000,6.80566714095221e-14
44,0.502000,3.019806626980426e-14
45,0.503000,1.465494392505207e-14
46,0.551000,9.769962616701378e-15
47,0.495000,9.103828801926284e-15
48,0.515000,8.659739592076221e-15
49,0.583000,9.547918011776346e-15
50,0.616000,7.993605777301127e-15
51,0.713000,8.43769498715119e-15
52,0.806000,8.43769498715119e-15
53,0.638000,8.659739592076221e-15
54,0.801000,7.549516567451064e-15
55,0.761000,7.549516567451064e-15
56,0.634000,7.993605777301127e-15
57,0.615000,7.993605777301127e-15
58,0.840000,7.993605777301127e-15
59,0.862000,5.995204332975845e-15
60,0.834000,5.995204332975845e-15
61,0.875000,5.995204332975845e-15
62,0.918000,5.995204332975845e-15
63,0.926000,5.995204332975845e-15
64,0.878000,5.995204332975845e-15
65,0.838000,5.995204332975845e-15
66,0.777000,5.773159728050814e-15
67,0.827000,5.773159728050814e-15
68,0.717000,5.773159728050814e-15
69,0.889000,5.551115123125783e-15
70,0.866000,5.551115123125783e-15
71,1.034000,5.773159728050814e-15
72,0.764000,5.995204332975845e-15
73,0.675000,5.773159728050814e-15
74,0.738000,5.551115123125783e-15
75,0.780000,5.773159728050814e-15
76,0.676000,5.551115123125783e-15
77,0.886000,5.551115123125783e-15
78,0.739000,5.773159728050814e-15
79,0.796000,5.773159728050814e-15
80,0.858000,5.551115123125783e-15
81,0.963000,5.551115123125783e-15
82,0.997000,5.329070518200751e-15
83,0.897000,5.551115123125783e-15
84,0.872000,5.329070518200751e-15
85,1.004000,4.884981308350689e-15
86,0.977000,4.884981308350689e-15
87,0.973000,4.884981308350689e-15
88,0.971000,4.884981308350689e-15
89,0.971000,4.884981308350689e-15
90,0.924000,4.884981308350689e-15
91,0.949000,4.662936703425657e-15
92,1.015000,4.662936703425657e-15
93,0.915000,4.662936703425657e-15
94,0.929000,4.662936703425657e-15
95,0.949000,4.662936703425657e-15
96,0.972000,5.10702591327572e-15
97,0.950000,4.662936703425657e-15
98,1.035000,4.662936703425657e-15
99,1.120000,4.662936703425657e-15
