Integration Number,Time (s),Max Area Error
0,0.065000,58.12200885741318
1,0.056000,29.69766900165854
2,0.054000,15.67259830752849
3,0.057000,6.675101447783266
4,0.049000,3.111778129229525
5,0.039000,1.316755145783326
6,0.041000,1.350369229445823
7,0.073000,1.069612773365174
8,0.075000,0.9082202530878205
9,0.070000,0.684199390360267
10,0.068000,0.548144071230461
11,0.063000,0.4551965334377104
12,0.064000,0.4186532316619327
13,0.062000,0.3775712446322655
14,0.063000,0.3310140360952419
15,0.067000,0.2871792100971428
16,0.070000,0.245339323379519
17,0.064000,0.2070399257723217
18,0.066000,0.2064041407560109
19,0.068000,0.1506103775052701
20,0.082000,0.1902116707359329
21,0.167000,0.08072152260589216
22,0.181000,0.07632679001634535
23,0.158000,0.0307858366111522
24,0.196000,0.03419425654000174
25,1.007000,0.006872991561260422
