Integration Number,Time (s),Max Area Error
0,0.119000,12.86649368971342
1,0.045000,3.218192685120894
2,0.038000,1.059504563667705
3,0.034000,0.6669864002361683
4,0.032000,0.4248853166947989
5,0.032000,0.158645083361745
6,0.031000,0.02543191589791771
7,0.033000,0.01550563977285513
8,0.033000,0.007130470792219956
9,0.031000,0.002748408076555076
10,0.033000,0.001496151302820659
11,0.034000,0.0007545208947239423
12,0.033000,0.0004682424507217453
13,0.032000,0.0002035178997830123
14,0.032000,9.469601328648825e-05
15,0.031000,5.831138428247229e-05
16,0.033000,2.298703930825319e-05
17,0.030000,1.224886739548126e-05
18,0.028000,1.165051822904495e-05
19,0.033000,3.392278092428924e-06
20,0.030000,1.035024697504383e-06
21,0.033000,4.80527495128058e-07
22,0.036000,1.889021604695174e-07
23,0.030000,1.390166198822484e-07
24,0.030000,5.1623982866289e-08
25,0.033000,2.522685482730935e-08
26,0.029000,1.677162020374823e-08
27,0.033000,6.547034692161446e-09
28,0.030000,5.298594896174791e-09
29,0.033000,2.125945197661849e-09
30,0.033000,1.911235836260516e-09
31,0.033000,7.465226214975473e-10
32,0.033000,3.005683479884169e-10
33,0.034000,1.350093370433569e-10
34,0.030000,9.76945191411005e-11
35,0.030000,3.88535870143869e-11
36,0.031000,2.368305551669891e-11
37,0.032000,1.516342607033039e-11
38,0.032000,6.50912657107483e-12
39,0.032000,4.051203816857196e-12
40,0.034000,1.608713162681852e-12
41,0.033000,7.58948459633757e-13
42,0.029000,5.901945598907332e-13
43,0.029000,2.808864252301646e-13
44,0.030000,1.383337888682945e-13
45,0.032000,6.750155989720952e-14
46,0.034000,4.04121180963557e-14
47,0.029000,3.463895836830488e-14
48,0.033000,1.265654248072678e-14
49,0.032000,9.769962616701378e-15
50,0.035000,1.043609643147647e-14
51,0.082000,2.953193245502916e-14
52,0.266000,2.131628207280301e-14
53,0.260000,6.217248937900877e-15
54,0.294000,8.43769498715119e-15
55,1.320000,6.661338147750939e-15
56,1.250000,5.551115123125783e-15
57,1.267000,8.659739592076221e-15
58,1.213000,2.964295475749168e-14
59,1.232000,6.439293542825908e-14
60,1.201000,3.941291737419306e-14
61,1.174000,1.587618925213974e-14
62,1.178000,6.106226635438361e-15
63,1.226000,6.217248937900877e-15
64,1.243000,4.662936703425657e-15
65,1.239000,4.218847493575595e-15
66,1.302000,7.105427357601002e-15
67,1.244000,8.215650382226158e-15
68,1.207000,1.310063169057685e-14
69,1.177000,3.552713678800501e-15
70,1.248000,2.90878432451791e-14
71,1.210000,4.574118861455645e-14
72,1.229000,5.662137425588298e-15
73,1.221000,9.880984919163893e-15
74,1.240000,7.438494264988549e-15
75,1.224000,1.165734175856414e-14
76,1.262000,3.808064974464287e-14
77,1.195000,2.842170943040401e-14
78,1.200000,1.554312234475219e-14
79,1.197000,4.107825191113079e-15
80,1.366000,3.108624468950438e-15
81,1.286000,4.884981308350689e-15
82,1.243000,9.769962616701378e-15
83,1.270000,8.43769498715119e-15
84,1.245000,3.663735981263017e-15
85,1.239000,5.329070518200751e-15
86,1.279000,9.436895709313831e-15
87,1.264000,6.661338147750939e-15
88,1.269000,6.661338147750939e-15
89,1.236000,1.13242748511766e-14
90,1.195000,1.221245327087672e-14
91,1.168000,6.661338147750939e-15
92,1.173000,7.993605777301127e-15
93,1.221000,3.996802888650564e-15
94,1.254000,2.442490654175344e-15
95,1.246000,3.774758283725532e-15
96,1.290000,2.55351295663786e-15
97,1.275000,2.664535259100376e-15
98,1.317000,2.886579864025407e-15
99,1.265000,6.772360450213455e-15
