Integration Number,Time (s),Max Area Error
0,0.285000,622.9231811289159
1,0.096000,435.8035866981839
2,0.091000,311.1355946352035
3,0.092000,219.9453604624007
4,0.092000,162.4550838482816
5,0.093000,133.1646413259415
6,0.096000,107.9934819702535
7,0.104000,67.39906556813551
8,0.099000,60.1410169759119
9,0.101000,51.57537487205119
10,0.092000,36.18600921717657
11,0.102000,26.90219243465019
12,0.079000,15.25902692606153
13,0.088000,8.74464962484074
14,0.079000,5.006067020267375
15,0.097000,2.958718990327482
16,0.096000,2.274114746485132
17,0.097000,1.62427073261091
18,0.094000,1.203276889145688
19,0.095000,0.8720316601740041
20,0.097000,0.7833379900616779
21,0.098000,0.7834534329874761
22,0.201000,0.6881928501953524
23,0.241000,0.4938420058218699
24,0.234000,0.3749574478264076
25,0.189000,0.2159136516478271
26,0.231000,0.1145078400054039
27,0.234000,0.05804978052092691
28,0.219000,0.03671279022517382
29,0.224000,0.01717457675647904
30,0.209000,0.01215757365715886
31,0.238000,0.008269196823071256
32,0.218000,0.005705251133617972
33,0.238000,0.003882963921978844
34,0.228000,0.002654407775697254
35,0.221000,0.001807280223244612
36,0.216000,0.001231847891612237
37,0.230000,0.0008463836142920123
38,0.218000,0.0005730605417806345
39,0.235000,0.0003910013686592162
40,0.224000,0.0002663386215435715
41,0.211000,0.0001827771545703794
42,0.220000,0.0001235512015188567
43,0.232000,8.433382817130131e-05
44,0.209000,5.762851095569843e-05
45,0.230000,3.915847257851546e-05
46,0.225000,2.67382003884542e-05
47,0.228000,1.827785758978795e-05
48,0.225000,1.237761499939261e-05
49,0.172000,8.46687786804079e-06
50,0.240000,5.732182624451632e-06
51,0.284000,3.931794708922354e-06
52,0.241000,2.660683638522343e-06
53,0.213000,1.822040083143683e-06
54,0.222000,1.233781813381185e-06
55,0.226000,8.441773095002603e-07
56,0.230000,5.709760424466026e-07
57,0.228000,3.90474731548629e-07
58,0.222000,2.650669060910715e-07
59,0.231000,1.799284652381772e-07
60,0.234000,1.230787037842518e-07
61,0.222000,8.342488033719064e-08
62,0.217000,5.668657776514152e-08
63,0.230000,3.875796050767377e-08
64,0.214000,2.632655871082079e-08
65,0.227000,1.786660241975824e-08
66,0.218000,1.220869050300166e-08
67,0.230000,8.287134090068093e-09
68,0.227000,5.625234278383573e-09
69,0.226000,3.844122020701946e-09
70,0.251000,2.609140348219796e-09
71,0.244000,1.775600666498178e-09
72,0.204000,1.203424027096389e-09
73,0.219000,8.242366789090738e-10
74,0.229000,5.586812124036555e-10
75,0.225000,3.802719250600717e-10
76,0.230000,2.582709601739452e-10
77,0.216000,1.754166811807067e-10
78,0.224000,1.192294041274522e-10
79,0.219000,8.09196043505267e-11
80,0.229000,5.542677428138632e-11
81,0.218000,3.756739364035866e-11
82,0.213000,2.553290912032935e-11
83,0.225000,1.739697275127128e-11
84,0.232000,1.174582653362677e-11
85,0.232000,8.022138509033994e-12
86,0.222000,5.487277299209836e-12
87,0.230000,3.765321388016218e-12
88,0.233000,2.537081655873408e-12
89,0.229000,1.722622045008393e-12
90,0.237000,1.108113600878369e-12
91,0.228000,6.992184609089236e-13
92,0.221000,4.669598041573408e-13
93,0.248000,1.251665437962401e-12
94,0.759000,7.100986465502501e-13
95,0.721000,3.82804898890754e-13
96,0.747000,2.218225603201063e-13
97,0.765000,1.636468738297481e-13
98,0.740000,1.649791414592983e-13
99,0.708000,3.398392678377604e-13
