Integration Number,Time (s),Max Area Error
0,0.054000,0.2780384928759136
1,0.023000,0.03857682857032874
2,0.021000,0.009207931113617174
3,0.020000,0.002930301086392806
4,0.022000,0.0009449554379109548
5,0.020000,0.0003363225748993504
6,0.020000,0.00012217097250522
7,0.020000,4.490064306450492e-05
8,0.020000,1.647490601552892e-05
9,0.020000,6.181526767123913e-06
10,0.021000,2.255270084350336e-06
11,0.020000,8.670951705536112e-07
12,0.021000,2.503673641740534e-07
13,0.021000,9.331483030727838e-08
14,0.020000,3.417225602486695e-08
15,0.021000,1.32905000338468e-08
16,0.020000,4.794983521350105e-09
17,0.020000,1.924774895023518e-09
18,0.021000,5.326563634611148e-10
19,0.021000,1.567850294037498e-10
20,0.021000,4.923517149535428e-11
21,0.020000,1.826072626442965e-11
22,0.021000,7.036371485469317e-12
23,0.020000,2.754241279490088e-12
24,0.022000,1.01374464378523e-12
25,0.020000,3.945732629517806e-13
26,0.020000,1.446620601086579e-13
27,0.020000,5.595524044110789e-14
28,0.021000,1.865174681370263e-14
29,0.020000,5.551115123125783e-15
30,0.021000,3.33066907387547e-15
31,0.020000,2.442490654175344e-15
32,0.020000,1.443289932012704e-15
33,0.023000,1.554312234475219e-15
34,0.074000,2.220446049250313e-15
35,0.290000,2.55351295663786e-15
36,1.303000,1.665334536937735e-15
37,1.282000,1.887379141862766e-15
38,1.239000,1.77635683940025e-15
39,1.274000,2.442490654175344e-15
40,1.264000,2.664535259100376e-15
41,1.312000,3.552713678800501e-15
42,1.214000,3.108624468950438e-15
43,1.241000,2.442490654175344e-15
44,1.280000,3.885780586188048e-15
45,1.206000,2.775557561562891e-15
46,1.236000,3.108624468950438e-15
47,1.209000,1.332267629550188e-15
48,1.220000,2.109423746787797e-15
49,1.217000,5.218048215738236e-15
50,1.181000,5.773159728050814e-15
51,1.198000,7.105427357601002e-15
52,1.195000,4.218847493575595e-15
53,1.264000,2.664535259100376e-15
54,1.257000,4.329869796038111e-15
55,1.287000,4.884981308350689e-15
56,1.248000,3.774758283725532e-15
57,1.288000,2.442490654175344e-15
58,1.347000,1.887379141862766e-15
59,1.260000,2.55351295663786e-15
60,1.248000,1.665334536937735e-15
61,1.202000,1.77635683940025e-15
62,1.270000,1.443289932012704e-15
63,1.291000,2.442490654175344e-15
64,1.243000,1.77635683940025e-15
65,1.279000,1.887379141862766e-15
66,1.262000,3.33066907387547e-15
67,1.299000,3.33066907387547e-15
68,1.246000,3.33066907387547e-15
69,1.260000,3.441691376337985e-15
70,1.248000,3.552713678800501e-15
71,1.246000,3.663735981263017e-15
72,1.200000,4.218847493575595e-15
73,1.268000,4.662936703425657e-15
74,1.198000,3.33066907387547e-15
75,1.252000,1.554312234475219e-15
76,1.222000,1.998401444325282e-15
77,1.236000,2.55351295663786e-15
78,1.256000,2.442490654175344e-15
79,1.259000,1.998401444325282e-15
80,1.275000,2.442490654175344e-15
81,1.250000,2.220446049250313e-15
82,1.387000,4.107825191113079e-15
83,1.278000,2.220446049250313e-15
84,1.263000,3.219646771412954e-15
85,1.203000,2.331468351712829e-15
86,1.243000,3.33066907387547e-15
87,1.199000,3.108624468950438e-15
88,1.234000,3.108624468950438e-15
89,1.239000,3.663735981263017e-15
90,1.223000,3.996802888650564e-15
91,1.263000,3.996802888650564e-15
92,1.252000,5.10702591327572e-15
93,1.206000,3.996802888650564e-15
94,1.234000,3.33066907387547e-15
95,1.210000,6.217248937900877e-15
96,1.198000,5.218048215738236e-15
97,1.198000,3.996802888650564e-15
98,1.215000,3.552713678800501e-15
99,1.275000,3.552713678800501e-15
