Integration Number,Time (s),Max Area Error
0,0.135000,86.06090380181746
1,0.070000,44.3452760093612
2,0.046000,36.18306426696907
3,0.053000,17.78072523601777
4,0.048000,9.186899463680602
5,0.044000,5.433501702292741
6,0.041000,3.613052082280947
7,0.041000,2.203953420295317
8,0.036000,1.279727164926581
9,0.037000,0.85189390314707
10,0.034000,0.4977113195640346
11,0.037000,0.3022021508335089
12,0.038000,0.1864928905062782
13,0.038000,0.1215824885637893
14,0.034000,0.07964141696509319
15,0.036000,0.05393410893338491
16,0.035000,0.03624867032726131
17,0.041000,0.02562178161901874
18,0.038000,0.01750984923455445
19,0.038000,0.0127065938992772
20,0.040000,0.008751039479897083
21,0.034000,0.005980355199010301
22,0.038000,0.004532903574851588
23,0.038000,0.003098122385228219
24,0.038000,0.002515037287422972
25,0.042000,0.001895904610970112
26,0.048000,0.001315085802672478
27,0.045000,0.0009345355897545371
28,0.045000,0.0007153167030407026
29,0.039000,0.0004875078605737215
30,0.039000,0.0003583733640437625
31,0.034000,0.0002428421975888551
32,0.035000,0.000180713381376707
33,0.039000,0.0001306665567994969
34,0.037000,9.817028926573101e-05
35,0.038000,6.671155052262456e-05
36,0.038000,5.20069391836131e-05
37,0.038000,3.426720089927393e-05
38,0.040000,2.613125287265206e-05
39,0.039000,1.720644763736345e-05
40,0.040000,1.256092545087739e-05
41,0.039000,8.957102214157686e-06
42,0.040000,6.665685437168278e-06
43,0.034000,4.963067205654426e-06
44,0.035000,3.69129484067976e-06
45,0.034000,2.46901188649673e-06
46,0.042000,2.067447663289812e-06
47,0.033000,1.339350264029093e-06
48,0.034000,1.092678735270525e-06
49,0.035000,6.897198134847571e-07
50,0.038000,5.589088185598001e-07
51,0.033000,3.197957780809446e-07
52,0.037000,2.711377908859447e-07
53,0.032000,1.515411705010905e-07
54,0.040000,1.301011707255384e-07
55,0.037000,7.227740517201653e-08
56,0.036000,6.811533226347422e-08
57,0.035000,3.749051491475086e-08
58,0.044000,3.422524064156107e-08
59,0.036000,2.135087484589349e-08
60,0.040000,1.668845484026349e-08
61,0.036000,1.088728285303375e-08
62,0.039000,8.596941381000534e-09
63,0.040000,5.61671353871418e-09
64,0.039000,4.799088459961354e-09
65,0.038000,3.2043605546761e-09
66,0.040000,2.548703026405974e-09
67,0.041000,1.623738477007919e-09
68,0.037000,1.234918389769746e-09
69,0.040000,8.290548247913421e-10
70,0.036000,6.221476667178649e-10
71,0.038000,4.458722280276106e-10
72,0.038000,3.382198965340422e-10
73,0.039000,2.219318062657294e-10
74,0.039000,1.63336233427458e-10
75,0.040000,1.04146913315617e-10
76,0.039000,8.272826867994354e-11
77,0.043000,5.414446668794426e-11
78,0.042000,4.421019106359836e-11
79,0.042000,2.796429754425844e-11
80,0.037000,2.211386629369372e-11
81,0.039000,1.395994431163672e-11
82,0.041000,1.089373036222696e-11
83,0.040000,7.488010211886831e-12
84,0.039000,5.653477685996222e-12
85,0.039000,3.928635194938579e-12
86,0.039000,2.961408895885143e-12
87,0.037000,2.122746423083299e-12
88,0.038000,1.504352198367087e-12
89,0.038000,1.06492592522045e-12
90,0.037000,8.453238109495942e-13
91,0.038000,4.738431869100168e-13
92,0.041000,4.838351941316432e-13
93,0.100000,2.55351295663786e-13
94,0.096000,1.678657213233237e-13
95,0.092000,8.859579736508749e-14
96,0.103000,3.397282455352979e-14
97,0.095000,3.375077994860476e-14
98,0.089000,3.397282455352979e-14
99,0.276000,3.375077994860476e-14
