Integration Number,Time (s),Max Area Error
0,0.044000,1.720366667333463
1,0.025000,0.5553305185735555
2,0.020000,0.2712772376249326
3,0.019000,0.1107247517309251
4,0.018000,0.02248870083375909
5,0.019000,0.009454276321596344
6,0.018000,0.002251452242054919
7,0.019000,0.0005357866570936398
8,0.018000,0.000280025074939183
9,0.019000,0.0001423634497552673
10,0.018000,6.222662730981376e-05
11,0.019000,2.27135331696271e-05
12,0.019000,1.417292298078188e-05
13,0.019000,8.480016603584772e-06
14,0.019000,3.329766399717826e-06
15,0.019000,1.79478760298224e-06
16,0.019000,4.495271591631322e-07
17,0.018000,2.906877263342267e-07
18,0.018000,1.159392575278417e-07
19,0.019000,3.695622385890829e-08
20,0.019000,1.378295078069414e-08
21,0.018000,3.110179891407938e-09
22,0.018000,2.057658043952415e-09
23,0.018000,1.035625807332963e-09
24,0.018000,4.497185956964245e-10
25,0.018000,2.27670104990807e-10
26,0.019000,4.979261447601857e-11
27,0.019000,1.816258254905279e-11
28,0.019000,6.054046153280979e-12
29,0.018000,5.274891634599044e-12
30,0.019000,2.183142555622908e-12
31,0.018000,7.678302438307583e-13
32,0.019000,2.655653474903374e-13
33,0.019000,1.909583602355269e-13
34,0.018000,1.325606291402437e-13
35,0.018000,4.152234112098085e-14
36,0.018000,1.409983241273949e-14
37,0.020000,7.993605777301127e-15
38,0.019000,5.10702591327572e-15
39,0.019000,4.551914400963142e-15
40,0.021000,4.662936703425657e-15
41,0.070000,4.884981308350689e-15
42,0.270000,4.884981308350689e-15
43,1.170000,4.440892098500626e-15
44,1.212000,4.218847493575595e-15
45,1.201000,4.551914400963142e-15
46,1.177000,4.218847493575595e-15
47,1.197000,4.107825191113079e-15
48,1.197000,4.107825191113079e-15
49,1.244000,4.440892098500626e-15
50,1.206000,4.440892098500626e-15
51,1.210000,4.440892098500626e-15
52,1.213000,4.440892098500626e-15
53,1.193000,4.218847493575595e-15
54,1.219000,4.440892098500626e-15
55,1.199000,4.551914400963142e-15
56,1.199000,4.440892098500626e-15
57,1.200000,4.440892098500626e-15
58,1.178000,4.440892098500626e-15
59,1.176000,4.440892098500626e-15
60,1.185000,4.218847493575595e-15
61,1.207000,4.218847493575595e-15
62,1.200000,4.440892098500626e-15
63,1.173000,4.551914400963142e-15
64,1.171000,4.551914400963142e-15
65,1.278000,4.551914400963142e-15
66,1.197000,4.551914400963142e-15
67,1.209000,4.551914400963142e-15
68,1.197000,4.440892098500626e-15
69,1.165000,4.551914400963142e-15
70,1.147000,4.440892098500626e-15
71,1.184000,4.440892098500626e-15
72,1.187000,4.551914400963142e-15
73,1.235000,4.551914400963142e-15
74,1.235000,4.440892098500626e-15
75,1.226000,4.551914400963142e-15
76,1.204000,4.440892098500626e-15
77,1.214000,4.440892098500626e-15
78,1.228000,4.440892098500626e-15
79,1.187000,4.551914400963142e-15
80,1.192000,4.440892098500626e-15
81,1.216000,4.551914400963142e-15
82,1.189000,4.551914400963142e-15
83,1.182000,4.996003610813204e-15
84,1.221000,4.662936703425657e-15
85,1.270000,4.440892098500626e-15
86,1.267000,4.662936703425657e-15
87,1.260000,4.440892098500626e-15
88,1.203000,4.551914400963142e-15
89,1.231000,4.551914400963142e-15
90,1.219000,4.662936703425657e-15
91,1.240000,4.551914400963142e-15
92,1.218000,4.440892098500626e-15
93,1.210000,5.440092820663267e-15
94,1.178000,5.551115123125783e-15
95,1.195000,5.773159728050814e-15
96,1.228000,4.551914400963142e-15
97,1.220000,4.551914400963142e-15
98,1.233000,4.551914400963142e-15
99,1.251000,4.440892098500626e-15
