Integration Number,Time (s),Max Area Error
0,0.316000,54.97898988398667
1,0.076000,21.36949688650206
2,0.104000,13.06096065663505
3,0.108000,7.100203778435207
4,0.121000,3.089758497871058
5,0.119000,2.303116243787239
6,0.118000,2.277730159367055
7,0.103000,1.037107767964121
8,0.088000,0.7055709846904077
9,0.086000,0.7022648512427421
10,0.079000,0.6956162802188536
11,0.076000,0.6646717484456135
12,0.085000,0.6218159845821978
13,0.089000,0.5664245147976058
14,0.101000,0.4824206858111633
15,0.091000,0.4161888469623667
16,0.078000,0.3497599455512759
17,0.096000,0.2834171956758477
18,0.084000,0.219134158812251
19,0.079000,0.1726995407485984
20,0.096000,0.1261181284658184
21,0.093000,0.09890769402608568
22,0.076000,0.06595966002601006
23,0.083000,0.05311220737245104
24,0.087000,0.03410751107844867
25,0.088000,0.02772303989378289
26,0.091000,0.01806197520006714
27,0.087000,0.01440626948987123
28,0.070000,0.010058993530077
29,0.087000,0.007411961150419755
