Integration Number,Time (s),Max Area Error
0,0.064000,323.7760306130115
1,0.020000,168.5734001915914
2,0.019000,101.9673129548337
3,0.018000,64.07002539955211
4,0.017000,41.24225833689988
5,0.020000,30.34303896078563
6,0.017000,21.45715838441339
7,0.019000,19.08950169937816
8,0.020000,14.45114243080801
9,0.017000,9.670090170071349
10,0.060000,10.71001708241738
11,0.112000,6.074697649149784
12,0.228000,8.796687022971136
13,0.186000,8.314327422137589
14,0.150000,7.496765493605981
15,0.160000,6.58366398777946
16,0.188000,5.839059241603485
17,0.190000,5.189876317279276
18,0.248000,4.524416106658597
19,0.452000,4.241024035378548
20,0.394000,4.132207874540651
21,0.236000,3.856177152408192
22,0.408000,3.803885069785411
23,0.360000,3.732004932895764
24,0.293000,3.630046678620255
25,0.265000,3.408115746394616
26,0.633000,29.5700333127955
27,2.498000,18.60036073510055
28,1.277000,12.83860582756283
29,1.267000,7.911852059829101
30,1.163000,5.618012837942477
31,1.129000,3.807114466343382
32,1.160000,2.843496755725939
33,1.007000,2.560502717860682
34,1.014000,2.286564332930052
35,0.958000,2.114965973235564
36,0.960000,1.876462062805199
37,0.939000,1.762377886630795
38,0.957000,1.721824348182447
39,0.979000,1.66220383562151
40,0.995000,1.535338495499925
41,0.958000,1.522975998491115
42,1.004000,1.471252092484804
43,1.048000,1.25476655757387
44,1.016000,1.453986985747269
45,1.080000,1.296990472026419
46,1.053000,1.506306313437167
47,1.039000,1.445660414331442
48,1.139000,1.528855746494313
49,1.109000,1.603328933859172
50,1.165000,1.555986688818713
51,1.191000,1.349454023546086
52,1.123000,1.178310599590649
53,1.107000,1.192574120473661
54,1.023000,1.293277164887653
55,1.109000,1.257985444861597
56,0.996000,1.370456307871834
57,0.999000,1.360836905509269
58,1.046000,1.552659801717799
59,1.096000,1.4986883659366
60,1.047000,1.473107146220084
61,1.110000,1.425443219895566
62,1.049000,1.502587902708489
63,1.043000,1.48361185754616
64,1.044000,1.4650364800091
65,1.048000,1.171729660927619
66,1.058000,1.22559394232959
67,1.033000,1.218559330031312
68,1.160000,1.256878028078077
69,1.179000,1.228153187947352
70,1.290000,1.376073158339249
71,1.259000,1.187662466612242
72,29.310000,5.115327914506168
73,1.942000,1.979517593667763
74,4.634000,2.799038486247626
75,1.169000,2.613225875873623
76,1.155000,2.249699629518645
77,2.218000,1.652795309140968
78,1.914000,1.457656287713134
79,1.458000,1.43736337298412
80,2.640000,1.470659787655291
81,2.905000,1.50195862889718
82,3.316000,1.523608797953025
83,3.380000,1.521568826392499
84,2.854000,1.536390272830465
85,3.757000,1.545193343031587
86,1.945000,1.607561289861548
87,2.718000,1.664979146885539
88,2.882000,1.715563708277509
89,2.768000,1.725292385915324
90,1.107000,1.800628465243371
91,2.797000,1.855362230364272
92,1.214000,1.957155068073228
93,2.985000,2.085493870015094
94,2.443000,2.198232918041859
95,2.241000,2.292261657389115
96,1.606000,2.30746603933138
97,3.538000,2.327858532189565
98,1.699000,2.3584340424526
99,3.703000,2.387552582354588
