Integration Number,Time (s),Max Area Error
0,0.097000,52.74835508155073
1,0.059000,21.66260953113147
2,0.068000,16.56083532926661
3,0.063000,15.55208313199294
4,0.066000,8.731412877589667
5,0.069000,5.329862944580023
6,0.072000,2.56580004768803
7,0.063000,1.118645666093004
8,0.074000,0.6628870420701749
9,0.069000,0.3385505741703541
10,0.059000,0.2462201797346306
11,0.070000,0.1435027763700958
12,0.072000,0.06921480805026059
13,0.053000,0.03074142119883172
14,0.069000,0.02485320073475172
15,0.070000,0.01455522753810179
16,0.057000,0.007611179069197282
