Integration Number,Time (s),Max Area Error
0,0.162000,58.23112207479685
1,0.087000,22.31981289925939
2,0.063000,12.60837421176318
3,0.065000,7.242490913235835
4,0.058000,5.098407774672944
5,0.063000,3.259589706799485
6,0.070000,2.942128001755922
7,0.065000,2.722710247298017
8,0.061000,2.511769843851594
9,0.063000,1.386959827301766
10,0.056000,0.8951818201344572
11,0.053000,0.6927053749494525
12,0.061000,0.6484496517631743
13,0.064000,0.650159768218282
14,0.160000,0.5247709968096914
15,0.152000,0.3567848097959282
16,0.141000,0.2054113882073928
17,0.151000,0.1317594536344457
18,0.137000,0.05635836790843729
19,0.154000,0.03243360471581191
20,0.150000,0.01954810620056968
21,0.148000,0.01116824007879169
22,0.143000,0.006589889810044713
