Integration Number,Time (s),Max Area Error
0,0.262000,83.63419582103238
1,0.059000,45.05325613963596
2,0.045000,23.59506224131399
3,0.043000,16.38399660417782
4,0.045000,10.5908911524459
5,0.045000,7.052656363580459
6,0.047000,5.762422692817921
7,0.050000,4.196393644345631
8,0.052000,2.886914423739214
9,0.051000,2.788955014689393
10,0.057000,1.236513996393094
11,0.045000,0.9706035124552429
12,0.043000,0.9528695774420138
13,0.040000,0.9209596092390377
14,0.044000,0.8627301199440311
15,0.039000,0.7969248720132047
16,0.040000,0.6752798597330975
17,0.039000,0.5327501297147876
18,0.042000,0.4158450017126194
19,0.041000,0.295913894021791
20,0.041000,0.2080625931019352
21,0.040000,0.1512788934893038
22,0.041000,0.1034012722790466
23,0.041000,0.07280918246498069
24,0.043000,0.0451438588698132
25,0.043000,0.03252828510599226
26,0.041000,0.02147308460252217
27,0.040000,0.01556575713856856
28,0.042000,0.01047295932768366
29,0.043000,0.008776613811599776
