Integration Number,Time (s),Max Area Error
0,0.289000,28.47016565215946
1,0.087000,18.71044639488042
2,0.054000,12.13561410911398
3,0.051000,7.114396117496559
4,0.051000,4.472329782738456
5,0.043000,3.125635936953826
6,0.038000,2.160532150167725
7,0.037000,1.436788984269562
8,0.042000,0.9035100844546631
9,0.034000,0.4847212492352266
10,0.042000,0.2713976232393265
11,0.031000,0.156279412185071
12,0.035000,0.09571881272792959
13,0.044000,0.05706632696789526
14,0.039000,0.0369607599826951
15,0.038000,0.02124042606120291
16,0.039000,0.01489400912793704
17,0.042000,0.007655330085931
