round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 100.404556, 0.993373, 2.971638, 0.469285, 0.380145, 0.413875, 16.814673, 0.000000, 0.1430 Second
1, 70.534285, 0.993592, 1.587575, 0.380549, 0.284317, 0.245356, 16.826693, 0.000000, 0.1470 Second
2, 56.249583, 0.995501, 1.629109, 0.350666, 0.258710, 0.194191, 15.581456, 0.000000, 0.1554 Second
3, 45.490252, 0.996260, 1.741693, 0.335338, 0.247576, 0.176522, 13.366169, 0.000000, 0.1703 Second
4, 36.783748, 0.996816, 1.822870, 0.319785, 0.232866, 0.159592, 16.243800, 0.000000, 0.1841 Second
5, 32.280506, 0.996911, 1.789380, 0.309201, 0.223650, 0.151087, 17.197216, 0.000000, 0.1913 Second
6, 29.327292, 0.997039, 1.812909, 0.299938, 0.214481, 0.145096, 10.798887, 0.000000, 0.1986 Second
7, 23.551992, 0.997013, 1.800440, 0.289990, 0.203638, 0.133373, 15.014823, 0.000000, 0.2063 Second
8, 20.891073, 0.996989, 1.787689, 0.282821, 0.197588, 0.128652, 12.399158, 0.000000, 0.2141 Second
9, 18.239555, 0.996812, 1.702268, 0.279247, 0.193801, 0.121427, 16.168606, 0.000000, 0.2210 Second
10, 16.501491, 0.996428, 1.555607, 0.274652, 0.188188, 0.117748, 15.143188, 0.000000, 0.2275 Second
11, 14.944787, 0.995886, 1.407872, 0.272273, 0.185881
Enlarge: 6.000000, Shrink: 9.000000, treeDepth: 6, minTreeDepth: 6

