map_name,max_relative_area_error,area_weighted_mean_error
bahamas_population_by_district_2010.geojson,50.5535,0.787493
bahamas_population_by_district_2010_0.geojson,28.8583,0.690574
bahamas_population_by_district_2010_1.geojson,22.7933,0.44272
bahamas_population_by_district_2010_2.geojson,13.7752,0.190834
bahamas_population_by_district_2010_3.geojson,10.5134,0.112001
bahamas_population_by_district_2010_4.geojson,9.42469,0.077444
bahamas_population_by_district_2010_5.geojson,8.7561,0.0600134
bahamas_population_by_district_2010_6.geojson,8.18512,0.0508591
bahamas_population_by_district_2010_7.geojson,7.60516,0.0434597
bahamas_population_by_district_2010_8.geojson,6.85259,0.036058
bahamas_population_by_district_2010_9.geojson,6.27002,0.0320662
bahamas_population_by_district_2010_10.geojson,5.86604,0.0296902
