map_name,max_relative_area_error,area_weighted_mean_error
china_population_by_province_2020.geojson,46.5922,0.449081
china_population_by_province_2020_0.geojson,24.2179,0.193243
china_population_by_province_2020_1.geojson,8.67064,0.0725606
china_population_by_province_2020_2.geojson,1.06013,0.0283564
china_population_by_province_2020_3.geojson,0.99455,0.0153103
china_population_by_province_2020_4.geojson,0.993314,0.0176994
china_population_by_province_2020_5.geojson,1.89659,0.026313
china_population_by_province_2020_6.geojson,0.990129,0.0141154
china_population_by_province_2020_7.geojson,0.982235,0.034755
china_population_by_province_2020_8.geojson,0.979014,0.0350327
china_population_by_province_2020_9.geojson,0.975881,0.0393408
china_population_by_province_2020_10.geojson,0.969059,0.0415441
