round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 7.602093, 0.942743, 0.550773, 0.343813, 0.257323, 0.257427, 14.528112, 0.000000, 0.1095 Second
1, 3.950988, 0.785162, 0.090504, 0.233898, 0.152976, 0.161082, 10.013007, 0.000000, 0.0827 Second
2, 0.884280, 0.466281, 0.016549, 0.126468, 0.092537, 0.098385, 10.507326, 0.000000, 0.0858 Second
3, 0.322865, 0.311800, 0.004760, 0.066060, 0.048739, 0.048546, 6.295497, 0.000000, 0.0872 Second
4, 0.146179, 0.254163, 0.002203, 0.045324, 0.033057, 0.027225, 4.581650, 0.000000, 0.0857 Second
5, 0.417697, 0.208429, 0.002609, 0.051850, 0.030969, 0.038647, 7.672142, 0.000000, 0.0901 Second
6, 0.197028, 0.311255, 0.003083, 0.052128, 0.033540, 0.031476, 6.299671, 0.000000, 0.1005 Second
7, 0.240502, 0.293127, 0.002509, 0.047540, 0.026798, 0.027993, 5.964464, 0.000000, 0.1028 Second
8, 0.610306, 0.250864, 0.003534, 0.061853, 0.030253, 0.031334
Enlarge: 6.000000, Shrink: 9.000000, treeDepth: 6, minTreeDepth: 6
 
