map_name,max_relative_area_error,area_weighted_mean_error
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop.geojson,155.717,0.489917
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_0.geojson,130.574,0.265461
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_1.geojson,86.4346,0.127248
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_2.geojson,69.3557,0.0795224
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_3.geojson,54.5636,0.0606371
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_4.geojson,44.798,0.0515091
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_5.geojson,38.909,0.0461012
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_6.geojson,33.5831,0.0427461
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_7.geojson,30.9205,0.0395091
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_8.geojson,28.7821,0.0360452
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_9.geojson,27.2867,0.0335858
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_10.geojson,26.194,0.0318321
