round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 155.717094, 0.998849, 9.042878, 0.569956, 0.489939, 0.530817, 24.150747, 0.000000, 0.3660 Second
1, 130.573791, 0.997686, 5.515367, 0.503823, 0.410174, 0.322243, 19.484536, 0.000000, 0.3449 Second
2, 86.434608, 0.997924, 5.778251, 0.468202, 0.364543, 0.159478, 14.091225, 0.000000, 0.3070 Second
3, 69.355693, 0.997446, 5.375896, 0.444228, 0.333756, 0.092678, 11.242890, 0.000000, 0.3003 Second
4, 54.563575, 0.997214, 5.172566, 0.424612, 0.306092, 0.067641, 9.227326, 0.000000, 0.2984 Second
5, 44.797955, 0.997203, 4.833365, 0.409035, 0.287040, 0.056876, 9.103799, 0.000000, 0.3094 Second
6, 38.908972, 0.997114, 4.448307, 0.400501, 0.276032, 0.050160, 9.282753, 0.000000, 0.3247 Second
7, 33.583098, 0.996993, 3.993016, 0.394236, 0.268009, 0.046024, 8.904404, 0.000000, 0.3390 Second
8, 30.920483, 0.996834, 3.545664, 0.388149, 0.260440, 0.041995, 6.217490, 0.000000, 0.3590 Second
9, 28.782149, 0.996585, 3.000071, 0.380899, 0.251544, 0.038276, 7.122230, 0.000000, 0.3790 Second
10, 27.286729, 0.996370, 2.829010, 0.377530, 0.245974, 0.035220, 7.924589, 0.000000, 0.3750 Second
11, 26.194018, 0.996190, 2.615099, 0.373475, 0.241285
Enlarge: 6.000000, Shrink: 9.000000, treeDepth: 6, minTreeDepth: 6

