round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 2.191201, 0.937434, 1.072180, 0.429768, 0.334542, 0.218570, 14.053010, 0.000000, 0.0646 Second
1, 0.565251, 0.943975, 0.856310, 0.338695, 0.221189, 0.091727, 8.741453, 0.000000, 0.0689 Second
2, 0.399216, 0.916133, 0.413517, 0.257833, 0.145937, 0.070178, 5.898295, 0.000000, 0.0603 Second
3, 0.834753, 0.605687, 0.040348, 0.175901, 0.132937, 0.126435, 14.369386, 0.000000, 0.0710 Second
4, 0.295655, 0.594297, 0.032004, 0.140898, 0.082122, 0.044371, 7.450857, 0.000000, 0.0677 Second
5, 0.235486, 0.267316, 0.004961, 0.070105, 0.057411, 0.041175, 7.038651, 0.000000, 0.0799 Second
6, 0.505382, 0.468184, 0.012316, 0.099841, 0.058172, 0.032697, 14.670688, 0.000000, 0.0798 Second
7, 0.117207, 0.431163, 0.008427, 0.079996, 0.044706, 0.030646, 4.119644, 0.000000, 0.0826 Second
8, 2.916986, 0.478394, 0.051203, 0.231074, 0.179574, 0.200137
Enlarge: 6.000000, Shrink: 9.000000, treeDepth: 6, minTreeDepth: 6
 
