round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 31.520786, 0.990878, 2.994554, 0.571934, 0.496820, 0.541500, 17.033144, 0.000000, 0.0948 Second
1, 14.372116, 0.961257, 0.539025, 0.382713, 0.298261, 0.258122, 14.520982, 0.000000, 0.0669 Second
2, 4.983562, 0.898461, 0.158449, 0.257959, 0.167618, 0.090680, 13.447655, 0.000000, 0.0582 Second
3, 2.391300, 0.759826, 0.052489, 0.196113, 0.125034, 0.062558, 14.419973, 0.000000, 0.0576 Second
4, 2.045908, 0.544096, 0.023049, 0.156046, 0.103873, 0.056729, 13.269930, 0.000000, 0.0556 Second
5, 1.778176, 0.209486, 0.013225, 0.127048, 0.085477, 0.047806, 5.935471, 0.000000, 0.0566 Second
6, 1.201294, 0.125623, 0.008363, 0.100600, 0.062474, 0.028927, 4.362015, 0.000000, 0.0570 Second
7, 0.978340, 0.601064, 0.015432, 0.112049, 0.064048, 0.028068, 2.203069, 0.000000, 0.0642 Second
8, 2.376741, 0.346790, 0.022292, 0.150755, 0.125807, 0.178397
Enlarge: 6.000000, Shrink: 9.000000, treeDepth: 6, minTreeDepth: 6
 
