map_name,max_relative_area_error,area_weighted_mean_error
russia_population_by_federal_subject_2010.geojson,118.938,0.617181
russia_population_by_federal_subject_2010_0.geojson,88.3542,0.349648
russia_population_by_federal_subject_2010_1.geojson,56.2766,0.222555
russia_population_by_federal_subject_2010_2.geojson,20.0473,0.175615
russia_population_by_federal_subject_2010_3.geojson,10.6207,0.166484
russia_population_by_federal_subject_2010_4.geojson,7.58266,0.160531
russia_population_by_federal_subject_2010_5.geojson,5.77432,0.152456
russia_population_by_federal_subject_2010_6.geojson,4.89181,0.118601
russia_population_by_federal_subject_2010_7.geojson,4.28261,0.100858
russia_population_by_federal_subject_2010_8.geojson,3.79325,0.083623
russia_population_by_federal_subject_2010_9.geojson,3.30001,0.0619746
russia_population_by_federal_subject_2010_10.geojson,3.03238,0.0460264
