round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 856.363945, 0.826199, 0.503185, 0.677836, 0.597432, 0.696743, 20.969294, 0.000000, 0.1464 Second
1, 420.696213, 0.719596, 0.332366, 0.607296, 0.472742, 0.415349, 16.922677, 0.000000, 0.1467 Second
2, 189.536132, 0.523128, 0.249026, 0.552140, 0.396741, 0.237547, 19.104902, 0.000000, 0.1601 Second
3, 117.170776, 0.405154, 0.211081, 0.517362, 0.357777, 0.167001, 20.818122, 0.000000, 0.1788 Second
4, 87.145580, 0.423221, 0.188795, 0.495992, 0.329341, 0.101785, 20.729302, 0.000000, 0.1792 Second
5, 67.869450, 0.403065, 0.171883, 0.477162, 0.313198, 0.078421, 18.521956, 0.000000, 0.1863 Second
6, 52.926493, 0.453431, 0.158376, 0.460269, 0.300818, 0.065334, 17.292749, 0.000000, 0.1945 Second
7, 45.006719, 0.490534, 0.147676, 0.445569, 0.289280, 0.056207, 15.847302, 0.000000, 0.2032 Second
8, 38.308852, 0.503842, 0.137272, 0.430823, 0.277401, 0.049189, 16.060689, 0.000000, 0.2392 Second
9, 34.091618, 0.508310, 0.128751, 0.417802, 0.266661, 0.044281, 15.424643, 0.000000, 0.2290 Second
10, 29.719064, 0.494450, 0.119563, 0.403314, 0.254326, 0.039706, 15.444882, 0.000000, 0.2463 Second
11, 26.087551, 0.475222, 0.112046, 0.391232, 0.243429
Enlarge: 6.000000, Shrink: 9.000000, treeDepth: 6, minTreeDepth: 6

