map_name,max_relative_area_error,area_weighted_mean_error
usa_population_by_county_2021.geojson,41.2642,0.597633
usa_population_by_county_2021_0.geojson,27.4948,0.464149
usa_population_by_county_2021_1.geojson,18.2597,0.340073
usa_population_by_county_2021_2.geojson,15.8815,0.259101
usa_population_by_county_2021_3.geojson,10.5868,0.193547
usa_population_by_county_2021_4.geojson,8.2786,0.157501
usa_population_by_county_2021_5.geojson,6.2989,0.139247
usa_population_by_county_2021_6.geojson,7.58813,0.131532
usa_population_by_county_2021_7.geojson,8.1592,0.128213
usa_population_by_county_2021_8.geojson,8.43334,0.124053
usa_population_by_county_2021_9.geojson,6.91642,0.121925
usa_population_by_county_2021_10.geojson,6.3173,0.119955
