round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 72.229584, 0.990847, 2.417328, 0.514328, 0.436177, 0.486286, 17.374905, 0.000000, 0.1032 Second
1, 26.124669, 0.937257, 0.264241, 0.321862, 0.252700, 0.235184, 15.096968, 0.000000, 0.1337 Second
2, 8.469315, 0.928759, 0.169858, 0.198621, 0.110216, 0.073135, 14.950075, 0.000000, 0.0954 Second
3, 3.763200, 0.908615, 0.113225, 0.157493, 0.065331, 0.029068, 15.203763, 0.000000, 0.0901 Second
4, 2.757866, 0.886584, 0.082252, 0.143439, 0.054787, 0.022659, 12.782801, 0.000000, 0.1123 Second
5, 2.268057, 0.856523, 0.057935, 0.133401, 0.050860, 0.021105, 9.847514, 0.000000, 0.1245 Second
6, 2.007531, 0.817653, 0.039941, 0.124166, 0.047976, 0.021445, 17.611813, 0.000000, 0.1182 Second
7, 1.803675, 0.794949, 0.032913, 0.118508, 0.046897, 0.021581, 19.164783, 0.000000, 0.1465 Second
8, 1.706770, 0.769192, 0.027047, 0.113636, 0.046149, 0.022088, 13.587818, 0.000000, 0.1323 Second
9, 1.527407, 0.726365, 0.020104, 0.105666, 0.044708, 0.022668, 11.763508, 0.000000, 0.1315 Second
10, 1.371194, 0.670418, 0.014280, 0.096491, 0.042387, 0.022255, 10.072065, 0.000000, 0.1691 Second
11, 1.159620, 0.578188, 0.008776, 0.083396, 0.039535
Enlarge: 6.000000, Shrink: 9.000000, treeDepth: 6, minTreeDepth: 6

