round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 29.932532, 0.934582, 0.377658, 0.388731, 0.285783, 0.230082, 15.871423, 0.000000, 0.0895 Second
1, 14.577282, 0.941192, 0.296628, 0.253562, 0.147098, 0.090956, 14.222419, 0.000000, 0.0908 Second
2, 6.299694, 0.934614, 0.246578, 0.211589, 0.097959, 0.034974, 12.690027, 0.000000, 0.0927 Second
3, 2.993167, 0.926889, 0.208860, 0.190077, 0.086672, 0.024548, 11.365866, 0.000000, 0.0987 Second
4, 2.351227, 0.917104, 0.175344, 0.179809, 0.080843, 0.020820, 9.682215, 0.000000, 0.0947 Second
5, 1.913306, 0.903549, 0.141737, 0.170627, 0.076008, 0.018190, 6.814018, 0.000000, 0.0977 Second
6, 1.488119, 0.879919, 0.103215, 0.159107, 0.070542, 0.016247, 10.664944, 0.000000, 0.0886 Second
7, 1.384311, 0.860868, 0.083016, 0.153080, 0.068017, 0.015712, 1.678084, 0.000000, 0.0948 Second
8, 1.149373, 0.694075, 0.022843, 0.116970, 0.054040, 0.013596, 1.231624, 0.000000, 0.0957 Second
9, 0.783137, 0.347257, 0.004960, 0.071150, 0.039509, 0.010691, 1.221956, 0.000000, 0.0955 Second
10, 0.256904, 0.417461, 0.004230, 0.058958, 0.031840, 0.008340, 1.268228, 0.000000, 0.1069 Second
11, 0.246370, 0.318817, 0.002808, 0.049851, 0.027121, 0.007707, 1.050000, 0.000000, 0.0986 Second
12, 0.249199, 0.274059, 0.002329, 0.045952, 0.023968, 0.006468, 1.050000, 0.000000, 0.0999 Second
13, 0.247660, 0.274290, 0.002137, 0.044182, 0.022892, 0.006223, 1.050000, 0.000000, 0.0969 Second
14, 0.233730, 0.275411, 0.002002, 0.042766, 0.022125, 0.005973, 1.050000, 0.000000, 0.1126 Second
15, 0.230208, 0.276251, 0.001921, 0.041916, 0.021625, 0.005886, 1.050000, 0.000000, 0.0989 Second
16, 0.221688, 0.277067, 0.001854, 0.041146, 0.021190, 0.005731, 1.050000, 0.000000, 0.1001 Second
17, 0.214853, 0.277628, 0.001801, 0.040523, 0.020837, 0.005634, 1.050000, 0.000000, 0.1057 Second
18, 0.209287, 0.278062, 0.001759, 0.040018, 0.020535, 0.005546, 1.050000, 0.000000, 0.1058 Second
19, 0.204825, 0.278288, 0.001723, 0.039591, 0.020260, 0.005467, 1.050000, 0.000000, 0.1173 Second
20, 0.200970, 0.278237, 0.001691, 0.039204, 0.019977, 0.005395, 1.050000, 0.000000, 0.1030 Second
21, 0.197583, 0.277828, 0.001661, 0.038841, 0.019688, 0.005325, 1.050000, 0.000000, 0.1154 Second
22, 0.194605, 0.276932, 0.001630, 0.038485, 0.019464, 0.005297, 1.050000, 0.000000, 0.1220 Second
23, 0.193235, 0.275474, 0.001602, 0.038165, 0.019364, 0.005334, 1.050000, 0.000000, 0.1125 Second
24, 0.191948, 0.273425, 0.001574, 0.037862, 0.019523, 0.005456, 1.050000, 0.000000, 0.1082 Second
25, 0.190847, 0.270847, 0.001543, 0.037528, 0.019778, 0.005643, 1.050000, 0.000000, 0.1061 Second
26, 0.189758, 0.268362, 0.001510, 0.037168, 0.019761, 0.005710, 1.050000, 0.000000, 0.1038 Second
27, 0.188678, 0.265682, 0.001475, 0.036778, 0.019579, 0.005700, 1.050000, 0.000000, 0.1162 Second
28, 0.187655, 0.262159, 0.001437, 0.036348, 0.019362, 0.005672, 1.050000, 0.000000, 0.1134 Second
29, 0.186679, 0.258602, 0.001399, 0.035906, 0.019064, 0.005598, 1.050000, 0.000000, 0.1176 Second
30, 0.185750, 0.255504, 0.001365, 0.035505, 0.018760, 0.005519, 1.050000, 0.000000, 0.1165 Second
31, 0.184850, 0.252922, 0.001335, 0.035151, 0.018457, 0.005439, 1.050000, 0.000000, 0.1077 Second
32, 0.183995, 0.250654, 0.001309, 0.034836, 0.018196, 0.005367, 1.050000, 0.000000, 0.1151 Second
33, 0.183182, 0.248611, 0.001286, 0.034551, 0.018063, 0.005312, 1.050000, 0.000000, 0.1065 Second
34, 0.182398, 0.246729, 0.001265, 0.034283, 0.017927, 0.005250, 1.050000, 0.000000, 0.1117 Second
35, 0.181641, 0.240147, 0.001218, 0.033714, 0.017795, 0.005250, 1.050000, 0.000000, 0.1169 Second
36, 0.180906, 0.238290, 0.001198, 0.033464, 0.017664, 0.005190, 1.050000, 0.000000, 0.1184 Second
37, 0.180197, 0.236400, 0.001180, 0.033230, 0.017605, 0.005169, 1.050000, 0.000000, 0.1202 Second
38, 0.179511, 0.234096, 0.001160, 0.032977, 0.017551, 0.005156, 1.050000, 0.000000, 0.1195 Second
39, 0.178848, 0.231942, 0.001142, 0.032743, 0.017508, 0.005146, 1.050000, 0.000000, 0.1191 Second
40, 0.178203, 0.229615, 0.001124, 0.032504, 0.017462, 0.005139, 1.050000, 0.000000, 0.1214 Second
41, 0.177577, 0.227415, 0.001107, 0.032279, 0.017412, 0.005133, 1.050000, 0.000000, 0.1207 Second
42, 0.176969, 0.225282, 0.001091, 0.032066, 0.017366, 0.005136, 1.050000, 0.000000, 0.1214 Second
43, 0.176387, 0.223122, 0.001075, 0.031848, 0.017317, 0.005136, 1.050000, 0.000000, 0.1197 Second
44, 0.175822, 0.220956, 0.001059, 0.031635, 0.017275, 0.005136, 1.050000, 0.000000, 0.1130 Second
45, 0.175261, 0.220192, 0.001051, 0.031524, 0.017260, 0.005135, 1.050000, 0.000000, 0.1221 Second
46, 0.174716, 0.219260, 0.001042, 0.031408, 0.017246, 0.005135, 1.050000, 0.000000, 0.1253 Second
47, 0.174181, 0.218247, 0.001034, 0.031292, 0.017233, 0.005135, 1.050000, 0.000000, 0.1203 Second
48, 0.173667, 0.217195, 0.001026, 0.031178, 0.017214, 0.005132, 1.050000, 0.000000, 0.1226 Second
49, 0.173166, 0.216107, 0.001018, 0.031067, 0.017194, 0.005128, 1.050000, 0.000000, 0.1264 Second
50, 0.172676, 0.215051, 0.001010, 0.030957, 0.017162, 0.005119, 1.050000, 0.000000, 0.1181 Second
51, 0.172191, 0.213592, 0.001000, 0.030805, 0.017096, 0.005102, 1.050000, 0.000000, 0.1320 Second
52, 0.171721, 0.212300, 0.000990, 0.030665, 0.017034, 0.005082, 1.050000, 0.000000, 0.1186 Second
53, 0.170483, 0.211128, 0.000980, 0.030514, 0.016969, 0.005056, 1.050000, 0.000000, 0.1163 Second
54, 0.169304, 0.209985, 0.000969, 0.030359, 0.016903, 0.005032, 1.050000, 0.000000, 0.1174 Second
55, 0.168189, 0.208770, 0.000959, 0.030203, 0.016835, 0.005009, 1.050000, 0.000000, 0.1258 Second
56, 0.167132, 0.207623, 0.000949, 0.030055, 0.016770, 0.004986, 1.050000, 0.000000, 0.1306 Second
57, 0.166138, 0.206517, 0.000939, 0.029913, 0.016708, 0.004965, 1.050000, 0.000000, 0.1241 Second
58, 0.165191, 0.202818, 0.000919, 0.029611, 0.016612, 0.004948, 1.050000, 0.000000, 0.1242 Second
59, 0.164289, 0.199691, 0.000901, 0.029348, 0.016521, 0.004929, 1.050000, 0.000000, 0.1279 Second
60, 0.163423, 0.199041, 0.000894, 0.029247, 0.016475, 0.004911, 1.050000, 0.000000, 0.1231 Second
61, 0.162593, 0.198310, 0.000888, 0.029142, 0.016428, 0.004895, 1.050000, 0.000000, 0.1199 Second
62, 0.161792, 0.197575, 0.000881, 0.029040, 0.016383, 0.004882, 1.050000, 0.000000, 0.1230 Second
63, 0.161022, 0.196804, 0.000875, 0.028938, 0.016341, 0.004869, 1.050000, 0.000000, 0.1250 Second
64, 0.160284, 0.196064, 0.000869, 0.028841, 0.016299, 0.004857, 1.050000, 0.000000, 0.1295 Second
65, 0.158971, 0.195326, 0.000862, 0.028733, 0.016256, 0.004848, 1.050000, 0.000000, 0.1332 Second
66, 0.157675, 0.194639, 0.000856, 0.028631, 0.016214, 0.004839, 1.050000, 0.000000, 0.1223 Second
67, 0.156272, 0.194847, 0.000853, 0.028579, 0.016178, 0.004826, 1.050000, 0.000000, 0.1221 Second
68, 0.154888, 0.194233, 0.000848, 0.028484, 0.016134, 0.004819, 1.050000, 0.000000, 0.1337 Second
69, 0.153525, 0.193614, 0.000842, 0.028388, 0.016096, 0.004812, 1.050000, 0.000000, 0.1321 Second
70, 0.153171, 0.193021, 0.000837, 0.028319, 0.016078, 0.004808, 1.050000, 0.000000, 0.1261 Second
71, 0.152819, 0.192452, 0.000833, 0.028253, 0.016059, 0.004804, 1.050000, 0.000000, 0.1298 Second
72, 0.152471, 0.191885, 0.000829, 0.028188, 0.016039, 0.004799, 1.050000, 0.000000, 0.1207 Second
73, 0.152127, 0.191323, 0.000825, 0.028124, 0.016018, 0.004794, 1.050000, 0.000000, 0.1233 Second
74, 0.151792, 0.190766, 0.000821, 0.028058, 0.015987, 0.004784, 1.050000, 0.000000, 0.1252 Second
75, 0.151461, 0.190254, 0.000818, 0.027996, 0.015956, 0.004773, 1.050000, 0.000000, 0.1306 Second
76, 0.151131, 0.189771, 0.000814, 0.027936, 0.015931, 0.004765, 1.050000, 0.000000, 0.1300 Second
77, 0.150813, 0.189307, 0.000810, 0.027878, 0.015894, 0.004752, 1.050000, 0.000000, 0.1284 Second
78, 0.150501, 0.189522, 0.000809, 0.027857, 0.015858, 0.004733, 1.050000, 0.000000, 0.1301 Second
