map_name,max_relative_area_error,area_weighted_mean_error
NUTS_population_by_region_2020.geojson,100.405,0.399762
NUTS_population_by_region_2020_0.geojson,70.5343,0.28122
NUTS_population_by_region_2020_1.geojson,56.2496,0.252745
NUTS_population_by_region_2020_2.geojson,45.4903,0.238548
NUTS_population_by_region_2020_3.geojson,36.7837,0.220308
NUTS_population_by_region_2020_4.geojson,32.2805,0.206678
NUTS_population_by_region_2020_5.geojson,29.3273,0.195184
NUTS_population_by_region_2020_6.geojson,23.552,0.17676
NUTS_population_by_region_2020_7.geojson,20.8911,0.168968
NUTS_population_by_region_2020_8.geojson,18.2396,0.159618
NUTS_population_by_region_2020_9.geojson,16.5015,0.156198
NUTS_population_by_region_2020_10.geojson,14.9448,0.152643
NUTS_population_by_region_2020_11.geojson,12.833,0.150775
NUTS_population_by_region_2020_12.geojson,10.1768,0.146421
NUTS_population_by_region_2020_13.geojson,8.0403,0.149652
NUTS_population_by_region_2020_14.geojson,7.33652,0.139651
NUTS_population_by_region_2020_15.geojson,6.21051,0.139778
NUTS_population_by_region_2020_16.geojson,5.33793,0.136514
NUTS_population_by_region_2020_17.geojson,4.77096,0.135152
NUTS_population_by_region_2020_18.geojson,4.13231,0.137545
NUTS_population_by_region_2020_19.geojson,3.77348,0.131954
NUTS_population_by_region_2020_20.geojson,3.34809,0.129763
NUTS_population_by_region_2020_21.geojson,2.92045,0.128151
NUTS_population_by_region_2020_22.geojson,2.67828,0.129268
NUTS_population_by_region_2020_23.geojson,2.25592,0.129663
NUTS_population_by_region_2020_24.geojson,1.91922,0.13355
NUTS_population_by_region_2020_25.geojson,1.68921,0.131005
NUTS_population_by_region_2020_26.geojson,1.71656,0.125342
NUTS_population_by_region_2020_27.geojson,2.61787,0.123154
NUTS_population_by_region_2020_28.geojson,2.65811,0.122139
NUTS_population_by_region_2020_29.geojson,2.05826,0.121705
NUTS_population_by_region_2020_30.geojson,2.32051,0.120063
NUTS_population_by_region_2020_31.geojson,1.70396,0.117377
NUTS_population_by_region_2020_32.geojson,1.76509,0.116571
NUTS_population_by_region_2020_33.geojson,1.86565,0.115592
NUTS_population_by_region_2020_34.geojson,1.96835,0.115499
NUTS_population_by_region_2020_35.geojson,2.07184,0.11537
NUTS_population_by_region_2020_36.geojson,2.05413,0.115766
NUTS_population_by_region_2020_37.geojson,2.1082,0.114881
NUTS_population_by_region_2020_38.geojson,2.1188,0.115112
NUTS_population_by_region_2020_39.geojson,2.17499,0.115536
NUTS_population_by_region_2020_40.geojson,2.22304,0.115089
NUTS_population_by_region_2020_41.geojson,2.20026,0.115102
NUTS_population_by_region_2020_42.geojson,2.18686,0.115141
NUTS_population_by_region_2020_43.geojson,2.17709,0.11489
NUTS_population_by_region_2020_44.geojson,2.04617,0.114442
NUTS_population_by_region_2020_45.geojson,2.00566,0.113648
NUTS_population_by_region_2020_46.geojson,1.98772,0.113302
NUTS_population_by_region_2020_47.geojson,2.04459,0.112345
NUTS_population_by_region_2020_48.geojson,2.07637,0.111799
NUTS_population_by_region_2020_49.geojson,2.12623,0.112373
NUTS_population_by_region_2020_50.geojson,2.09415,0.111926
NUTS_population_by_region_2020_51.geojson,2.12078,0.11261
NUTS_population_by_region_2020_52.geojson,2.07828,0.112622
NUTS_population_by_region_2020_53.geojson,2.05759,0.112875
NUTS_population_by_region_2020_54.geojson,2.09184,0.112862
NUTS_population_by_region_2020_55.geojson,2.09181,0.11259
NUTS_population_by_region_2020_56.geojson,2.09667,0.112518
NUTS_population_by_region_2020_57.geojson,2.09311,0.11277
NUTS_population_by_region_2020_58.geojson,2.07035,0.112496
NUTS_population_by_region_2020_59.geojson,2.24056,0.112893
NUTS_population_by_region_2020_60.geojson,2.04038,0.114034
NUTS_population_by_region_2020_61.geojson,2.19144,0.113572
NUTS_population_by_region_2020_62.geojson,2.00756,0.115037
NUTS_population_by_region_2020_63.geojson,2.0383,0.115528
NUTS_population_by_region_2020_64.geojson,2.14606,0.115764
NUTS_population_by_region_2020_65.geojson,2.17016,0.116568
NUTS_population_by_region_2020_66.geojson,2.18431,0.116728
NUTS_population_by_region_2020_67.geojson,2.1617,0.116647
NUTS_population_by_region_2020_68.geojson,2.13593,0.117341
NUTS_population_by_region_2020_69.geojson,2.13256,0.116808
NUTS_population_by_region_2020_70.geojson,2.13084,0.117513
NUTS_population_by_region_2020_71.geojson,2.15389,0.116929
NUTS_population_by_region_2020_72.geojson,2.19314,0.115793
NUTS_population_by_region_2020_73.geojson,2.22824,0.115557
NUTS_population_by_region_2020_74.geojson,2.2554,0.115063
NUTS_population_by_region_2020_75.geojson,2.31236,0.11474
NUTS_population_by_region_2020_76.geojson,2.38194,0.113257
NUTS_population_by_region_2020_77.geojson,2.46074,0.111082
NUTS_population_by_region_2020_78.geojson,2.55203,0.109929
NUTS_population_by_region_2020_79.geojson,2.61027,0.110615
NUTS_population_by_region_2020_80.geojson,2.65496,0.111107
NUTS_population_by_region_2020_81.geojson,2.73496,0.111352
NUTS_population_by_region_2020_82.geojson,2.76968,0.111584
NUTS_population_by_region_2020_83.geojson,2.8207,0.111886
NUTS_population_by_region_2020_84.geojson,2.87243,0.111963
NUTS_population_by_region_2020_85.geojson,2.95484,0.111954
NUTS_population_by_region_2020_86.geojson,3.00594,0.112275
NUTS_population_by_region_2020_87.geojson,3.07979,0.112445
NUTS_population_by_region_2020_88.geojson,3.09923,0.112989
NUTS_population_by_region_2020_89.geojson,3.10595,0.1131
NUTS_population_by_region_2020_90.geojson,3.11311,0.113665
NUTS_population_by_region_2020_91.geojson,3.14318,0.113329
NUTS_population_by_region_2020_92.geojson,3.16747,0.113089
NUTS_population_by_region_2020_93.geojson,3.2047,0.113074
NUTS_population_by_region_2020_94.geojson,3.23059,0.112899
NUTS_population_by_region_2020_95.geojson,3.24178,0.11242
NUTS_population_by_region_2020_96.geojson,3.24761,0.112187
NUTS_population_by_region_2020_97.geojson,3.28859,0.111835
NUTS_population_by_region_2020_98.geojson,3.32322,0.112155
NUTS_population_by_region_2020_99.geojson,3.27711,0.111801
