map_name,max_relative_area_error,area_weighted_mean_error
australia_population_by_state_and_territory_2021.geojson,17.1428,0.479512
australia_population_by_state_and_territory_2021_0.geojson,2.94544,0.129336
australia_population_by_state_and_territory_2021_1.geojson,0.760906,0.0916011
australia_population_by_state_and_territory_2021_2.geojson,0.845114,0.141912
australia_population_by_state_and_territory_2021_3.geojson,0.677408,0.172281
australia_population_by_state_and_territory_2021_4.geojson,0.683038,0.184573
australia_population_by_state_and_territory_2021_5.geojson,0.686988,0.165795
australia_population_by_state_and_territory_2021_6.geojson,0.662184,0.203569
australia_population_by_state_and_territory_2021_7.geojson,0.655335,0.126548
australia_population_by_state_and_territory_2021_8.geojson,0.727865,0.202012
australia_population_by_state_and_territory_2021_9.geojson,0.774314,0.141811
australia_population_by_state_and_territory_2021_10.geojson,0.663058,0.145809
australia_population_by_state_and_territory_2021_11.geojson,0.637029,0.0968537
australia_population_by_state_and_territory_2021_12.geojson,0.681411,0.197211
australia_population_by_state_and_territory_2021_13.geojson,0.586995,0.142045
australia_population_by_state_and_territory_2021_14.geojson,0.576447,0.122048
australia_population_by_state_and_territory_2021_15.geojson,0.638647,0.140228
australia_population_by_state_and_territory_2021_16.geojson,0.554882,0.092166
