round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 17.142831, 0.982479, 5.613634, 0.636853, 0.571435, 0.452169, 12.827201, 0.000000, 0.0439 Second
1, 2.945445, 0.923327, 0.885633, 0.410052, 0.299656, 0.116862, 10.979199, 0.000000, 0.0422 Second
2, 0.249464, 0.760906, 0.226410, 0.292760, 0.197075, 0.083548, 4.941959, 0.000000, 0.0462 Second
3, 0.845114, 0.649757, 0.088436, 0.239586, 0.188446, 0.123422, 8.285994, 0.000000, 0.0434 Second
4, 0.537231, 0.677408, 0.122292, 0.266435, 0.221183, 0.155835, 8.552936, 0.000000, 0.0498 Second
5, 0.618802, 0.683038, 0.094742, 0.238209, 0.192905, 0.185708, 10.316491, 0.000000, 0.0487 Second
6, 0.599215, 0.686988, 0.112221, 0.255942, 0.215366, 0.147909, 7.741555, 0.000000, 0.0532 Second
7, 0.662184, 0.639074, 0.141317, 0.287616, 0.235482, 0.176598, 11.780250, 0.000000, 0.0536 Second
8, 0.233845, 0.655335, 0.076027, 0.207996, 0.155296, 0.109748, 6.494858, 0.000000, 0.0566 Second
9, 0.727865, 0.722616, 0.129981, 0.266937, 0.217640, 0.208973, 11.588672, 0.000000, 0.0582 Second
10, 0.774314, 0.657073, 0.099576, 0.250170, 0.199057, 0.125377, 8.704716, 0.000000, 0.0637 Second
11, 0.477464, 0.663058, 0.108353, 0.251868, 0.201407, 0.141912, 11.503086, 0.000000, 0.0572 Second
12, 0.342467, 0.637029, 0.059441, 0.184969, 0.125810, 0.093788, 6.133188, 0.000000, 0.0601 Second
13, 0.681411, 0.588668, 0.084330, 0.238026, 0.193009, 0.179754, 11.917749, 0.000000, 0.0606 Second
14, 0.485125, 0.586995, 0.078092, 0.229466, 0.190447, 0.127201, 9.714876, 0.000000, 0.0660 Second
15, 0.442102, 0.576447, 0.060002, 0.202009, 0.159012, 0.116546, 9.765741, 0.000000, 9.6131 Second
16, 0.638647, 0.553776, 0.053018, 0.197254, 0.160127, 0.141402, 10.868621, 0.000000, 3.0682 Second
