round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 0.743496, 0.949769, 4.021093, 0.550361, 0.435767, 0.212699, 10.147758, 0.000000, 0.0192 Second
1, 0.311531, 0.858431, 0.932355, 0.451239, 0.350577, 0.150841, 6.233140, 0.000000, 0.0215 Second
2, 0.833249, 0.518839, 0.108771, 0.293069, 0.288183, 0.269623, 12.864309, 0.000000, 0.0252 Second
3, 0.378991, 0.105333, 0.008447, 0.097474, 0.073576, 0.042242, 7.552716, 0.000000, 0.0281 Second
4, 0.109453, 0.460008, 0.044302, 0.175177, 0.120837, 0.042281, 3.593870, 0.000000, 0.0313 Second
5, 1.551300, 0.408624, 0.077010, 0.293086, 0.241461, 0.182375, 12.962253, 0.000000, 0.0410 Second
6, 0.161469, 0.098301, 0.002905, 0.054670, 0.051037, 0.057361, 3.932585, 0.000000, 0.0395 Second
7, 0.307916, 0.332496, 0.023080, 0.142654, 0.130633, 0.098957, 8.726281, 0.000000, 0.0499 Second
8, 0.336726, 0.659234, 0.175939, 0.296425, 0.222909, 0.096420, 8.536889, 0.000000, 0.0493 Second
9, 0.652653, 0.356079, 0.037076, 0.190418, 0.166349, 0.109658, 10.656584, 0.000000, 0.0567 Second
10, 0.213652, 0.463114, 0.047282, 0.182926, 0.138085, 0.063292, 7.159570, 0.000000, 0.0614 Second
11, 1.176619, 0.320909, 0.049931, 0.240918, 0.193854, 0.137262, 12.649312, 0.000000, 0.0697 Second
12, 0.142419, 0.067944, 0.002078, 0.046319, 0.043193, 0.045754, 3.067447, 0.000000, 0.0699 Second
13, 0.316232, 0.350243, 0.026020, 0.150157, 0.137174, 0.103685, 11.083566, 0.000000, 0.0774 Second
14, 0.195818, 0.487546, 0.054983, 0.193173, 0.140217, 0.056330, 6.191267, 0.000000, 0.0832 Second
15, 1.413331, 0.399511, 0.070576, 0.279382, 0.227947, 0.164058, 13.969267, 0.000000, 0.0958 Second
16, 0.109800, 0.070845, 0.001594, 0.040352, 0.039179, 0.041210, 2.606079, 0.000000, 0.0954 Second
17, 0.165989, 0.251865, 0.010772, 0.098706, 0.090559, 0.076149, 5.879960, 0.000000, 0.1055 Second
18, 0.271321, 0.457945, 0.047430, 0.185814, 0.149963, 0.083103, 7.831527, 0.000000, 0.1160 Second
19, 0.984093, 0.315506, 0.042567, 0.218974, 0.173550, 0.111644, 10.645747, 0.000000, 0.1203 Second
20, 0.224021, 0.296572, 0.015841, 0.117912, 0.103405, 0.070971, 6.242809, 0.000000, 0.1258 Second
21, 0.946176, 0.206485, 0.032067, 0.197775, 0.155701, 0.111609, 10.205662, 0.000000, 0.1322 Second
22, 0.176114, 0.192409, 0.006605, 0.079322, 0.072975, 0.056296, 4.610123, 0.000000, 0.1343 Second
23, 0.733486, 0.193793, 0.023655, 0.167048, 0.129928, 0.084401, 9.847935, 0.000000, 0.1416 Second
24, 0.157342, 0.302740, 0.014749, 0.111623, 0.088976, 0.048572, 4.823796, 0.000000, 0.1500 Second
25, 1.485092, 0.224661, 0.053028, 0.260771, 0.210905, 0.182216, 10.097278, 0.000000, 0.1529 Second
26, 0.188275, 0.097059, 0.004121, 0.065688, 0.063757, 0.056534, 3.834999, 0.000000, 0.1644 Second
