round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 8.176922, 0.964524, 1.456534, 0.567095, 0.515037, 0.514270, 17.853503, 0.000000, 0.0773 Second
1, 2.265313, 0.947697, 0.507102, 0.300372, 0.212745, 0.201727, 14.377457, 0.000000, 0.0773 Second
2, 0.463479, 0.898218, 0.189998, 0.204051, 0.127288, 0.082821, 8.615775, 0.000000, 0.0829 Second
3, 0.564542, 0.681567, 0.036711, 0.152390, 0.099062, 0.079680, 9.409827, 0.000000, 0.0869 Second
4, 0.449114, 0.406389, 0.017493, 0.121007, 0.089902, 0.081321, 11.076291, 0.000000, 0.0935 Second
5, 0.229383, 0.313994, 0.004359, 0.063267, 0.047592, 0.047327, 5.192293, 0.000000, 0.0955 Second
6, 0.588195, 0.499340, 0.022991, 0.134430, 0.092400, 0.090915, 11.476836, 0.000000, 0.1132 Second
7, 0.539669, 0.541520, 0.015984, 0.111805, 0.074947, 0.053907, 7.489481, 0.000000, 0.1168 Second
8, 1.182717, 0.471627, 0.024634, 0.149880, 0.100847, 0.083264, 12.984102, 0.000000, 0.1275 Second
9, 0.225916, 0.492554, 0.011290, 0.093315, 0.064005, 0.040968, 5.422724, 0.000000, 0.1318 Second
10, 1.780152, 0.458961, 0.024759, 0.157950, 0.102100, 0.096748, 13.094211, 0.000000, 0.1393 Second
11, 0.357710, 0.372063, 0.007573, 0.081273, 0.057284, 0.042361, 6.809772, 0.000000, 0.1492 Second
12, 0.721089, 0.445342, 0.009892, 0.096045, 0.062725, 0.042054, 9.512894, 0.000000, 0.1512 Second
13, 0.342469, 0.365162, 0.008572, 0.084753, 0.055963, 0.031134, 6.006611, 0.000000, 0.1524 Second
14, 0.939458, 0.422826, 0.015673, 0.126907, 0.087665, 0.061109, 10.394938, 0.000000, 0.1649 Second
15, 0.250772, 0.568865, 0.021544, 0.121962, 0.077966, 0.039689, 5.894319, 0.000000, 0.1713 Second
16, 1.290850, 0.274584, 0.020181, 0.151658, 0.107519, 0.084131, 11.390667, 0.000000, 0.1852 Second
17, 0.121716, 0.507643, 0.019647, 0.120328, 0.080538, 0.048644, 6.387061, 0.000000, 0.1876 Second
18, 1.042546, 0.385514, 0.021566, 0.154512, 0.114583, 0.101175, 13.534020, 0.000000, 0.2082 Second
19, 0.137730, 0.234993, 0.003441, 0.056104, 0.042942, 0.036294, 5.222787, 0.000000, 0.1993 Second
20, 0.576088, 0.254827, 0.004096, 0.066128, 0.043982, 0.041457, 8.420293, 0.000000, 0.2107 Second
21, 0.299114, 0.508289, 0.010062, 0.086219, 0.050836, 0.029781, 8.159738, 0.000000, 0.2095 Second
22, 0.897209, 0.479057, 0.011110, 0.099930, 0.056543, 0.040800, 10.993518, 0.000000, 0.2232 Second
23, 0.490316, 0.337394, 0.005798, 0.074565, 0.047382, 0.028775, 7.640424, 0.000000, 0.2313 Second
24, 0.719192, 0.370386, 0.010663, 0.097207, 0.058700, 0.035563, 10.179704, 0.000000, 0.2424 Second
25, 0.261250, 0.442198, 0.007392, 0.076377, 0.046706, 0.029264, 8.518016, 0.000000, 0.2438 Second
26, 0.898769, 0.262460, 0.006429, 0.084215, 0.050338, 0.045521, 13.693530, 0.000000, 0.2566 Second
27, 0.071393, 0.211295, 0.001186, 0.033121, 0.022451, 0.016285, 3.699113, 0.000000, 0.2571 Second
28, 0.669534, 0.285116, 0.003811, 0.063282, 0.034568, 0.025536, 8.138583, 0.000000, 0.2678 Second
