map_name,max_relative_area_error,area_weighted_mean_error
concentric_circles.geojson,0.7502,0.0961277
concentric_circles_0.geojson,0.669793,0.117245
concentric_circles_1.geojson,2.37586,0.289162
concentric_circles_2.geojson,0.715673,0.0920093
concentric_circles_3.geojson,0.300423,0.0461866
concentric_circles_4.geojson,1.52774,0.18691
concentric_circles_5.geojson,0.140627,0.0195488
concentric_circles_6.geojson,0.454904,0.073366
concentric_circles_7.geojson,1.27644,0.157682
concentric_circles_8.geojson,0.0474761,0.00671713
concentric_circles_9.geojson,0.0644185,0.00933121
concentric_circles_10.geojson,0.0700617,0.00986882
concentric_circles_11.geojson,0.185488,0.027651
concentric_circles_12.geojson,0.505049,0.0664617
concentric_circles_13.geojson,0.388841,0.0613801
concentric_circles_14.geojson,0.688,0.0886963
concentric_circles_15.geojson,0.311246,0.0479991
concentric_circles_16.geojson,0.698847,0.0899963
concentric_circles_17.geojson,0.208994,0.0313427
concentric_circles_18.geojson,0.521619,0.068503
concentric_circles_19.geojson,0.218407,0.0328346
concentric_circles_20.geojson,0.437769,0.0581072
concentric_circles_21.geojson,0.271451,0.0413947
concentric_circles_22.geojson,0.473377,0.0625425
concentric_circles_23.geojson,0.209605,0.0314393
concentric_circles_24.geojson,0.378997,0.0507126
concentric_circles_25.geojson,0.27884,0.0426087
concentric_circles_26.geojson,0.459661,0.0608378
concentric_circles_27.geojson,0.282541,0.0432188
concentric_circles_28.geojson,0.472704,0.0624591
concentric_circles_29.geojson,0.291551,0.04471
concentric_circles_30.geojson,0.664133,0.0858297
concentric_circles_31.geojson,0.259055,0.0393702
concentric_circles_32.geojson,0.577782,0.0753776
concentric_circles_33.geojson,0.229278,0.0345675
concentric_circles_34.geojson,0.526888,0.0691507
concentric_circles_35.geojson,0.283465,0.0433714
concentric_circles_36.geojson,0.596073,0.0776029
concentric_circles_37.geojson,0.220107,0.0331048
concentric_circles_38.geojson,0.492991,0.0649725
concentric_circles_39.geojson,0.179053,0.0266485
concentric_circles_40.geojson,0.404061,0.0538778
concentric_circles_41.geojson,0.160633,0.023798
concentric_circles_42.geojson,0.305252,0.0412894
concentric_circles_43.geojson,0.159462,0.0236178
concentric_circles_44.geojson,0.347632,0.0467257
concentric_circles_45.geojson,0.348308,0.054303
concentric_circles_46.geojson,0.485459,0.0640404
concentric_circles_47.geojson,0.303657,0.0467269
concentric_circles_48.geojson,0.438519,0.0582009
concentric_circles_49.geojson,0.358779,0.0561124
concentric_circles_50.geojson,0.441284,0.0585463
concentric_circles_51.geojson,0.324571,0.050248
concentric_circles_52.geojson,0.420835,0.0559863
concentric_circles_53.geojson,0.410443,0.0652352
concentric_circles_54.geojson,0.543553,0.0711957
concentric_circles_55.geojson,0.337369,0.0524264
concentric_circles_56.geojson,0.43745,0.0580673
concentric_circles_57.geojson,0.420267,0.0670085
concentric_circles_58.geojson,0.499661,0.0657967
concentric_circles_59.geojson,0.227096,0.0342188
concentric_circles_60.geojson,0.436892,0.0579975
concentric_circles_61.geojson,0.258144,0.039222
concentric_circles_62.geojson,0.326741,0.0440531
concentric_circles_63.geojson,0.247518,0.0374994
concentric_circles_64.geojson,0.367861,0.0493005
concentric_circles_65.geojson,0.227262,0.0342454
concentric_circles_66.geojson,0.311658,0.0421149
concentric_circles_67.geojson,0.21547,0.0323683
concentric_circles_68.geojson,0.280408,0.0380747
concentric_circles_69.geojson,0.276784,0.0422703
concentric_circles_70.geojson,0.398681,0.0531999
concentric_circles_71.geojson,0.282848,0.0432696
concentric_circles_72.geojson,0.278633,0.0378441
concentric_circles_73.geojson,0.213666,0.0320823
concentric_circles_74.geojson,0.294974,0.039962
concentric_circles_75.geojson,0.196397,0.0293584
concentric_circles_76.geojson,0.164689,0.0227957
concentric_circles_77.geojson,0.161787,0.0239757
concentric_circles_78.geojson,0.0873512,0.0122634
concentric_circles_79.geojson,0.118142,0.0173249
concentric_circles_80.geojson,0.0468768,0.00663313
concentric_circles_81.geojson,0.00563078,0.000805344
