round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 17.497852, 0.989125, 2.038711, 0.501354, 0.423944, 0.397557, 18.548072, 0.000000, 0.0985 Second
1, 3.722910, 0.931674, 0.220871, 0.284263, 0.215621, 0.166782, 12.970024, 0.000000, 0.0928 Second
2, 0.652259, 0.904462, 0.117787, 0.167869, 0.105318, 0.057556, 8.551209, 0.000000, 0.0831 Second
3, 0.450547, 0.841715, 0.054407, 0.133984, 0.081572, 0.043311, 5.928097, 0.000000, 0.0857 Second
4, 1.396043, 0.617293, 0.022249, 0.137346, 0.094450, 0.061143, 10.986722, 0.000000, 0.0923 Second
5, 0.394374, 0.437851, 0.007500, 0.081670, 0.056058, 0.039067, 7.113700, 0.000000, 0.0944 Second
6, 0.863153, 0.395118, 0.008493, 0.093401, 0.058785, 0.047487, 10.838997, 0.000000, 0.0964 Second
7, 0.394030, 0.523567, 0.010273, 0.089174, 0.051592, 0.034367, 6.623297, 0.000000, 0.1066 Second
8, 1.622521, 0.556448, 0.015905, 0.125673, 0.070206, 0.057708, 13.677595, 0.000000, 0.1130 Second
9, 0.508195, 0.289205, 0.004085, 0.062619, 0.043068, 0.030357, 5.909388, 0.000000, 0.1178 Second
10, 0.456754, 0.132313, 0.002191, 0.048452, 0.034581, 0.026528, 4.753337, 0.000000, 0.1224 Second
11, 0.330549, 0.601288, 0.013887, 0.093083, 0.047807, 0.026750, 6.055092, 0.000000, 0.1401 Second
12, 2.376962, 0.568377, 0.015384, 0.126807, 0.058500, 0.040740, 8.812711, 0.000000, 0.1296 Second
13, 0.504617, 0.494293, 0.010271, 0.091005, 0.053911, 0.038162, 7.312418, 0.000000, 0.1417 Second
14, 0.646186, 0.517100, 0.010535, 0.095570, 0.055658, 0.034233, 7.594999, 0.000000, 0.1450 Second
15, 0.946927, 0.282061, 0.008717, 0.098816, 0.064716, 0.062141, 11.828967, 0.000000, 0.1557 Second
16, 0.220511, 0.277908, 0.002924, 0.051708, 0.034838, 0.023986, 4.965272, 0.000000, 0.1567 Second
17, 0.843256, 0.522146, 0.009408, 0.088857, 0.052884, 0.045948, 8.856416, 0.000000, 0.1667 Second
18, 1.021931, 0.537018, 0.011032, 0.098000, 0.055289, 0.042984, 8.117647, 0.000000, 0.1758 Second
19, 1.467965, 0.584317, 0.024352, 0.144011, 0.096835, 0.099944, 12.238907, 0.000000, 0.1904 Second
20, 0.679677, 0.517638, 0.012582, 0.103360, 0.067851, 0.043811, 7.593351, 0.000000, 0.1930 Second
21, 0.853537, 0.452715, 0.013855, 0.114081, 0.082227, 0.064161, 10.435222, 0.000000, 0.2038 Second
22, 0.789821, 0.352685, 0.006293, 0.081074, 0.053106, 0.044647, 9.181796, 0.000000, 0.2037 Second
23, 0.262963, 0.327179, 0.003096, 0.053593, 0.039788, 0.028652, 4.577378, 0.000000, 0.2049 Second
24, 1.176356, 0.412519, 0.007847, 0.089148, 0.055232, 0.041344, 9.109817, 0.000000, 0.2179 Second
25, 0.685723, 0.494070, 0.012251, 0.100844, 0.059617, 0.036172, 10.623184, 0.000000, 0.2256 Second
26, 0.728936, 0.433204, 0.008350, 0.090314, 0.055665, 0.040175, 8.948258, 0.000000, 0.2333 Second
27, 0.396585, 0.418453, 0.008080, 0.081670, 0.046003, 0.031582, 8.303535, 0.000000, 0.2357 Second
28, 0.888500, 0.441828, 0.012004, 0.107124, 0.063046, 0.045521, 12.796547, 0.000000, 0.2457 Second
29, 0.450137, 0.265992, 0.002992, 0.054247, 0.034911, 0.021944, 6.180847, 0.000000, 0.2426 Second
30, 0.166171, 0.478914, 0.007123, 0.073404, 0.038038, 0.020476, 7.147971, 0.000000, 0.2486 Second
31, 1.333438, 0.380745, 0.012303, 0.119627, 0.069317, 0.056234, 11.712870, 0.000000, 0.2680 Second
32, 0.143760, 0.413354, 0.005666, 0.067187, 0.036426, 0.019040, 5.137587, 0.000000, 0.2626 Second
33, 1.004565, 0.476019, 0.011149, 0.105141, 0.060150, 0.032169, 11.625895, 0.000000, 0.2791 Second
34, 0.510989, 0.219958, 0.002609, 0.052697, 0.032321, 0.020024, 5.229407, 0.000000, 0.2870 Second
35, 0.313735, 0.508112, 0.010571, 0.086964, 0.042736, 0.019686, 5.321388, 0.000000, 0.2913 Second
36, 1.139193, 0.488408, 0.016395, 0.135751, 0.079907, 0.064578, 13.175743, 0.000000, 0.3122 Second
37, 0.344132, 0.335575, 0.003668, 0.058126, 0.036674, 0.025393, 5.910198, 0.000000, 0.3052 Second
38, 0.562660, 0.350464, 0.004175, 0.063400, 0.034009, 0.021576, 8.703281, 0.000000, 0.3145 Second
39, 0.745139, 0.361361, 0.005011, 0.070010, 0.037461, 0.026137, 8.768123, 0.000000, 0.3241 Second
40, 0.389150, 0.437961, 0.005649, 0.068163, 0.034644, 0.017439, 8.327518, 0.000000, 0.3255 Second
41, 0.560678, 0.325479, 0.005177, 0.070780, 0.039059, 0.025087, 8.389708, 0.000000, 0.3322 Second
42, 0.191204, 0.413626, 0.006299, 0.070312, 0.034554, 0.018985, 6.982048, 0.000000, 0.3461 Second
43, 1.157332, 0.624397, 0.021552, 0.135998, 0.076651, 0.056349, 11.459629, 0.000000, 0.3654 Second
44, 0.229905, 0.506798, 0.008473, 0.079021, 0.040570, 0.022935, 6.628313, 0.000000, 0.3487 Second
45, 0.935081, 0.294362, 0.010296, 0.105857, 0.062751, 0.045089, 11.275673, 0.000000, 0.3730 Second
46, 0.238341, 0.434328, 0.004424, 0.060283, 0.034443, 0.020660, 8.597982, 0.000000, 0.3600 Second
47, 0.852915, 0.277322, 0.004772, 0.069757, 0.037040, 0.027297, 9.941516, 0.000000, 0.3754 Second
48, 0.295209, 0.393174, 0.003499, 0.054266, 0.030333, 0.020972, 6.623571, 0.000000, 0.3823 Second
49, 0.917714, 0.510629, 0.012493, 0.103566, 0.056415, 0.036196, 10.926193, 0.000000, 0.3953 Second
50, 0.596968, 0.288919, 0.005174, 0.071632, 0.045421, 0.032101, 9.367408, 0.000000, 0.3966 Second
51, 0.197017, 0.427476, 0.004713, 0.062377, 0.040162, 0.026936, 6.692501, 0.000000, 0.4039 Second
52, 0.875676, 0.199191, 0.004909, 0.073940, 0.044476, 0.034071, 12.034425, 0.000000, 0.4070 Second
53, 0.086081, 0.260130, 0.002681, 0.048866, 0.032737, 0.019259, 4.830817, 0.000000, 0.4148 Second
54, 0.257938, 0.257031, 0.002208, 0.045480, 0.031395, 0.018206, 4.795374, 0.000000, 0.4167 Second
55, 0.384129, 0.303086, 0.001963, 0.043394, 0.026668, 0.016935, 7.792523, 0.000000, 0.4305 Second
56, 0.117869, 0.245486, 0.000844, 0.027900, 0.019408, 0.012866, 3.387648, 0.000000, 0.4248 Second
57, 0.718517, 0.154469, 0.001765, 0.044865, 0.023167, 0.016017, 8.928217, 0.000000, 0.4402 Second
58, 0.071814, 0.344654, 0.001512, 0.035424, 0.018567, 0.010960, 6.113214, 0.000000, 0.4377 Second
59, 0.558907, 0.238892, 0.001778, 0.043138, 0.023906, 0.014790, 6.166854, 0.000000, 0.4496 Second
60, 0.088694, 0.423369, 0.002267, 0.041128, 0.018116, 0.010202, 6.510549, 0.000000, 0.4519 Second
61, 0.693763, 0.150519, 0.002266, 0.050465, 0.028507, 0.017169, 7.078897, 0.000000, 0.4661 Second
62, 0.090865, 0.314742, 0.001142, 0.031162, 0.017190, 0.010236, 4.617675, 0.000000, 0.4799 Second
63, 0.553952, 0.139717, 0.001578, 0.042168, 0.022247, 0.013383, 6.938914, 0.000000, 0.4832 Second
64, 0.071583, 0.258707, 0.000769, 0.026167, 0.015102, 0.008911, 4.315537, 0.000000, 0.4811 Second
65, 0.381099, 0.117823, 0.001042, 0.033796, 0.018270, 0.010690, 5.039943, 0.000000, 0.4933 Second
66, 0.049706, 0.165834, 0.000445, 0.020451, 0.013269, 0.007988, 2.441642, 0.000000, 0.4896 Second
67, 0.256815, 0.139705, 0.000476, 0.022216, 0.013016, 0.009347, 4.400933, 0.000000, 0.5014 Second
68, 0.045568, 0.108569, 0.000175, 0.013087, 0.010133, 0.007133, 1.073147, 0.000000, 0.5066 Second
69, 0.172363, 0.069947, 0.000310, 0.018001, 0.011480, 0.007591, 1.994611, 0.000000, 0.5072 Second
70, 0.058372, 0.076811, 0.000165, 0.012804, 0.010151, 0.006622, 1.071594, 0.000000, 0.5268 Second
71, 0.038408, 0.024863, 0.000081, 0.009020, 0.007812, 0.005950, 1.050000, 0.000000, 0.5421 Second
72, 0.039543, 0.026165, 0.000073, 0.008560, 0.007384, 0.005420, 1.050000, 0.000000, 0.5414 Second
73, 0.052620, 0.024632, 0.000073, 0.008569, 0.007196, 0.005121, 1.050000, 0.000000, 0.5407 Second
74, 0.062187, 0.025522, 0.000073, 0.008589, 0.007015, 0.004884, 1.050000, 0.000000, 0.5416 Second
75, 0.055100, 0.025488, 0.000066, 0.008130, 0.006716, 0.004694, 1.050000, 0.000000, 0.5553 Second
76, 0.045622, 0.024299, 0.000058, 0.007632, 0.006406, 0.004536, 1.050000, 0.000000, 0.5756 Second
77, 0.041277, 0.023024, 0.000055, 0.007467, 0.006285, 0.004397, 1.050000, 0.000000, 0.5744 Second
