round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 9.108930, 0.949136, 0.670867, 0.399222, 0.337193, 0.338842, 15.957922, 0.000000, 0.0818 Second
1, 5.139666, 0.812697, 0.109797, 0.245546, 0.146285, 0.160483, 9.564444, 0.000000, 0.0581 Second
2, 1.417954, 0.512684, 0.023790, 0.154165, 0.112819, 0.117676, 9.764428, 0.000000, 0.0674 Second
3, 0.364169, 0.309138, 0.005141, 0.069245, 0.052385, 0.050905, 6.662916, 0.000000, 0.0717 Second
4, 0.152264, 0.261069, 0.002176, 0.044777, 0.031031, 0.029580, 4.266493, 0.000000, 0.0726 Second
5, 0.487597, 0.140055, 0.002535, 0.052660, 0.032099, 0.049019, 8.779431, 0.000000, 0.0751 Second
6, 0.151118, 0.244629, 0.002165, 0.044415, 0.028281, 0.036199, 5.022084, 0.000000, 0.0830 Second
7, 0.158363, 0.364499, 0.005354, 0.068998, 0.056124, 0.074629, 3.555860, 0.000000, 0.0906 Second
8, 1.023074, 0.547025, 0.073635, 0.234066, 0.217269, 0.264721, 12.846645, 0.000000, 0.1280 Second
9, 0.408645, 0.434673, 0.017049, 0.120856, 0.096666, 0.074510, 7.951490, 0.000000, 0.1207 Second
10, 0.455626, 0.439968, 0.015593, 0.116718, 0.090592, 0.064476, 9.245116, 0.000000, 0.1244 Second
11, 0.293114, 0.274277, 0.004887, 0.067198, 0.049576, 0.038139, 5.879142, 0.000000, 0.1246 Second
12, 0.365074, 0.432193, 0.007606, 0.079689, 0.050416, 0.041419, 7.110367, 0.000000, 0.1259 Second
13, 0.483132, 0.449585, 0.009004, 0.085534, 0.045548, 0.029468, 7.371484, 0.000000, 0.1349 Second
14, 0.604802, 0.056086, 0.002467, 0.054050, 0.026519, 0.024008, 8.672577, 0.000000, 0.1371 Second
15, 0.056242, 0.473319, 0.007248, 0.070805, 0.030959, 0.017109, 4.816960, 0.000000, 0.1400 Second
16, 1.325343, 0.230152, 0.007060, 0.094025, 0.041429, 0.036710, 10.440119, 0.000000, 0.1449 Second
17, 0.058642, 0.447356, 0.007972, 0.076868, 0.038511, 0.025180, 5.505091, 0.000000, 0.1601 Second
18, 0.908464, 0.153644, 0.008094, 0.099237, 0.052617, 0.045134, 12.462725, 0.000000, 0.1688 Second
19, 0.067232, 0.401734, 0.007260, 0.076106, 0.048061, 0.028988, 4.559653, 0.000000, 0.1669 Second
20, 1.359542, 0.203047, 0.010978, 0.117036, 0.064702, 0.060224, 12.638280, 0.000000, 0.1762 Second
21, 0.069703, 0.376436, 0.008013, 0.080646, 0.053744, 0.034093, 4.246309, 0.000000, 0.1874 Second
22, 1.461395, 0.268946, 0.018064, 0.150241, 0.085348, 0.087259, 15.019263, 0.000000, 0.1869 Second
23, 0.087193, 0.329705, 0.006764, 0.075355, 0.049809, 0.029906, 5.438887, 0.000000, 0.1886 Second
24, 0.649203, 0.168940, 0.007495, 0.093696, 0.060151, 0.051556, 9.028812, 0.000000, 0.1956 Second
25, 0.161519, 0.552145, 0.025592, 0.128609, 0.065377, 0.037128, 6.024323, 0.000000, 0.2072 Second
26, 2.083768, 0.387852, 0.029470, 0.194359, 0.113744, 0.119971, 17.117079, 0.000000, 0.2211 Second
27, 0.181097, 0.197314, 0.001957, 0.043697, 0.031761, 0.024685, 4.582392, 0.000000, 0.2164 Second
28, 0.310971, 0.444526, 0.009987, 0.087467, 0.045991, 0.023168, 6.945603, 0.000000, 0.2257 Second
29, 0.585746, 0.259883, 0.005637, 0.078663, 0.044597, 0.027122, 10.350065, 0.000000, 0.2300 Second
30, 0.081385, 0.374435, 0.005014, 0.063630, 0.033707, 0.016400, 5.288197, 0.000000, 0.2349 Second
31, 0.770200, 0.135293, 0.004355, 0.072056, 0.035663, 0.026110, 10.877614, 0.000000, 0.2413 Second
32, 0.042316, 0.323584, 0.004436, 0.060950, 0.034447, 0.017180, 4.209159, 0.000000, 0.2471 Second
33, 0.789497, 0.189198, 0.006220, 0.085709, 0.045472, 0.032657, 8.683200, 0.000000, 0.2556 Second
34, 0.084467, 0.524534, 0.018931, 0.114262, 0.063394, 0.028432, 6.679634, 0.000000, 0.2648 Second
35, 0.949734, 0.182663, 0.013408, 0.128116, 0.074653, 0.060633, 11.936514, 0.000000, 0.2751 Second
36, 0.090461, 0.330446, 0.006778, 0.074931, 0.041371, 0.025240, 5.226601, 0.000000, 0.2642 Second
37, 0.732578, 0.211389, 0.009068, 0.103369, 0.064004, 0.059912, 9.656074, 0.000000, 0.2838 Second
38, 0.207333, 0.492783, 0.018543, 0.114654, 0.064541, 0.048855, 8.520375, 0.000000, 0.2827 Second
39, 0.813376, 0.269238, 0.010433, 0.109789, 0.074373, 0.071987, 9.273110, 0.000000, 0.2990 Second
40, 0.234105, 0.440342, 0.013393, 0.102280, 0.070060, 0.062573, 9.110756, 0.000000, 0.2976 Second
41, 0.642382, 0.238045, 0.007135, 0.089670, 0.062167, 0.062330, 9.444357, 0.000000, 0.3000 Second
42, 0.213884, 0.458281, 0.011657, 0.093764, 0.059539, 0.054943, 6.338808, 0.000000, 0.3072 Second
43, 1.498542, 0.397989, 0.018783, 0.147267, 0.097041, 0.104708, 10.602364, 0.000000, 0.3220 Second
44, 0.723429, 0.257359, 0.006810, 0.084800, 0.063791, 0.055241, 9.430502, 0.000000, 0.3279 Second
45, 0.154338, 0.404459, 0.005181, 0.063572, 0.031527, 0.013923, 2.965994, 0.000000, 0.3247 Second
46, 2.079394, 0.203295, 0.012532, 0.127629, 0.064901, 0.044631, 10.075017, 0.000000, 0.3357 Second
47, 0.081672, 0.488017, 0.009879, 0.083842, 0.042567, 0.022330, 5.486212, 0.000000, 0.3427 Second
48, 0.822449, 0.210384, 0.005502, 0.080175, 0.041165, 0.025550, 8.510322, 0.000000, 0.3518 Second
49, 0.081683, 0.345229, 0.005218, 0.064842, 0.032969, 0.017417, 5.541735, 0.000000, 0.3508 Second
50, 0.753632, 0.123817, 0.004840, 0.075804, 0.037684, 0.027462, 7.986264, 0.000000, 0.3573 Second
51, 0.157906, 0.605606, 0.019039, 0.105483, 0.051245, 0.025453, 7.074096, 0.000000, 0.3656 Second
52, 1.040060, 0.284177, 0.012037, 0.119391, 0.067611, 0.052885, 10.626694, 0.000000, 0.3801 Second
53, 0.261216, 0.344117, 0.008811, 0.085424, 0.047760, 0.024551, 5.604542, 0.000000, 0.3692 Second
54, 0.668985, 0.549777, 0.020118, 0.130035, 0.075081, 0.044692, 10.204697, 0.000000, 0.3823 Second
55, 0.481354, 0.346064, 0.008064, 0.087679, 0.058935, 0.044522, 7.097767, 0.000000, 0.3937 Second
56, 0.603322, 0.581984, 0.027955, 0.137219, 0.076937, 0.040939, 12.143613, 0.000000, 0.3941 Second
57, 0.344736, 0.233545, 0.003990, 0.064765, 0.041239, 0.032241, 5.946642, 0.000000, 0.4044 Second
58, 0.582467, 0.448422, 0.015765, 0.111326, 0.060497, 0.032941, 11.936697, 0.000000, 0.4031 Second
59, 0.243371, 0.345070, 0.003965, 0.058448, 0.030877, 0.016258, 6.136477, 0.000000, 0.4129 Second
60, 0.612963, 0.322518, 0.005795, 0.075191, 0.037448, 0.021754, 8.722207, 0.000000, 0.4222 Second
61, 0.193127, 0.448954, 0.006223, 0.067090, 0.025694, 0.011480, 5.041848, 0.000000, 0.4306 Second
62, 1.395673, 0.320373, 0.009269, 0.104730, 0.048174, 0.038419, 11.174742, 0.000000, 0.4464 Second
63, 0.234575, 0.321185, 0.006633, 0.075238, 0.045907, 0.021176, 5.365260, 0.000000, 0.4419 Second
64, 0.412653, 0.364731, 0.006401, 0.077932, 0.045113, 0.025533, 5.998090, 0.000000, 0.4497 Second
65, 0.556676, 0.446826, 0.010623, 0.094330, 0.049976, 0.026860, 8.006427, 0.000000, 0.4565 Second
66, 0.586779, 0.528690, 0.013760, 0.103046, 0.053187, 0.029908, 10.638627, 0.000000, 0.4631 Second
67, 0.318427, 0.250495, 0.003406, 0.057188, 0.032832, 0.018332, 8.040668, 0.000000, 0.4607 Second
68, 0.160060, 0.384596, 0.004789, 0.061669, 0.029155, 0.013007, 6.177927, 0.000000, 0.4743 Second
69, 0.125333, 0.186452, 0.000896, 0.029126, 0.017402, 0.009962, 3.556119, 0.000000, 0.4830 Second
70, 0.310821, 0.107804, 0.001128, 0.034772, 0.017681, 0.011297, 4.859509, 0.000000, 0.4896 Second
71, 0.117102, 0.542868, 0.011142, 0.082661, 0.027867, 0.011623, 4.367075, 0.000000, 0.5005 Second
72, 2.423607, 0.207336, 0.021181, 0.165090, 0.103158, 0.108735, 17.038296, 0.000000, 0.5324 Second
73, 0.755595, 0.242096, 0.005422, 0.076759, 0.045894, 0.034002, 8.812042, 0.000000, 0.5237 Second
74, 0.031882, 0.422621, 0.005020, 0.060596, 0.022851, 0.013162, 4.372995, 0.000000, 0.5394 Second
75, 0.951469, 0.232444, 0.005682, 0.081278, 0.040386, 0.031543, 9.734625, 0.000000, 0.5464 Second
76, 0.059669, 0.323066, 0.004915, 0.063912, 0.033928, 0.016667, 6.679674, 0.000000, 0.5473 Second
77, 0.791423, 0.128084, 0.004069, 0.069779, 0.033562, 0.021367, 8.542113, 0.000000, 0.5564 Second
78, 0.027600, 0.161390, 0.000872, 0.028346, 0.014812, 0.006979, 2.763002, 0.000000, 0.5645 Second
79, 0.163884, 0.047699, 0.000372, 0.019718, 0.011321, 0.006090, 2.845259, 0.000000, 0.5725 Second
80, 0.057546, 0.059960, 0.000145, 0.011985, 0.008081, 0.004948, 1.050000, 0.000000, 0.5715 Second
81, 0.042957, 0.039650, 0.000085, 0.009214, 0.007016, 0.004510, 1.050000, 0.000000, 0.5757 Second
82, 0.017789, 0.033603, 0.000047, 0.006838, 0.005391, 0.003712, 1.050000, 0.000000, 0.5901 Second
83, 0.017698, 0.029224, 0.000041, 0.006365, 0.005068, 0.003464, 1.050000, 0.000000, 0.5987 Second
84, 0.017225, 0.027202, 0.000037, 0.006049, 0.004823, 0.003276, 1.050000, 0.000000, 0.6141 Second
85, 0.016592, 0.025616, 0.000034, 0.005787, 0.004620, 0.003126, 1.050000, 0.000000, 0.6117 Second
86, 0.015721, 0.024346, 0.000031, 0.005549, 0.004432, 0.002994, 1.050000, 0.000000, 0.6281 Second
87, 0.015031, 0.023339, 0.000029, 0.005351, 0.004269, 0.002884, 1.050000, 0.000000, 0.6376 Second
88, 0.014470, 0.022657, 0.000027, 0.005190, 0.004131, 0.002790, 1.050000, 0.000000, 0.6444 Second
89, 0.013997, 0.022053, 0.000026, 0.005049, 0.004006, 0.002697, 1.050000, 0.000000, 0.6479 Second
90, 0.013548, 0.021475, 0.000024, 0.004903, 0.003914, 0.002624, 1.050000, 0.000000, 0.6590 Second
91, 0.013108, 0.020958, 0.000023, 0.004778, 0.003831, 0.002559, 1.050000, 0.000000, 0.6784 Second
92, 0.012703, 0.020470, 0.000022, 0.004666, 0.003756, 0.002498, 1.050000, 0.000000, 0.6647 Second
93, 0.012321, 0.020024, 0.000021, 0.004569, 0.003688, 0.002444, 1.050000, 0.000000, 0.6798 Second
94, 0.011973, 0.019591, 0.000020, 0.004466, 0.003619, 0.002392, 1.050000, 0.000000, 0.6946 Second
95, 0.011692, 0.019153, 0.000019, 0.004375, 0.003560, 0.002355, 1.050000, 0.000000, 0.6886 Second
96, 0.011419, 0.018730, 0.000019, 0.004301, 0.003509, 0.002320, 1.050000, 0.000000, 0.6997 Second
97, 0.011173, 0.018328, 0.000018, 0.004232, 0.003462, 0.002287, 1.050000, 0.000000, 0.7218 Second
98, 0.010946, 0.017140, 0.000017, 0.004150, 0.003413, 0.002258, 1.050000, 0.000000, 0.7385 Second
99, 0.011040, 0.016303, 0.000017, 0.004090, 0.003371, 0.002222, 1.050000, 0.000000, 0.7337 Second
100, 0.011108, 0.015659, 0.000016, 0.004032, 0.003330, 0.002186
Enlarge: 6.000000, Shrink: 9.000000, treeDepth: 6, minTreeDepth: 6
 
