map_name,max_relative_area_error,area_weighted_mean_error
croatia_population_by_county_2021.geojson,7.60209,0.316957
croatia_population_by_county_2021_0.geojson,3.95099,0.209935
croatia_population_by_county_2021_1.geojson,0.88428,0.113205
croatia_population_by_county_2021_2.geojson,0.322865,0.0478916
croatia_population_by_county_2021_3.geojson,0.254163,0.0293432
croatia_population_by_county_2021_4.geojson,0.417697,0.0348499
croatia_population_by_county_2021_5.geojson,0.311255,0.0352463
croatia_population_by_county_2021_6.geojson,0.293127,0.0275149
croatia_population_by_county_2021_7.geojson,0.610306,0.0302613
croatia_population_by_county_2021_8.geojson,0.569189,0.024992
croatia_population_by_county_2021_9.geojson,2.69448,0.0776162
croatia_population_by_county_2021_10.geojson,0.518744,0.0514365
croatia_population_by_county_2021_11.geojson,0.873832,0.0673941
croatia_population_by_county_2021_12.geojson,0.35346,0.045898
croatia_population_by_county_2021_13.geojson,0.871009,0.0847376
croatia_population_by_county_2021_14.geojson,0.563451,0.0841623
croatia_population_by_county_2021_15.geojson,0.502753,0.0585327
croatia_population_by_county_2021_16.geojson,0.420885,0.0517877
croatia_population_by_county_2021_17.geojson,0.955172,0.0754068
croatia_population_by_county_2021_18.geojson,0.341716,0.0400649
croatia_population_by_county_2021_19.geojson,0.869877,0.084269
croatia_population_by_county_2021_20.geojson,0.41314,0.0676423
croatia_population_by_county_2021_21.geojson,1.06392,0.12426
croatia_population_by_county_2021_22.geojson,0.417343,0.0537846
croatia_population_by_county_2021_23.geojson,0.833186,0.0396712
croatia_population_by_county_2021_24.geojson,0.605174,0.0299446
croatia_population_by_county_2021_25.geojson,2.18095,0.0676844
croatia_population_by_county_2021_26.geojson,0.367429,0.0351553
croatia_population_by_county_2021_27.geojson,1.6446,0.0872407
croatia_population_by_county_2021_28.geojson,0.466526,0.0481886
croatia_population_by_county_2021_29.geojson,0.402414,0.0292712
croatia_population_by_county_2021_30.geojson,0.981644,0.0412495
croatia_population_by_county_2021_31.geojson,0.327797,0.0278685
croatia_population_by_county_2021_32.geojson,0.323266,0.0178985
croatia_population_by_county_2021_33.geojson,0.341041,0.0125232
croatia_population_by_county_2021_34.geojson,0.356998,0.0115484
croatia_population_by_county_2021_35.geojson,0.419991,0.0108186
croatia_population_by_county_2021_36.geojson,0.413556,0.00999511
croatia_population_by_county_2021_37.geojson,0.359809,0.00900747
croatia_population_by_county_2021_38.geojson,0.750033,0.0115997
croatia_population_by_county_2021_39.geojson,0.228383,0.00863539
croatia_population_by_county_2021_40.geojson,0.05892,0.00752848
croatia_population_by_county_2021_41.geojson,0.0263298,0.00517372
croatia_population_by_county_2021_42.geojson,0.0259782,0.00472082
croatia_population_by_county_2021_43.geojson,0.0257989,0.00442883
croatia_population_by_county_2021_44.geojson,0.025499,0.00421461
croatia_population_by_county_2021_45.geojson,0.0250495,0.00404726
croatia_population_by_county_2021_46.geojson,0.0245829,0.00390827
croatia_population_by_county_2021_47.geojson,0.023182,0.00379316
croatia_population_by_county_2021_48.geojson,0.0221244,0.00368705
croatia_population_by_county_2021_49.geojson,0.0212461,0.00359132
croatia_population_by_county_2021_50.geojson,0.0211463,0.00350625
croatia_population_by_county_2021_51.geojson,0.021019,0.0034264
croatia_population_by_county_2021_52.geojson,0.0209239,0.00335784
croatia_population_by_county_2021_53.geojson,0.0208547,0.00330412
croatia_population_by_county_2021_54.geojson,0.0208108,0.00325094
croatia_population_by_county_2021_55.geojson,0.0207819,0.00319481
croatia_population_by_county_2021_56.geojson,0.0207673,0.00314234
croatia_population_by_county_2021_57.geojson,0.0207638,0.00309349
croatia_population_by_county_2021_58.geojson,0.0207841,0.00304148
croatia_population_by_county_2021_59.geojson,0.02081,0.00299266
croatia_population_by_county_2021_60.geojson,0.0208372,0.00294505
croatia_population_by_county_2021_61.geojson,0.0208669,0.00289896
croatia_population_by_county_2021_62.geojson,0.0208983,0.0028544
croatia_population_by_county_2021_63.geojson,0.02093,0.00281175
croatia_population_by_county_2021_64.geojson,0.0209552,0.00276978
croatia_population_by_county_2021_65.geojson,0.0201733,0.00273762
croatia_population_by_county_2021_66.geojson,0.0195422,0.00270691
croatia_population_by_county_2021_67.geojson,0.0191415,0.00267988
croatia_population_by_county_2021_68.geojson,0.0188006,0.00265368
croatia_population_by_county_2021_69.geojson,0.0185057,0.00262435
croatia_population_by_county_2021_70.geojson,0.0182541,0.00259741
croatia_population_by_county_2021_71.geojson,0.0180356,0.00257254
croatia_population_by_county_2021_72.geojson,0.0177708,0.00254979
croatia_population_by_county_2021_73.geojson,0.0175309,0.00252821
croatia_population_by_county_2021_74.geojson,0.017314,0.00250552
croatia_population_by_county_2021_75.geojson,0.0171192,0.00248396
croatia_population_by_county_2021_76.geojson,0.0169416,0.0024602
croatia_population_by_county_2021_77.geojson,0.0168012,0.00243768
croatia_population_by_county_2021_78.geojson,0.0164823,0.0024163
croatia_population_by_county_2021_79.geojson,0.0161788,0.00239649
croatia_population_by_county_2021_80.geojson,0.0158885,0.00237724
croatia_population_by_county_2021_81.geojson,0.0156102,0.00235937
croatia_population_by_county_2021_82.geojson,0.015343,0.00234287
croatia_population_by_county_2021_83.geojson,0.0150843,0.00232704
croatia_population_by_county_2021_84.geojson,0.0148343,0.00231136
croatia_population_by_county_2021_85.geojson,0.0146052,0.00229583
croatia_population_by_county_2021_86.geojson,0.0143801,0.00228107
croatia_population_by_county_2021_87.geojson,0.0141591,0.00226654
croatia_population_by_county_2021_88.geojson,0.0139409,0.00225232
croatia_population_by_county_2021_89.geojson,0.0137247,0.00223863
croatia_population_by_county_2021_90.geojson,0.0135112,0.00222498
croatia_population_by_county_2021_91.geojson,0.0133,0.00221184
croatia_population_by_county_2021_92.geojson,0.0130894,0.00219952
croatia_population_by_county_2021_93.geojson,0.0128805,0.00218711
croatia_population_by_county_2021_94.geojson,0.0126721,0.00217487
croatia_population_by_county_2021_95.geojson,0.012462,0.00216322
croatia_population_by_county_2021_96.geojson,0.0122523,0.00215129
croatia_population_by_county_2021_97.geojson,0.0120414,0.00213958
croatia_population_by_county_2021_98.geojson,0.0118242,0.00212821
croatia_population_by_county_2021_99.geojson,0.0116063,0.0021167
