map_name,max_relative_area_error,area_weighted_mean_error
egypt_population_by_governate_2017.geojson,171.478,0.730792
egypt_population_by_governate_2017_0.geojson,93.4324,0.421002
egypt_population_by_governate_2017_1.geojson,38.3741,0.187198
egypt_population_by_governate_2017_2.geojson,11.8483,0.0831053
egypt_population_by_governate_2017_3.geojson,4.00826,0.0398742
egypt_population_by_governate_2017_4.geojson,2.12792,0.0285412
egypt_population_by_governate_2017_5.geojson,1.4733,0.0247049
egypt_population_by_governate_2017_6.geojson,1.14982,0.0217826
egypt_population_by_governate_2017_7.geojson,0.956647,0.0198402
egypt_population_by_governate_2017_8.geojson,0.830806,0.0180099
egypt_population_by_governate_2017_9.geojson,0.697803,0.0157894
egypt_population_by_governate_2017_10.geojson,0.631103,0.0144809
egypt_population_by_governate_2017_11.geojson,0.572695,0.0134836
egypt_population_by_governate_2017_12.geojson,0.507528,0.012611
egypt_population_by_governate_2017_13.geojson,0.471758,0.0120187
egypt_population_by_governate_2017_14.geojson,0.442589,0.0113888
egypt_population_by_governate_2017_15.geojson,0.400411,0.0105329
egypt_population_by_governate_2017_16.geojson,0.38724,0.0101505
egypt_population_by_governate_2017_17.geojson,0.36688,0.00973414
egypt_population_by_governate_2017_18.geojson,0.363197,0.00831514
egypt_population_by_governate_2017_19.geojson,0.33699,0.00803149
egypt_population_by_governate_2017_20.geojson,0.322444,0.00776252
egypt_population_by_governate_2017_21.geojson,0.311835,0.007469
egypt_population_by_governate_2017_22.geojson,0.297354,0.00714053
egypt_population_by_governate_2017_23.geojson,0.284969,0.00687248
egypt_population_by_governate_2017_24.geojson,0.275749,0.00670096
egypt_population_by_governate_2017_25.geojson,0.263591,0.00644494
egypt_population_by_governate_2017_26.geojson,0.253076,0.00630021
egypt_population_by_governate_2017_27.geojson,0.253582,0.00593048
egypt_population_by_governate_2017_28.geojson,0.25394,0.00560555
egypt_population_by_governate_2017_29.geojson,0.244339,0.00550737
egypt_population_by_governate_2017_30.geojson,0.24312,0.00526551
egypt_population_by_governate_2017_31.geojson,0.242396,0.00503777
egypt_population_by_governate_2017_32.geojson,0.242257,0.00487715
egypt_population_by_governate_2017_33.geojson,0.2423,0.00470089
egypt_population_by_governate_2017_34.geojson,0.242086,0.00454451
egypt_population_by_governate_2017_35.geojson,0.242244,0.0043892
egypt_population_by_governate_2017_36.geojson,0.242513,0.00427121
egypt_population_by_governate_2017_37.geojson,0.240547,0.00423336
egypt_population_by_governate_2017_38.geojson,0.241284,0.00412519
egypt_population_by_governate_2017_39.geojson,0.24186,0.00401377
egypt_population_by_governate_2017_40.geojson,0.240188,0.0039806
egypt_population_by_governate_2017_41.geojson,0.240761,0.00387694
egypt_population_by_governate_2017_42.geojson,0.241449,0.00378248
egypt_population_by_governate_2017_43.geojson,0.242094,0.00369794
egypt_population_by_governate_2017_44.geojson,0.243155,0.00360947
egypt_population_by_governate_2017_45.geojson,0.244247,0.00353238
egypt_population_by_governate_2017_46.geojson,0.245367,0.00345464
egypt_population_by_governate_2017_47.geojson,0.246437,0.00338336
egypt_population_by_governate_2017_48.geojson,0.247306,0.00332349
egypt_population_by_governate_2017_49.geojson,0.247913,0.00327065
egypt_population_by_governate_2017_50.geojson,0.245053,0.00325619
egypt_population_by_governate_2017_51.geojson,0.236908,0.00323485
egypt_population_by_governate_2017_52.geojson,0.237528,0.00318575
egypt_population_by_governate_2017_53.geojson,0.2381,0.00313688
egypt_population_by_governate_2017_54.geojson,0.238613,0.00309195
egypt_population_by_governate_2017_55.geojson,0.239052,0.00305612
egypt_population_by_governate_2017_56.geojson,0.239433,0.003017
egypt_population_by_governate_2017_57.geojson,0.228066,0.00298042
egypt_population_by_governate_2017_58.geojson,0.228522,0.00294285
egypt_population_by_governate_2017_59.geojson,0.229132,0.00290536
egypt_population_by_governate_2017_60.geojson,0.22055,0.00287486
egypt_population_by_governate_2017_61.geojson,0.220694,0.00284457
egypt_population_by_governate_2017_62.geojson,0.220818,0.0028141
egypt_population_by_governate_2017_63.geojson,0.220832,0.00278419
egypt_population_by_governate_2017_64.geojson,0.220483,0.00275412
egypt_population_by_governate_2017_65.geojson,0.220112,0.00272727
egypt_population_by_governate_2017_66.geojson,0.219721,0.00269999
egypt_population_by_governate_2017_67.geojson,0.21687,0.00267663
egypt_population_by_governate_2017_68.geojson,0.216505,0.0026504
egypt_population_by_governate_2017_69.geojson,0.216132,0.00262565
egypt_population_by_governate_2017_70.geojson,0.214194,0.00259793
egypt_population_by_governate_2017_71.geojson,0.213585,0.00259409
egypt_population_by_governate_2017_72.geojson,0.212834,0.00259381
egypt_population_by_governate_2017_73.geojson,0.212453,0.00257293
egypt_population_by_governate_2017_74.geojson,0.212048,0.00255294
egypt_population_by_governate_2017_75.geojson,0.211689,0.00253189
egypt_population_by_governate_2017_76.geojson,0.211367,0.00251266
egypt_population_by_governate_2017_77.geojson,0.21104,0.00249239
egypt_population_by_governate_2017_78.geojson,0.210693,0.00247331
egypt_population_by_governate_2017_79.geojson,0.210324,0.00245482
egypt_population_by_governate_2017_80.geojson,0.209953,0.0024366
egypt_population_by_governate_2017_81.geojson,0.209591,0.00241752
egypt_population_by_governate_2017_82.geojson,0.209242,0.00239643
egypt_population_by_governate_2017_83.geojson,0.20891,0.00237487
egypt_population_by_governate_2017_84.geojson,0.2084,0.00235637
egypt_population_by_governate_2017_85.geojson,0.207875,0.0023389
egypt_population_by_governate_2017_86.geojson,0.207328,0.00232136
egypt_population_by_governate_2017_87.geojson,0.206774,0.00230423
egypt_population_by_governate_2017_88.geojson,0.206201,0.00228761
egypt_population_by_governate_2017_89.geojson,0.205605,0.00227138
egypt_population_by_governate_2017_90.geojson,0.205,0.00225804
