map_name,max_relative_area_error,area_weighted_mean_error
england_population_by_region_2022.geojson,0.92411,0.235214
england_population_by_region_2022_0.geojson,0.867414,0.187495
england_population_by_region_2022_1.geojson,0.543664,0.139522
england_population_by_region_2022_2.geojson,0.547634,0.123578
england_population_by_region_2022_3.geojson,0.737273,0.122176
england_population_by_region_2022_4.geojson,0.679338,0.0827328
england_population_by_region_2022_5.geojson,0.577569,0.0725069
england_population_by_region_2022_6.geojson,0.731097,0.0668082
england_population_by_region_2022_7.geojson,0.569831,0.0650977
england_population_by_region_2022_8.geojson,1.09356,0.062719
england_population_by_region_2022_9.geojson,0.491999,0.0441889
england_population_by_region_2022_10.geojson,1.35787,0.0659473
england_population_by_region_2022_11.geojson,0.414463,0.0630866
england_population_by_region_2022_12.geojson,0.82284,0.0590057
england_population_by_region_2022_13.geojson,0.369025,0.0302272
england_population_by_region_2022_14.geojson,0.935666,0.0530888
england_population_by_region_2022_15.geojson,0.444226,0.0415989
england_population_by_region_2022_16.geojson,0.582183,0.0398833
england_population_by_region_2022_17.geojson,0.355264,0.0259938
england_population_by_region_2022_18.geojson,0.857453,0.0468743
england_population_by_region_2022_19.geojson,0.148786,0.0160402
england_population_by_region_2022_20.geojson,0.291328,0.0180386
england_population_by_region_2022_21.geojson,0.286827,0.0156893
england_population_by_region_2022_22.geojson,0.777676,0.0320992
england_population_by_region_2022_23.geojson,0.303411,0.0172267
england_population_by_region_2022_24.geojson,0.765848,0.0449854
