round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 0.962748, 0.881519, 0.331726, 0.290334, 0.203597, 0.178679, 11.557055, 0.000000, 0.0506 Second
1, 0.699499, 0.618036, 0.045300, 0.177529, 0.130274, 0.140362, 8.928112, 0.000000, 0.0512 Second
2, 0.429035, 0.377765, 0.019277, 0.131068, 0.106349, 0.082995, 9.862994, 0.000000, 0.0645 Second
3, 0.478437, 0.335960, 0.012683, 0.108960, 0.080251, 0.062883, 7.800333, 0.000000, 0.0676 Second
4, 0.425970, 0.431111, 0.017046, 0.120658, 0.092128, 0.071776, 10.381334, 0.000000, 0.0756 Second
5, 0.390718, 0.298582, 0.010099, 0.096727, 0.072891, 0.063592, 8.112408, 0.000000, 0.0816 Second
6, 0.338847, 0.366545, 0.012505, 0.105511, 0.074572, 0.065104, 8.005572, 0.000000, 0.0921 Second
7, 0.612243, 0.421611, 0.022708, 0.141694, 0.110541, 0.112664, 11.410860, 0.000000, 0.0973 Second
8, 0.297364, 0.344408, 0.008274, 0.085909, 0.065828, 0.061258, 7.868538, 0.000000, 0.1025 Second
9, 0.558462, 0.320111, 0.009482, 0.096171, 0.069979, 0.083530, 7.310123, 0.000000, 0.1121 Second
10, 0.491430, 0.578828, 0.032702, 0.149284, 0.106850, 0.090650, 8.576185, 0.000000, 0.1159 Second
11, 0.970010, 0.400027, 0.027296, 0.163379, 0.138827, 0.144376, 12.649406, 0.000000, 0.1363 Second
12, 0.337148, 0.354772, 0.008350, 0.085906, 0.061394, 0.055038, 6.578908, 0.000000, 0.1332 Second
13, 0.725493, 0.520673, 0.023278, 0.134937, 0.085553, 0.067878, 11.000815, 0.000000, 0.1505 Second
14, 0.470901, 0.362756, 0.009254, 0.092122, 0.062332, 0.055306, 8.388243, 0.000000, 0.1490 Second
15, 0.536626, 0.439294, 0.014291, 0.109793, 0.069232, 0.053691, 9.725731, 0.000000, 0.1665 Second
16, 0.540260, 0.390369, 0.011168, 0.100625, 0.066277, 0.057405, 8.361317, 0.000000, 0.1679 Second
17, 0.523685, 0.494785, 0.018181, 0.117892, 0.069607, 0.051928, 9.959543, 0.000000, 0.1857 Second
18, 0.457768, 0.327313, 0.007704, 0.085513, 0.057784, 0.050188, 8.662779, 0.000000, 0.1910 Second
