map_name,max_relative_area_error,area_weighted_mean_error
indonesia_population_by_province_2024.geojson,31.5208,0.575056
indonesia_population_by_province_2024_0.geojson,14.3721,0.25067
indonesia_population_by_province_2024_1.geojson,4.98356,0.0983642
indonesia_population_by_province_2024_2.geojson,2.3913,0.0714259
indonesia_population_by_province_2024_3.geojson,2.04591,0.0581201
indonesia_population_by_province_2024_4.geojson,1.77818,0.0444183
indonesia_population_by_province_2024_5.geojson,1.20129,0.0257928
indonesia_population_by_province_2024_6.geojson,0.97834,0.0356633
indonesia_population_by_province_2024_7.geojson,2.37674,0.139713
indonesia_population_by_province_2024_8.geojson,0.703837,0.156235
indonesia_population_by_province_2024_9.geojson,1.70883,0.240074
indonesia_population_by_province_2024_10.geojson,0.562007,0.0699935
indonesia_population_by_province_2024_11.geojson,1.00717,0.0946774
indonesia_population_by_province_2024_12.geojson,0.565578,0.0637706
indonesia_population_by_province_2024_13.geojson,0.614028,0.0700022
indonesia_population_by_province_2024_14.geojson,0.782632,0.079755
indonesia_population_by_province_2024_15.geojson,0.479765,0.0478899
indonesia_population_by_province_2024_16.geojson,0.901958,0.0818694
indonesia_population_by_province_2024_17.geojson,0.501986,0.052873
indonesia_population_by_province_2024_18.geojson,0.99758,0.0865801
indonesia_population_by_province_2024_19.geojson,0.513687,0.044881
indonesia_population_by_province_2024_20.geojson,0.568729,0.0315424
indonesia_population_by_province_2024_21.geojson,0.457382,0.0232881
indonesia_population_by_province_2024_22.geojson,0.898554,0.0234263
indonesia_population_by_province_2024_23.geojson,0.38899,0.0124407
indonesia_population_by_province_2024_24.geojson,0.733047,0.015534
indonesia_population_by_province_2024_25.geojson,0.375276,0.0106175
indonesia_population_by_province_2024_26.geojson,0.485097,0.0112164
indonesia_population_by_province_2024_27.geojson,0.317167,0.00850281
indonesia_population_by_province_2024_28.geojson,0.29399,0.00827859
indonesia_population_by_province_2024_29.geojson,0.272843,0.00705452
indonesia_population_by_province_2024_30.geojson,0.247098,0.00677223
indonesia_population_by_province_2024_31.geojson,0.218656,0.00616042
indonesia_population_by_province_2024_32.geojson,0.259036,0.00582323
indonesia_population_by_province_2024_33.geojson,0.209255,0.00558291
indonesia_population_by_province_2024_34.geojson,0.251695,0.00527854
indonesia_population_by_province_2024_35.geojson,0.230758,0.00510318
indonesia_population_by_province_2024_36.geojson,0.219781,0.00496012
indonesia_population_by_province_2024_37.geojson,0.213037,0.00483476
indonesia_population_by_province_2024_38.geojson,0.207813,0.00472526
indonesia_population_by_province_2024_39.geojson,0.204902,0.00462108
indonesia_population_by_province_2024_40.geojson,0.202111,0.00452621
indonesia_population_by_province_2024_41.geojson,0.199425,0.00444125
indonesia_population_by_province_2024_42.geojson,0.198137,0.00436883
indonesia_population_by_province_2024_43.geojson,0.197475,0.00430153
indonesia_population_by_province_2024_44.geojson,0.197072,0.00420051
indonesia_population_by_province_2024_45.geojson,0.194723,0.00414753
indonesia_population_by_province_2024_46.geojson,0.192985,0.00411555
indonesia_population_by_province_2024_47.geojson,0.192046,0.00406655
indonesia_population_by_province_2024_48.geojson,0.189913,0.00403651
indonesia_population_by_province_2024_49.geojson,0.188309,0.00401088
indonesia_population_by_province_2024_50.geojson,0.186966,0.00398903
indonesia_population_by_province_2024_51.geojson,0.185448,0.00395249
indonesia_population_by_province_2024_52.geojson,0.183311,0.00392375
indonesia_population_by_province_2024_53.geojson,0.181423,0.00389876
indonesia_population_by_province_2024_54.geojson,0.180798,0.00387344
indonesia_population_by_province_2024_55.geojson,0.180125,0.00384985
indonesia_population_by_province_2024_56.geojson,0.178992,0.00382228
indonesia_population_by_province_2024_57.geojson,0.178051,0.00379625
indonesia_population_by_province_2024_58.geojson,0.177179,0.00377108
indonesia_population_by_province_2024_59.geojson,0.176374,0.00374601
indonesia_population_by_province_2024_60.geojson,0.175461,0.00372052
indonesia_population_by_province_2024_61.geojson,0.174593,0.00369542
indonesia_population_by_province_2024_62.geojson,0.173762,0.00367107
indonesia_population_by_province_2024_63.geojson,0.173349,0.00364457
indonesia_population_by_province_2024_64.geojson,0.172943,0.00362058
indonesia_population_by_province_2024_65.geojson,0.172505,0.00359741
indonesia_population_by_province_2024_66.geojson,0.172083,0.00357462
indonesia_population_by_province_2024_67.geojson,0.171521,0.00355282
indonesia_population_by_province_2024_68.geojson,0.171039,0.00353
indonesia_population_by_province_2024_69.geojson,0.171517,0.00350271
indonesia_population_by_province_2024_70.geojson,0.171059,0.00348721
indonesia_population_by_province_2024_71.geojson,0.170856,0.00347591
indonesia_population_by_province_2024_72.geojson,0.17129,0.00346196
indonesia_population_by_province_2024_73.geojson,0.171204,0.0034533
indonesia_population_by_province_2024_74.geojson,0.171274,0.00344506
indonesia_population_by_province_2024_75.geojson,0.171977,0.00343422
indonesia_population_by_province_2024_76.geojson,0.172345,0.00342823
indonesia_population_by_province_2024_77.geojson,0.173407,0.00341871
indonesia_population_by_province_2024_78.geojson,0.174289,0.00341309
indonesia_population_by_province_2024_79.geojson,0.175727,0.00340272
indonesia_population_by_province_2024_80.geojson,0.173866,0.00337473
indonesia_population_by_province_2024_81.geojson,0.174222,0.00336536
indonesia_population_by_province_2024_82.geojson,0.174428,0.00335467
indonesia_population_by_province_2024_83.geojson,0.172967,0.00333074
indonesia_population_by_province_2024_84.geojson,0.171841,0.00331174
indonesia_population_by_province_2024_85.geojson,0.171708,0.00329917
indonesia_population_by_province_2024_86.geojson,0.171623,0.00328651
indonesia_population_by_province_2024_87.geojson,0.170684,0.00326746
indonesia_population_by_province_2024_88.geojson,0.169906,0.00324988
indonesia_population_by_province_2024_89.geojson,0.169225,0.0032339
indonesia_population_by_province_2024_90.geojson,0.168616,0.0032191
indonesia_population_by_province_2024_91.geojson,0.16809,0.00320458
indonesia_population_by_province_2024_92.geojson,0.167581,0.00319039
indonesia_population_by_province_2024_93.geojson,0.167088,0.00317653
indonesia_population_by_province_2024_94.geojson,0.16661,0.00316299
indonesia_population_by_province_2024_95.geojson,0.166169,0.00315056
indonesia_population_by_province_2024_96.geojson,0.165738,0.0031385
indonesia_population_by_province_2024_97.geojson,0.165263,0.00312679
indonesia_population_by_province_2024_98.geojson,0.164851,0.00311539
indonesia_population_by_province_2024_99.geojson,0.164449,0.00310451
