round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 118.937527, 0.999310, 20.621233, 0.608712, 0.558644, 0.659104, 26.521103, 0.000000, 0.1255 Second
1, 88.354166, 0.997565, 6.241367, 0.388908, 0.289378, 0.396524, 21.382150, 0.000000, 0.1263 Second
2, 56.276592, 0.994753, 2.821047, 0.295556, 0.176586, 0.206764, 14.648028, 0.000000, 0.1308 Second
3, 20.047260, 0.982154, 0.925410, 0.249354, 0.144823, 0.112789, 12.548741, 0.000000, 0.1403 Second
4, 10.620672, 0.962973, 0.359014, 0.214044, 0.117655, 0.088357, 12.559998, 0.000000, 0.1740 Second
5, 7.582663, 0.909649, 0.132953, 0.202457, 0.115458, 0.097773, 13.348481, 0.000000, 0.1886 Second
6, 5.774324, 0.841447, 0.053019, 0.184584, 0.117425, 0.118245, 11.437360, 0.000000, 0.2002 Second
7, 4.891811, 0.733546, 0.026990, 0.156258, 0.099329, 0.101316, 12.371439, 0.000000, 0.2177 Second
8, 4.282606, 0.589067, 0.018393, 0.140201, 0.096374, 0.089388, 13.303138, 0.000000, 0.2228 Second
9, 3.793246, 0.428741, 0.014704, 0.129278, 0.090837, 0.078627, 11.284094, 0.000000, 0.2477 Second
10, 3.300006, 0.356334, 0.011955, 0.117515, 0.081531, 0.061180, 7.406186, 0.000000, 0.2557 Second
11, 3.032381, 0.373338, 0.010070, 0.107813, 0.067785, 0.045686, 5.199942, 0.000000, 0.2650 Second
12, 2.405038, 0.429950, 0.014813, 0.127807, 0.082475, 0.072708, 12.567405, 0.000000, 0.2645 Second
13, 2.515089, 0.463859, 0.008331, 0.096505, 0.049984, 0.042082, 6.229583, 0.000000, 0.2524 Second
14, 2.088862, 0.447578, 0.014679, 0.120272, 0.080594, 0.094825, 16.918585, 0.000000, 0.2812 Second
15, 2.172521, 0.482430, 0.013633, 0.117578, 0.083794, 0.069358, 8.241487, 0.000000, 0.2789 Second
16, 1.672771, 0.507109, 0.024821, 0.151097, 0.108841, 0.130595, 18.915709, 0.000000, 0.3079 Second
17, 1.710651, 0.434397, 0.013282, 0.116584, 0.086098, 0.061241, 9.704873, 0.000000, 0.2876 Second
18, 1.361375, 0.381484, 0.014337, 0.121049, 0.089270, 0.086244, 11.362887, 0.000000, 0.3174 Second
19, 1.654807, 0.592599, 0.012562, 0.108108, 0.070737, 0.057930, 9.216906, 0.000000, 0.3082 Second
20, 1.154760, 0.455060, 0.016410, 0.124535, 0.092553, 0.112319, 15.854620, 0.000000, 0.3433 Second
21, 1.645882, 0.612919, 0.024327, 0.144628, 0.114715, 0.093790, 13.087288, 0.000000, 0.3331 Second
22, 1.230937, 0.520732, 0.020699, 0.134950, 0.103618, 0.107345, 14.768074, 0.000000, 0.3667 Second
23, 1.561428, 0.499400, 0.016483, 0.126157, 0.092777, 0.076654, 10.659297, 0.000000, 0.3354 Second
24, 1.099148, 0.564474, 0.024895, 0.143940, 0.106055, 0.120503, 17.137659, 0.000000, 0.3943 Second
25, 1.654788, 0.673698, 0.026166, 0.147372, 0.113027, 0.090088, 10.158386, 0.000000, 0.3555 Second
26, 1.295511, 0.506016, 0.024452, 0.147210, 0.112708, 0.115653, 17.404431, 0.000000, 0.4018 Second
27, 1.610114, 0.432563, 0.014482, 0.120982, 0.092485, 0.071636, 8.282602, 0.000000, 0.3680 Second
28, 1.320445, 0.478487, 0.020019, 0.134915, 0.100623, 0.110829, 15.961042, 0.000000, 0.4070 Second
29, 1.700231, 0.565219, 0.022493, 0.143698, 0.112819, 0.087176, 12.039285, 0.000000, 0.3909 Second
30, 1.331964, 0.536382, 0.021172, 0.137169, 0.106022, 0.113794, 19.705449, 0.000000, 0.4311 Second
31, 1.613445, 0.273078, 0.008932, 0.099684, 0.073272, 0.051579, 6.117618, 0.000000, 5.9329 Second
