round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 8.462910, 0.983230, 2.206108, 0.476575, 0.382612, 0.387789, 16.734982, 0.000000, 0.0636 Second
1, 3.432479, 0.953551, 0.590402, 0.315492, 0.236704, 0.213299, 19.514921, 0.000000, 0.0712 Second
2, 1.027336, 0.876740, 0.145765, 0.197458, 0.130356, 0.091872, 12.190979, 0.000000, 0.0762 Second
3, 0.473191, 0.585209, 0.014824, 0.099196, 0.055031, 0.039616, 5.619986, 0.000000, 0.0776 Second
4, 0.500290, 0.180860, 0.005720, 0.076882, 0.065117, 0.061127, 8.161384, 0.000000, 0.0906 Second
5, 0.135357, 0.339314, 0.004963, 0.065793, 0.049278, 0.037803, 4.465016, 0.000000, 0.0931 Second
6, 1.118919, 0.230038, 0.009138, 0.101901, 0.069582, 0.090726, 12.875971, 0.000000, 0.1091 Second
7, 0.142691, 0.460202, 0.006956, 0.072216, 0.039059, 0.026797, 4.849381, 0.000000, 0.1070 Second
8, 1.177916, 0.259493, 0.010405, 0.111167, 0.066461, 0.077603, 14.507106, 0.000000, 0.1251 Second
9, 0.260819, 0.201780, 0.001736, 0.041289, 0.030085, 0.022403, 5.067148, 0.000000, 0.1167 Second
10, 0.160386, 0.441216, 0.005165, 0.062144, 0.031291, 0.018296, 8.537668, 0.000000, 0.1251 Second
11, 0.301460, 0.126126, 0.001104, 0.034095, 0.021587, 0.018130, 5.592518, 0.000000, 0.1268 Second
12, 0.078669, 0.370228, 0.003015, 0.048886, 0.023878, 0.014695, 6.749550, 0.000000, 0.1386 Second
13, 0.395320, 0.112834, 0.001404, 0.039095, 0.022445, 0.019466, 6.247508, 0.000000, 0.1419 Second
14, 0.107002, 0.413804, 0.004230, 0.056776, 0.026559, 0.016667, 5.969368, 0.000000, 0.1519 Second
15, 0.586211, 0.203106, 0.002739, 0.054872, 0.030698, 0.029523, 8.025792, 0.000000, 0.1556 Second
16, 0.129059, 0.264296, 0.002311, 0.045245, 0.027601, 0.019215, 6.087705, 0.000000, 0.1610 Second
17, 0.323548, 0.261870, 0.002336, 0.047690, 0.030335, 0.027350, 6.742667, 0.000000, 0.1653 Second
18, 0.583026, 0.122593, 0.003354, 0.061078, 0.038766, 0.044655, 8.622699, 0.000000, 0.1818 Second
19, 0.082389, 0.321297, 0.003868, 0.056847, 0.033893, 0.026858, 3.941286, 0.000000, 0.1834 Second
20, 1.214078, 0.257782, 0.010370, 0.109360, 0.069268, 0.100764, 12.595871, 0.000000, 0.2013 Second
21, 0.098721, 0.353553, 0.005049, 0.064642, 0.037974, 0.026344, 5.018817, 0.000000, 0.1982 Second
22, 0.665444, 0.268135, 0.004840, 0.071952, 0.044112, 0.039772, 9.046939, 0.000000, 0.2048 Second
23, 0.353174, 0.396165, 0.004739, 0.063212, 0.035444, 0.028362, 8.892909, 0.000000, 0.2113 Second
24, 0.293392, 0.348193, 0.003629, 0.056520, 0.035353, 0.027974, 6.910932, 0.000000, 0.2120 Second
25, 0.725118, 0.538925, 0.012680, 0.098026, 0.048922, 0.045149, 10.244384, 0.000000, 0.2261 Second
26, 0.215523, 0.325138, 0.003714, 0.057840, 0.042392, 0.031904, 6.332627, 0.000000, 0.2255 Second
27, 0.541418, 0.123352, 0.002842, 0.056095, 0.037594, 0.041734, 7.698402, 0.000000, 0.2405 Second
28, 0.144835, 0.391734, 0.006453, 0.071708, 0.042353, 0.032052, 4.900514, 0.000000, 0.2367 Second
29, 1.515012, 0.261374, 0.011001, 0.115793, 0.066631, 0.105736, 14.021979, 0.000000, 0.2640 Second
30, 0.072245, 0.391808, 0.004688, 0.061306, 0.034650, 0.026798, 4.650479, 0.000000, 0.2560 Second
31, 1.052888, 0.193142, 0.006287, 0.085866, 0.054199, 0.057562, 11.796639, 0.000000, 0.2691 Second
32, 0.112584, 0.203668, 0.001595, 0.038857, 0.030312, 0.025265, 3.609862, 0.000000, 0.2679 Second
33, 0.187413, 0.325817, 0.002978, 0.051683, 0.034057, 0.027987, 5.312951, 0.000000, 0.2693 Second
34, 0.964526, 0.374239, 0.008558, 0.093114, 0.059434, 0.063952, 9.220428, 0.000000, 0.2906 Second
35, 0.213828, 0.332878, 0.005268, 0.068316, 0.050343, 0.037663, 4.784792, 0.000000, 0.2830 Second
36, 0.860302, 0.254290, 0.008111, 0.096433, 0.062194, 0.078800, 12.458514, 0.000000, 0.3065 Second
37, 0.130747, 0.298215, 0.003189, 0.052869, 0.033345, 0.022949, 4.784697, 0.000000, 0.3003 Second
