map_name,max_relative_area_error,area_weighted_mean_error
tunisia_population_by_governate_2014.geojson,17.2264,0.473375
tunisia_population_by_governate_2014_0.geojson,4.03537,0.251101
tunisia_population_by_governate_2014_1.geojson,0.884027,0.0974761
tunisia_population_by_governate_2014_2.geojson,0.39556,0.0648275
tunisia_population_by_governate_2014_3.geojson,0.383624,0.0695542
tunisia_population_by_governate_2014_4.geojson,0.454906,0.0908705
tunisia_population_by_governate_2014_5.geojson,0.657816,0.0962222
tunisia_population_by_governate_2014_6.geojson,0.490886,0.0968124
tunisia_population_by_governate_2014_7.geojson,0.735794,0.0970286
tunisia_population_by_governate_2014_8.geojson,0.355269,0.0727518
tunisia_population_by_governate_2014_9.geojson,0.686231,0.0754657
tunisia_population_by_governate_2014_10.geojson,0.457041,0.0655385
tunisia_population_by_governate_2014_11.geojson,0.835678,0.112234
tunisia_population_by_governate_2014_12.geojson,0.744491,0.151823
tunisia_population_by_governate_2014_13.geojson,0.389929,0.0869448
tunisia_population_by_governate_2014_14.geojson,0.977992,0.113138
tunisia_population_by_governate_2014_15.geojson,0.753182,0.0905837
tunisia_population_by_governate_2014_16.geojson,0.591081,0.0703195
tunisia_population_by_governate_2014_17.geojson,0.953719,0.106604
tunisia_population_by_governate_2014_18.geojson,0.439527,0.0607601
tunisia_population_by_governate_2014_19.geojson,1.26841,0.11387
tunisia_population_by_governate_2014_20.geojson,0.502569,0.0654633
tunisia_population_by_governate_2014_21.geojson,0.610537,0.066117
tunisia_population_by_governate_2014_22.geojson,0.637933,0.087314
tunisia_population_by_governate_2014_23.geojson,0.417166,0.0502494
tunisia_population_by_governate_2014_24.geojson,0.344737,0.0495598
tunisia_population_by_governate_2014_25.geojson,0.634805,0.0831832
tunisia_population_by_governate_2014_26.geojson,0.685866,0.0904415
tunisia_population_by_governate_2014_27.geojson,0.357012,0.0347531
tunisia_population_by_governate_2014_28.geojson,1.22597,0.069552
tunisia_population_by_governate_2014_29.geojson,0.456302,0.0428501
tunisia_population_by_governate_2014_30.geojson,0.67211,0.0349705
tunisia_population_by_governate_2014_31.geojson,0.361665,0.0209585
tunisia_population_by_governate_2014_32.geojson,1.7641,0.0409148
tunisia_population_by_governate_2014_33.geojson,0.445589,0.0315504
tunisia_population_by_governate_2014_34.geojson,1.29419,0.0558024
tunisia_population_by_governate_2014_35.geojson,0.440991,0.0300846
tunisia_population_by_governate_2014_36.geojson,1.32426,0.0393633
tunisia_population_by_governate_2014_37.geojson,0.556291,0.0353722
tunisia_population_by_governate_2014_38.geojson,0.578344,0.0401456
tunisia_population_by_governate_2014_39.geojson,0.428077,0.0320112
tunisia_population_by_governate_2014_40.geojson,0.752142,0.0283544
tunisia_population_by_governate_2014_41.geojson,0.471379,0.0304917
tunisia_population_by_governate_2014_42.geojson,0.904424,0.0380774
tunisia_population_by_governate_2014_43.geojson,0.366444,0.0463009
tunisia_population_by_governate_2014_44.geojson,0.488239,0.0354652
tunisia_population_by_governate_2014_45.geojson,0.43818,0.0376037
tunisia_population_by_governate_2014_46.geojson,0.954702,0.0537483
tunisia_population_by_governate_2014_47.geojson,0.156585,0.0212932
tunisia_population_by_governate_2014_48.geojson,0.419846,0.0237446
tunisia_population_by_governate_2014_49.geojson,0.402469,0.0225217
tunisia_population_by_governate_2014_50.geojson,1.20564,0.0468527
tunisia_population_by_governate_2014_51.geojson,0.20133,0.0203245
tunisia_population_by_governate_2014_52.geojson,0.587516,0.0286485
tunisia_population_by_governate_2014_53.geojson,0.534478,0.0329856
tunisia_population_by_governate_2014_54.geojson,0.449282,0.0262705
tunisia_population_by_governate_2014_55.geojson,1.20965,0.0455468
tunisia_population_by_governate_2014_56.geojson,0.292989,0.0174332
tunisia_population_by_governate_2014_57.geojson,1.30285,0.0404408
tunisia_population_by_governate_2014_58.geojson,0.210507,0.0284431
tunisia_population_by_governate_2014_59.geojson,0.143962,0.0248071
tunisia_population_by_governate_2014_60.geojson,0.25151,0.0302872
tunisia_population_by_governate_2014_61.geojson,0.501086,0.0473314
tunisia_population_by_governate_2014_62.geojson,0.382501,0.0471069
tunisia_population_by_governate_2014_63.geojson,0.480045,0.0586605
tunisia_population_by_governate_2014_64.geojson,0.41716,0.0602009
tunisia_population_by_governate_2014_65.geojson,0.547091,0.0408271
tunisia_population_by_governate_2014_66.geojson,0.518639,0.0311806
tunisia_population_by_governate_2014_67.geojson,0.775307,0.040412
tunisia_population_by_governate_2014_68.geojson,0.325833,0.0200518
tunisia_population_by_governate_2014_69.geojson,0.851887,0.0295665
tunisia_population_by_governate_2014_70.geojson,0.615228,0.0404161
tunisia_population_by_governate_2014_71.geojson,0.647097,0.0450376
tunisia_population_by_governate_2014_72.geojson,0.208265,0.0217462
tunisia_population_by_governate_2014_73.geojson,0.153183,0.0171183
tunisia_population_by_governate_2014_74.geojson,0.436493,0.0189424
tunisia_population_by_governate_2014_75.geojson,0.214279,0.015495
tunisia_population_by_governate_2014_76.geojson,0.606364,0.0209466
tunisia_population_by_governate_2014_77.geojson,0.598403,0.0399994
tunisia_population_by_governate_2014_78.geojson,0.812767,0.0548308
tunisia_population_by_governate_2014_79.geojson,0.16287,0.0151255
tunisia_population_by_governate_2014_80.geojson,0.379025,0.0200574
tunisia_population_by_governate_2014_81.geojson,0.148792,0.0089056
tunisia_population_by_governate_2014_82.geojson,0.308925,0.0140695
tunisia_population_by_governate_2014_83.geojson,0.0487284,0.006519
tunisia_population_by_governate_2014_84.geojson,0.0361306,0.00406079
tunisia_population_by_governate_2014_85.geojson,0.0164498,0.00334068
tunisia_population_by_governate_2014_86.geojson,0.0146129,0.00316142
tunisia_population_by_governate_2014_87.geojson,0.0139962,0.00302986
tunisia_population_by_governate_2014_88.geojson,0.0141821,0.00293812
tunisia_population_by_governate_2014_89.geojson,0.0142009,0.00287549
tunisia_population_by_governate_2014_90.geojson,0.0141693,0.00282126
tunisia_population_by_governate_2014_91.geojson,0.0140985,0.00277241
tunisia_population_by_governate_2014_92.geojson,0.0140266,0.00273303
tunisia_population_by_governate_2014_93.geojson,0.0139604,0.00269809
tunisia_population_by_governate_2014_94.geojson,0.0139087,0.00266461
tunisia_population_by_governate_2014_95.geojson,0.0138743,0.00263587
tunisia_population_by_governate_2014_96.geojson,0.0138493,0.00261298
tunisia_population_by_governate_2014_97.geojson,0.0138778,0.00259011
tunisia_population_by_governate_2014_98.geojson,0.0139416,0.00256791
tunisia_population_by_governate_2014_99.geojson,0.0141105,0.00254525
