round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 17.226446, 0.980742, 2.675983, 0.526289, 0.431684, 0.497191, 16.720292, 0.000000, 0.0459 Second
1, 4.035368, 0.856092, 0.197009, 0.318019, 0.248309, 0.226088, 18.367637, 0.000000, 0.0526 Second
2, 0.884027, 0.433218, 0.017635, 0.133435, 0.099230, 0.096326, 11.541991, 0.000000, 0.0448 Second
3, 0.395560, 0.271835, 0.005042, 0.069910, 0.057287, 0.068225, 6.553984, 0.000000, 0.0480 Second
4, 0.338222, 0.383624, 0.006320, 0.075275, 0.050565, 0.066244, 8.764621, 0.000000, 0.0458 Second
5, 0.449281, 0.454906, 0.010891, 0.096799, 0.067132, 0.089124, 7.965582, 0.000000, 0.0570 Second
6, 0.657816, 0.380027, 0.010482, 0.099286, 0.072579, 0.100246, 10.077281, 0.000000, 0.0526 Second
7, 0.490886, 0.471200, 0.012068, 0.102709, 0.075654, 0.096983, 7.481108, 0.000000, 0.0646 Second
8, 0.735794, 0.447701, 0.014294, 0.111537, 0.077317, 0.101155, 11.402510, 0.000000, 0.0610 Second
9, 0.355269, 0.327219, 0.006441, 0.079477, 0.062638, 0.074045, 6.227687, 0.000000, 0.0645 Second
10, 0.686231, 0.280545, 0.007361, 0.086608, 0.064908, 0.084543, 9.336567, 0.000000, 0.0624 Second
11, 0.457041, 0.338144, 0.005827, 0.074769, 0.051261, 0.065523, 6.149447, 0.000000, 0.0706 Second
12, 0.835678, 0.537098, 0.027168, 0.142935, 0.092347, 0.111872, 8.963936, 0.000000, 0.0723 Second
13, 0.744491, 0.484769, 0.027154, 0.154087, 0.130777, 0.148039, 11.704634, 0.000000, 0.0912 Second
14, 0.389929, 0.368539, 0.010106, 0.096139, 0.076712, 0.086755, 8.037683, 0.000000, 0.0830 Second
15, 0.977992, 0.452185, 0.018571, 0.129469, 0.092889, 0.118095, 11.162528, 0.000000, 0.0881 Second
16, 0.753182, 0.437122, 0.015067, 0.117429, 0.084698, 0.095891, 10.556805, 0.000000, 0.0922 Second
17, 0.591081, 0.469073, 0.011156, 0.098021, 0.062454, 0.071330, 7.651302, 0.000000, 0.0963 Second
18, 0.953719, 0.511801, 0.024322, 0.145644, 0.102731, 0.114569, 12.273549, 0.000000, 0.1002 Second
19, 0.439527, 0.384939, 0.009341, 0.091243, 0.061559, 0.059974, 6.150624, 0.000000, 0.0972 Second
20, 1.268407, 0.465034, 0.025953, 0.157986, 0.123073, 0.127392, 12.832131, 0.000000, 0.1112 Second
21, 0.502569, 0.329577, 0.007450, 0.085226, 0.064625, 0.068608, 6.870879, 0.000000, 0.1083 Second
