round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 41.264170, 0.997915, 1.355455, 0.474315, 0.403543, 0.541399, 20.707420, 0.000000, 0.9274 Second
1, 27.494765, 0.989893, 0.397544, 0.412390, 0.357905, 0.418089, 15.757221, 0.000000, 0.8870 Second
2, 18.259723, 0.975344, 0.197858, 0.339161, 0.286947, 0.306846, 20.743199, 0.000000, 0.8372 Second
3, 15.881548, 0.980345, 0.169249, 0.292501, 0.237907, 0.243859, 17.447937, 0.000000, 0.8984 Second
4, 10.586788, 0.987375, 0.176288, 0.258044, 0.202720, 0.191094, 17.364004, 0.000000, 0.9380 Second
5, 8.278604, 0.985624, 0.167264, 0.245284, 0.190728, 0.159819, 11.652339, 0.000000, 0.9625 Second
6, 6.298898, 0.988990, 0.168913, 0.239315, 0.185543, 0.146767, 14.099930, 0.000000, 0.9497 Second
7, 7.588127, 0.989302, 0.162292, 0.234080, 0.181591, 0.140795, 14.479522, 0.000000, 0.9549 Second
8, 8.159198, 0.989285, 0.155504, 0.231530, 0.179436, 0.138690, 13.520852, 0.000000, 1.0442 Second
9, 8.433343, 0.989614, 0.151779, 0.228494, 0.176288, 0.134473, 13.143982, 0.000000, 1.0855 Second
10, 6.916418, 0.991092, 0.152135, 0.226248, 0.174173, 0.131922, 13.269092, 0.000000, 1.1399 Second
11, 6.317300, 0.991519, 0.153168, 0.224153, 0.172583, 0.129503, 13.345369, 0.000000, 1.1828 Second
12, 5.740354, 0.991312, 0.152088, 0.223049, 0.171940, 0.128463, 13.169886, 0.000000, 1.1861 Second
13, 5.528882, 0.991137, 0.152531, 0.222559, 0.171731, 0.128491, 12.624761, 0.000000, 1.2464 Second
14, 5.474059, 0.990641, 0.154340, 0.222314, 0.171488, 0.128013, 12.143862, 0.000000, 1.2872 Second
15, 5.068307, 0.989853, 0.152971, 0.221888, 0.171356, 0.127840, 11.607032, 0.000000, 1.3650 Second
16, 4.786902, 0.989162, 0.153004, 0.221253, 0.170703, 0.127229, 10.529894, 0.000000, 1.3910 Second
17, 4.892659, 0.987775, 0.151002, 0.220689, 0.170617, 0.126690, 11.648484, 0.000000, 1.4728 Second
18, 5.072349, 0.986948, 0.135533, 0.220362, 0.170092, 0.125639, 12.310992, 0.000000, 1.5563 Second
19, 5.327768, 0.985474, 0.128699, 0.219443, 0.169584, 0.125833, 10.117818, 0.000000, 1.5824 Second
20, 5.473743, 0.984355, 0.125340, 0.219198, 0.169156, 0.124487, 9.290431, 0.000000, 1.6077 Second
21, 5.637838, 0.983359, 0.123350, 0.218551, 0.168519, 0.124036, 9.926115, 0.000000, 1.6304 Second
22, 5.417153, 0.985200, 0.134453, 0.218568, 0.167777, 0.121955, 10.739420, 0.000000, 1.7123 Second
23, 5.577956, 0.986422, 0.140658, 0.217973, 0.166952, 0.120923, 9.599607, 0.000000, 1.7684 Second
24, 5.631564, 0.987221, 0.148387, 0.217315, 0.166025, 0.120577, 14.033165, 0.000000, 1.8252 Second
25, 5.618991, 0.985696, 0.154154, 0.216856, 0.165591, 0.120611, 11.119917, 0.000000, 1.8575 Second
26, 5.907822, 0.985306, 0.157141, 0.216322, 0.165394, 0.121484, 12.823406, 0.000000, 1.9147 Second
27, 5.265414, 0.983669, 0.160226, 0.217306, 0.166122, 0.121332, 11.979125, 0.000000, 1.9348 Second
28, 6.060287, 0.983728, 0.160532, 0.216503, 0.165551, 0.121110, 10.144075, 0.000000, 1.9626 Second
29, 5.097061, 0.985556, 0.146864, 0.217942, 0.166943, 0.121732, 10.615796, 0.000000, 2.0527 Second
30, 6.493691, 0.984855, 0.155323, 0.216324, 0.165265, 0.120109, 10.899441, 0.000000, 2.1121 Second
31, 4.859643, 0.983691, 0.162906, 0.218270, 0.166754, 0.119199, 8.969577, 0.000000, 2.1583 Second
32, 5.901403, 0.984793, 0.162825, 0.216884, 0.164816, 0.117985, 11.057757, 0.000000, 2.1674 Second
33, 5.327405, 0.989954, 0.158437, 0.217101, 0.165158, 0.117125, 11.241832, 0.000000, 2.2335 Second
34, 5.318047, 0.989116, 0.162048, 0.214493, 0.162724, 0.115521, 10.675181, 0.000000, 2.2843 Second
35, 5.736114, 0.992769, 0.191716, 0.215957, 0.163609, 0.117362, 9.494236, 0.000000, 2.2937 Second
36, 4.366154, 0.992666, 0.191062, 0.214788, 0.162831, 0.116822, 10.719302, 0.000000, 2.4023 Second
37, 5.108355, 0.994626, 0.213759, 0.216135, 0.163751, 0.116985, 10.992799, 0.000000, 2.4028 Second
38, 4.581749, 0.994500, 0.212920, 0.214722, 0.162787, 0.116746, 11.044515, 0.000000, 2.4595 Second
39, 4.524436, 0.995355, 0.228430, 0.216263, 0.164244, 0.117239, 11.873127, 0.000000, 2.4932 Second
40, 4.531431, 0.995317, 0.230695, 0.215487, 0.163755, 0.117329, 11.633034, 0.000000, 2.6332 Second
41, 4.528170, 0.995502, 0.237445, 0.216309, 0.164741, 0.117854, 10.989835, 0.000000, 2.6128 Second
42, 4.586716, 0.995331, 0.241993, 0.216233, 0.164661, 0.118391, 9.112806, 0.000000, 2.6877 Second
43, 4.652900, 0.995031, 0.245955, 0.217578, 0.166030, 0.119385, 10.640111, 0.000000, 2.7813 Second
44, 4.645712, 0.994476, 0.247824, 0.217439, 0.165751, 0.119829, 9.128406, 0.000000, 2.7952 Second
45, 4.704047, 0.994123, 0.261065, 0.218995, 0.167278, 0.120719, 9.809859, 0.000000, 2.8235 Second
46, 4.983418, 0.993564, 0.258986, 0.218631, 0.166361, 0.120588, 9.452875, 0.000000, 2.9061 Second
47, 5.318881, 0.993233, 0.269105, 0.220055, 0.167626, 0.120335, 8.380274, 0.000000, 2.9744 Second
48, 5.293658, 0.992410, 0.266226, 0.219812, 0.166758, 0.121040, 12.437886, 0.000000, 2.9707 Second
49, 5.235414, 0.993485, 0.282406, 0.219319, 0.166285, 0.118652, 8.290526, 0.000000, 3.0588 Second
50, 5.161559, 0.995370, 0.322966, 0.218763, 0.165280, 0.119363, 10.655143, 0.000000, 3.1014 Second
51, 4.974606, 0.996546, 0.380555, 0.218964, 0.165959, 0.118256, 10.760393, 0.000000, 3.1196 Second
52, 4.850739, 0.997349, 0.436044, 0.217905, 0.164894, 0.118034, 8.763729, 0.000000, 3.1498 Second
53, 4.891727, 0.997955, 0.500560, 0.218618, 0.165715, 0.117488, 9.674836, 0.000000, 3.2187 Second
54, 4.692142, 0.998093, 0.525062, 0.218685, 0.165141, 0.116832, 9.763726, 0.000000, 3.2112 Second
55, 4.778273, 0.998434, 0.605181, 0.219134, 0.165389, 0.116095, 9.455292, 0.000000, 3.2229 Second
56, 4.597393, 0.998653, 0.678794, 0.219522, 0.165431, 0.115325, 8.988595, 0.000000, 3.3043 Second
57, 4.676530, 0.998619, 0.679997, 0.219669, 0.165588, 0.114340, 8.655383, 0.000000, 3.3745 Second
58, 4.540574, 0.998779, 0.748226, 0.219890, 0.165520, 0.114027, 8.645810, 0.000000, 3.3627 Second
59, 4.498459, 0.998900, 0.808289, 0.219967, 0.165683, 0.113818, 11.013774, 0.000000, 3.4415 Second
60, 4.461977, 0.998832, 0.784459, 0.220247, 0.165743, 0.113327, 11.031376, 0.000000, 3.4597 Second
61, 4.459340, 0.998880, 0.820952, 0.220288, 0.165762, 0.113436, 9.070041, 0.000000, 3.4622 Second
62, 4.523826, 0.998926, 0.863661, 0.220311, 0.165495, 0.113501, 9.068246, 0.000000, 3.4948 Second
63, 4.480824, 0.998874, 0.864901, 0.220583, 0.165701, 0.113474, 9.135405, 0.000000, 3.5602 Second
64, 4.462743, 0.998773, 0.848602, 0.220786, 0.165827, 0.113815, 10.177268, 0.000000, 3.6009 Second
65, 4.404454, 0.998678, 0.830350, 0.220991, 0.165977, 0.114047, 9.247338, 0.000000, 3.5947 Second
66, 4.383284, 0.998681, 0.853509, 0.221305, 0.166198, 0.114462, 11.646402, 0.000000, 3.6482 Second
67, 4.403349, 0.998666, 0.861780, 0.221678, 0.166713, 0.114622, 11.321946, 0.000000, 3.8031 Second
68, 4.363686, 0.998665, 0.876005, 0.222048, 0.167109, 0.114752, 13.736606, 0.000000, 3.7308 Second
69, 4.369690, 0.998658, 0.886709, 0.222375, 0.167522, 0.114966, 11.417827, 0.000000, 3.7802 Second
70, 4.341159, 0.998653, 0.890382, 0.222814, 0.168020, 0.115500, 11.130037, 0.000000, 3.8898 Second
