map_name,max_relative_area_error,area_weighted_mean_error
vietnam_population_by_province_2019.geojson,4.71757,0.408708
vietnam_population_by_province_2019_0.geojson,1.76267,0.174678
vietnam_population_by_province_2019_1.geojson,0.837083,0.0924001
vietnam_population_by_province_2019_2.geojson,0.279383,0.0328491
vietnam_population_by_province_2019_3.geojson,0.374302,0.0411447
vietnam_population_by_province_2019_4.geojson,0.464418,0.0362383
vietnam_population_by_province_2019_5.geojson,0.744647,0.0375405
vietnam_population_by_province_2019_6.geojson,0.461615,0.0367302
vietnam_population_by_province_2019_7.geojson,0.568429,0.0342011
vietnam_population_by_province_2019_8.geojson,0.818896,0.0346206
vietnam_population_by_province_2019_9.geojson,0.481454,0.0312574
vietnam_population_by_province_2019_10.geojson,0.976302,0.0421015
vietnam_population_by_province_2019_11.geojson,0.621086,0.0491676
vietnam_population_by_province_2019_12.geojson,1.18875,0.0608779
vietnam_population_by_province_2019_13.geojson,0.529713,0.0421294
vietnam_population_by_province_2019_14.geojson,0.845602,0.0449477
vietnam_population_by_province_2019_15.geojson,0.242532,0.0238513
vietnam_population_by_province_2019_16.geojson,0.30222,0.0309651
vietnam_population_by_province_2019_17.geojson,0.320035,0.0187581
vietnam_population_by_province_2019_18.geojson,0.640631,0.0259683
vietnam_population_by_province_2019_19.geojson,0.440195,0.0209851
vietnam_population_by_province_2019_20.geojson,0.664464,0.024542
vietnam_population_by_province_2019_21.geojson,0.348755,0.0155367
vietnam_population_by_province_2019_22.geojson,0.493549,0.0190464
vietnam_population_by_province_2019_23.geojson,0.313788,0.0140659
vietnam_population_by_province_2019_24.geojson,0.762703,0.0196157
vietnam_population_by_province_2019_25.geojson,0.428742,0.0212401
vietnam_population_by_province_2019_26.geojson,0.54532,0.0225704
vietnam_population_by_province_2019_27.geojson,0.443093,0.0181027
vietnam_population_by_province_2019_28.geojson,1.16713,0.0297783
vietnam_population_by_province_2019_29.geojson,0.361622,0.026875
vietnam_population_by_province_2019_30.geojson,0.71091,0.0350516
vietnam_population_by_province_2019_31.geojson,0.497029,0.0282266
vietnam_population_by_province_2019_32.geojson,0.502241,0.0237857
vietnam_population_by_province_2019_33.geojson,0.606486,0.0176459
vietnam_population_by_province_2019_34.geojson,0.418391,0.0151415
vietnam_population_by_province_2019_35.geojson,0.575175,0.0131255
vietnam_population_by_province_2019_36.geojson,0.649903,0.0191458
vietnam_population_by_province_2019_37.geojson,1.69032,0.0337758
vietnam_population_by_province_2019_38.geojson,0.449037,0.0193438
vietnam_population_by_province_2019_39.geojson,0.546306,0.01828
vietnam_population_by_province_2019_40.geojson,0.477321,0.0168242
vietnam_population_by_province_2019_41.geojson,0.644955,0.0165207
vietnam_population_by_province_2019_42.geojson,0.397661,0.0149029
vietnam_population_by_province_2019_43.geojson,0.535082,0.0168137
vietnam_population_by_province_2019_44.geojson,0.255668,0.0113459
vietnam_population_by_province_2019_45.geojson,0.38578,0.0113692
vietnam_population_by_province_2019_46.geojson,0.481968,0.0107113
vietnam_population_by_province_2019_47.geojson,0.432427,0.0144899
vietnam_population_by_province_2019_48.geojson,0.122838,0.00861005
vietnam_population_by_province_2019_49.geojson,0.246338,0.00942657
vietnam_population_by_province_2019_50.geojson,0.826165,0.0115149
vietnam_population_by_province_2019_51.geojson,0.368535,0.0145206
vietnam_population_by_province_2019_52.geojson,0.431112,0.0106953
vietnam_population_by_province_2019_53.geojson,0.384993,0.0115191
vietnam_population_by_province_2019_54.geojson,1.51197,0.0165124
vietnam_population_by_province_2019_55.geojson,0.429367,0.0245284
vietnam_population_by_province_2019_56.geojson,0.269903,0.0141204
vietnam_population_by_province_2019_57.geojson,0.29566,0.0143635
vietnam_population_by_province_2019_58.geojson,0.360789,0.0119768
vietnam_population_by_province_2019_59.geojson,0.853987,0.0120967
