round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 4.717571, 0.931777, 0.421831, 0.414978, 0.359806, 0.349963, 19.446024, 0.000000, 0.0652 Second
1, 1.762673, 0.790567, 0.044362, 0.172153, 0.125422, 0.136036, 13.697165, 0.000000, 0.0618 Second
2, 0.837083, 0.450845, 0.009760, 0.099639, 0.072957, 0.093121, 12.048454, 0.000000, 0.0670 Second
3, 0.227563, 0.279383, 0.002543, 0.049267, 0.037092, 0.032483, 4.503442, 0.000000, 0.0656 Second
4, 0.374302, 0.331164, 0.004570, 0.065444, 0.042523, 0.040670, 8.252944, 0.000000, 0.0683 Second
5, 0.351006, 0.464418, 0.005609, 0.067327, 0.039777, 0.033082, 6.123513, 0.000000, 0.0736 Second
6, 0.744647, 0.617795, 0.011234, 0.087731, 0.038903, 0.034266, 9.694121, 0.000000, 0.0750 Second
7, 0.439268, 0.461615, 0.005012, 0.066808, 0.037990, 0.037279, 7.285564, 0.000000, 0.0821 Second
8, 0.501396, 0.568429, 0.007736, 0.074379, 0.036467, 0.029118, 7.726542, 0.000000, 0.0837 Second
9, 0.818896, 0.518105, 0.006504, 0.074189, 0.036924, 0.036643, 9.993223, 0.000000, 0.0863 Second
10, 0.303484, 0.481454, 0.004746, 0.060466, 0.033152, 0.027228, 5.900125, 0.000000, 0.0908 Second
11, 0.976302, 0.512411, 0.008142, 0.085746, 0.043859, 0.047083, 9.701474, 0.000000, 0.0969 Second
12, 0.364499, 0.621086, 0.014066, 0.094089, 0.051419, 0.039131, 7.233416, 0.000000, 0.1001 Second
13, 1.188750, 0.467192, 0.013668, 0.114198, 0.062491, 0.070889, 12.615703, 0.000000, 0.1061 Second
14, 0.107878, 0.529713, 0.007830, 0.075428, 0.044238, 0.035687, 5.616684, 0.000000, 0.1089 Second
15, 0.845602, 0.330656, 0.006278, 0.081365, 0.042884, 0.050551, 13.175191, 0.000000, 0.1103 Second
16, 0.125688, 0.242532, 0.001947, 0.041862, 0.025945, 0.022247, 4.137003, 0.000000, 0.1117 Second
17, 0.302220, 0.207850, 0.002233, 0.046972, 0.030883, 0.030510, 7.620050, 0.000000, 0.1161 Second
18, 0.138744, 0.320035, 0.002149, 0.042579, 0.021668, 0.016895, 4.226940, 0.000000, 0.1242 Second
19, 0.640631, 0.433474, 0.004183, 0.062109, 0.029333, 0.026167, 10.038199, 0.000000, 0.1272 Second
20, 0.140340, 0.440195, 0.002998, 0.048352, 0.023511, 0.018656, 5.391697, 0.000000, 0.1291 Second
21, 0.664464, 0.452718, 0.003579, 0.056054, 0.025889, 0.024309, 10.147630, 0.000000, 0.1330 Second
22, 0.181421, 0.348755, 0.001387, 0.034387, 0.018137, 0.014702, 4.601007, 0.000000, 0.1376 Second
23, 0.493549, 0.348403, 0.002007, 0.043280, 0.021930, 0.018645, 9.610831, 0.000000, 0.1400 Second
24, 0.081660, 0.313788, 0.000972, 0.028919, 0.016448, 0.013348, 2.983448, 0.000000, 0.1466 Second
25, 0.762703, 0.204857, 0.001898, 0.045498, 0.022481, 0.020702, 9.966813, 0.000000, 0.1505 Second
26, 0.064084, 0.428742, 0.002785, 0.047113, 0.025805, 0.019130, 4.652765, 0.000000, 0.1515 Second
27, 0.545320, 0.238476, 0.002419, 0.049469, 0.026577, 0.022557, 7.040584, 0.000000, 0.1527 Second
28, 0.105773, 0.443093, 0.003863, 0.053370, 0.023507, 0.015815, 4.056361, 0.000000, 0.1528 Second
29, 1.167130, 0.534472, 0.007956, 0.085787, 0.036764, 0.032476, 10.110400, 0.000000, 0.1662 Second
30, 0.111915, 0.361622, 0.003685, 0.055138, 0.032419, 0.023881, 4.003646, 0.000000, 0.1645 Second
31, 0.710910, 0.370197, 0.006838, 0.081191, 0.040370, 0.036077, 10.041488, 0.000000, 0.1700 Second
32, 0.263816, 0.497029, 0.005644, 0.065797, 0.035330, 0.024491, 5.675801, 0.000000, 0.1735 Second
33, 0.425884, 0.502241, 0.005277, 0.063787, 0.029537, 0.021679, 7.627804, 0.000000, 0.1768 Second
34, 0.606486, 0.426002, 0.003520, 0.057595, 0.022566, 0.018907, 10.456942, 0.000000, 0.1804 Second
35, 0.166559, 0.418391, 0.002544, 0.044633, 0.019533, 0.013523, 5.909021, 0.000000, 0.1798 Second
36, 0.575175, 0.195458, 0.001452, 0.040239, 0.016215, 0.014674, 7.010320, 0.000000, 0.1830 Second
37, 0.077133, 0.649903, 0.010731, 0.076071, 0.025635, 0.014141, 5.545384, 0.000000, 0.1909 Second
38, 1.690316, 0.382493, 0.007784, 0.096384, 0.040262, 0.047838, 13.693199, 0.000000, 0.1990 Second
39, 0.062942, 0.449037, 0.003633, 0.052719, 0.024479, 0.016714, 4.755796, 0.000000, 0.1992 Second
40, 0.546306, 0.224048, 0.002349, 0.049501, 0.024174, 0.018939, 7.744425, 0.000000, 0.2020 Second
41, 0.088711, 0.477321, 0.004163, 0.054795, 0.022491, 0.014224, 5.117065, 0.000000, 0.2015 Second
42, 0.644955, 0.200109, 0.002063, 0.047711, 0.020536, 0.018164, 8.724391, 0.000000, 0.2099 Second
43, 0.066815, 0.397661, 0.002729, 0.045976, 0.019913, 0.012927, 4.894094, 0.000000, 0.2085 Second
44, 0.535082, 0.199817, 0.002042, 0.046917, 0.021852, 0.017939, 9.723172, 0.000000, 0.2194 Second
45, 0.051357, 0.255668, 0.000766, 0.026163, 0.014212, 0.010625, 3.795486, 0.000000, 0.2259 Second
46, 0.385780, 0.165864, 0.000870, 0.029935, 0.014915, 0.011360, 5.242101, 0.000000, 0.2174 Second
47, 0.079639, 0.481968, 0.002601, 0.042339, 0.014932, 0.009482, 3.341634, 0.000000, 0.2287 Second
48, 0.432427, 0.210248, 0.001571, 0.040249, 0.019330, 0.014797, 8.266762, 0.000000, 0.2308 Second
49, 0.122838, 0.104884, 0.000259, 0.016013, 0.010533, 0.008509, 2.760764, 0.000000, 0.2304 Second
50, 0.045737, 0.246338, 0.000484, 0.020743, 0.011208, 0.008968, 2.580836, 0.000000, 0.2336 Second
51, 0.826165, 0.200573, 0.001522, 0.042084, 0.014506, 0.014047, 9.652093, 0.000000, 0.2436 Second
52, 0.050322, 0.368535, 0.002316, 0.043262, 0.018722, 0.012630, 5.614528, 0.000000, 0.2465 Second
53, 0.431112, 0.155571, 0.000890, 0.030519, 0.013430, 0.011075, 5.519476, 0.000000, 0.2528 Second
54, 0.046062, 0.384993, 0.001359, 0.032508, 0.013572, 0.010301, 2.739952, 0.000000, 0.2688 Second
55, 1.511974, 0.294126, 0.003386, 0.063317, 0.020660, 0.023304, 9.647531, 0.000000, 0.2654 Second
56, 0.056949, 0.429367, 0.004092, 0.056705, 0.029672, 0.021543, 6.154195, 0.000000, 0.2673 Second
57, 0.157889, 0.269903, 0.001259, 0.033673, 0.018132, 0.013151, 3.021731, 0.000000, 0.2694 Second
58, 0.295660, 0.242760, 0.001218, 0.034207, 0.018172, 0.014017, 5.584663, 0.000000, 0.2771 Second
59, 0.073412, 0.360789, 0.001282, 0.032274, 0.014501, 0.011007, 3.814661, 0.000000, 0.2793 Second
60, 0.853987, 0.155113, 0.001557, 0.042796, 0.015161, 0.014235, 8.536607, 0.000000, 0.2854 Second
61, 0.065370, 0.475701, 0.003348, 0.049654, 0.020539, 0.013460, 4.822995, 0.000000, 0.2866 Second
62, 0.599720, 0.414735, 0.003545, 0.057444, 0.022994, 0.018288, 6.709268, 0.000000, 0.2922 Second
63, 0.161973, 0.286870, 0.000883, 0.028090, 0.012806, 0.010886, 3.944605, 0.000000, 0.2895 Second
64, 0.445483, 0.216582, 0.000903, 0.030625, 0.011998, 0.010339, 5.985594, 0.000000, 0.2928 Second
65, 0.090065, 0.541299, 0.004056, 0.050997, 0.016607, 0.010160, 4.523253, 0.000000, 0.2932 Second
66, 1.273701, 0.262367, 0.006407, 0.087485, 0.039823, 0.047668, 12.108244, 0.000000, 0.3064 Second
67, 0.117676, 0.414972, 0.003354, 0.051545, 0.022306, 0.017641, 5.520720, 0.000000, 0.3091 Second
68, 0.626837, 0.157649, 0.001526, 0.040772, 0.022548, 0.024986, 7.354449, 0.000000, 0.3124 Second
69, 0.105982, 0.565407, 0.005707, 0.061314, 0.027102, 0.023602, 6.280454, 0.000000, 0.3181 Second
70, 0.519286, 0.246481, 0.002732, 0.053839, 0.031898, 0.039022, 7.351444, 0.000000, 0.3195 Second
71, 0.315174, 0.548545, 0.006280, 0.067470, 0.033149, 0.041835, 7.459281, 0.000000, 0.3217 Second
72, 0.382630, 0.468537, 0.006925, 0.076061, 0.055510, 0.062580, 7.479571, 0.000000, 0.3226 Second
73, 0.748134, 0.258001, 0.007126, 0.085967, 0.063573, 0.086841, 12.021549, 0.000000, 0.3429 Second
74, 0.147355, 0.495077, 0.005060, 0.061667, 0.034707, 0.034353, 5.467936, 0.000000, 0.3359 Second
75, 1.153593, 0.329054, 0.005291, 0.073936, 0.046151, 0.049270, 10.406928, 0.000000, 0.3488 Second
76, 0.171052, 0.463081, 0.003780, 0.053893, 0.028586, 0.024303, 5.761316, 0.000000, 0.3409 Second
77, 0.739936, 0.294200, 0.004168, 0.064376, 0.035971, 0.038314, 10.549764, 0.000000, 0.3569 Second
78, 0.190455, 0.440455, 0.003452, 0.052222, 0.029182, 0.025048, 6.092138, 0.000000, 0.3516 Second
79, 0.617879, 0.328521, 0.002813, 0.053113, 0.028294, 0.030720, 9.024876, 0.000000, 0.3463 Second
80, 0.292158, 0.472398, 0.003908, 0.054732, 0.027139, 0.024238, 5.265951, 0.000000, 0.3662 Second
81, 1.035210, 0.598868, 0.008985, 0.083744, 0.037447, 0.042699, 9.659398, 0.000000, 0.3780 Second
