round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
0, 155.960812, 0.999647, 22.604023, 0.551343, 0.466452, 0.529398, 24.296147, 0.000000, 0.1913 Second
1, 142.628945, 0.999551, 17.474722, 0.483178, 0.386980, 0.343701, 21.035029, 0.000000, 0.1923 Second
2, 105.153651, 0.999561, 17.373571, 0.443494, 0.339746, 0.197940, 15.226964, 0.000000, 0.1948 Second
3, 75.118803, 0.999566, 17.512206, 0.413704, 0.301553, 0.121878, 12.362440, 0.000000, 0.2020 Second
4, 58.556513, 0.999563, 17.180451, 0.393691, 0.276019, 0.089036, 14.174228, 0.000000, 0.2169 Second
5, 51.865910, 0.999561, 17.070014, 0.383896, 0.263113, 0.077912, 12.205400, 0.000000, 0.2312 Second
6, 46.590153, 0.999559, 16.858507, 0.375843, 0.253587, 0.070351, 12.623749, 0.000000, 0.2551 Second
7, 43.603552, 0.999556, 16.658307, 0.370007, 0.247080, 0.065348, 10.585686, 0.000000, 0.2570 Second
8, 39.447513, 0.999553, 16.439939, 0.364605, 0.241188, 0.061058, 6.565084, 0.000000, 0.2567 Second
9, 35.076911, 0.999548, 16.107130, 0.356812, 0.231954, 0.056094, 6.006672, 0.000000, 0.2854 Second
10, 32.775514, 0.999544, 15.805800, 0.350439, 0.224591, 0.051819, 5.092654, 0.000000, 0.2875 Second
11, 30.303539, 0.999539, 15.458363, 0.344706, 0.216949, 0.047646, 5.825832, 0.000000, 0.2949 Second
12, 29.828865, 0.999535, 15.162569, 0.340533, 0.211221, 0.044832, 8.884113, 0.000000, 0.2972 Second
13, 29.296173, 0.999532, 14.997788, 0.338711, 0.208999, 0.043519, 8.658581, 0.000000, 0.3343 Second
14, 29.149802, 0.999529, 14.850319, 0.337111, 0.206698, 0.042305, 7.278863, 0.000000, 0.3483 Second
15, 29.174603, 0.999526, 14.679051, 0.335073, 0.203893, 0.041342, 5.240179, 0.000000, 0.3346 Second
16, 27.968329, 0.999521, 14.418133, 0.332162, 0.200370, 0.040137, 6.215277, 0.000000, 0.3298 Second
17, 26.980633, 0.999517, 14.206845, 0.330106, 0.197893, 0.039110, 4.933389, 0.000000, 0.3598 Second
18, 25.674381, 0.999511, 13.983459, 0.327395, 0.194123, 0.037687, 4.637451, 0.000000, 0.3912 Second
19, 24.907137, 0.999506, 13.793704, 0.325340, 0.191237, 0.036267, 3.986585, 0.000000, 0.3628 Second
20, 22.343255, 0.999499, 13.542341, 0.322812, 0.188729, 0.034734, 3.573614, 0.000000, 0.3991 Second
21, 21.683575, 0.999492, 13.322121, 0.320960, 0.186739, 0.033574, 3.624856, 0.000000, 0.4275 Second
22, 21.158165, 0.999485, 13.025892, 0.317861, 0.182999, 0.032163, 7.481806, 0.000000, 0.4191 Second
23, 20.875561, 0.999481, 12.941252, 0.317095, 0.182194, 0.031884, 3.583731, 0.000000, 0.4231 Second
24, 20.171064, 0.999474, 12.680185, 0.314542, 0.180700, 0.031593, 4.943314, 0.000000, 0.4004 Second
25, 19.746784, 0.999469, 12.543094, 0.312793, 0.178378, 0.030970, 3.783022, 0.000000, 0.4216 Second
26, 19.109851, 0.999463, 12.349004, 0.310198, 0.176473, 0.030542, 5.819952, 0.000000, 0.4252 Second
27, 18.488413, 0.999458, 12.248282, 0.309331, 0.175564, 0.030030, 5.657216, 0.000000, 0.4540 Second
28, 17.927107, 0.999453, 12.139905, 0.308086, 0.174802, 0.029947, 5.153905, 0.000000, 0.5382 Second
29, 17.894548, 0.999448, 12.039545, 0.307057, 0.173976, 0.029753, 2.799540, 0.000000, 0.5552 Second
30, 17.838979, 0.999438, 11.875802, 0.305180, 0.172971, 0.029589, 3.305173, 0.000000, 0.4841 Second
31, 17.712068, 0.999430, 11.736781, 0.303784, 0.172010, 0.029542, 4.359060, 0.000000, 0.5342 Second
32, 17.646295, 0.999424, 11.630750, 0.302475, 0.171205, 0.029493, 5.142692, 0.000000, 0.4998 Second
33, 17.486542, 0.999419, 11.559931, 0.301534, 0.170319, 0.029130, 6.803551, 0.000000, 0.5049 Second
34, 17.341179, 0.999415, 11.495255, 0.300819, 0.170226, 0.029029, 6.815950, 0.000000, 0.5418 Second
35, 17.265634, 0.999411, 11.434633, 0.300113, 0.169754, 0.028812, 4.642128, 0.000000, 0.5759 Second
36, 17.242275, 0.999405, 11.344913, 0.298973, 0.169070, 0.028694, 6.241436, 0.000000, 0.5614 Second
37, 17.230697, 0.999400, 11.281132, 0.298143, 0.168391, 0.028534, 6.791506, 0.000000, 0.5752 Second
38, 17.223996, 0.999397, 11.220961, 0.297200, 0.167551, 0.028444, 6.577303, 0.000000, 0.5039 Second
39, 16.906445, 0.999392, 11.159055, 0.296376, 0.166942, 0.028259, 6.334574, 0.000000, 0.5846 Second
40, 16.853234, 0.999388, 11.095846, 0.295446, 0.166051, 0.028037, 6.055873, 0.000000, 0.6087 Second
41, 16.849325, 0.999384, 11.026517, 0.294574, 0.165400, 0.027803, 5.874884, 0.000000, 0.5180 Second
42, 16.480862, 0.999379, 10.964308, 0.293601, 0.164589, 0.027512, 11.183542, 0.000000, 0.6126 Second
43, 16.431690, 0.999377, 10.928030, 0.293091, 0.164143, 0.027318, 5.460757, 0.000000, 0.6263 Second
44, 16.384840, 0.999372, 10.855621, 0.292105, 0.163280, 0.026946, 3.769082, 0.000000, 0.5438 Second
45, 16.689122, 0.999364, 10.746863, 0.290799, 0.162139, 0.026650, 5.918476, 0.000000, 0.6619 Second
46, 16.692482, 0.999359, 10.679665, 0.289911, 0.161222, 0.026380, 5.826958, 0.000000, 0.5673 Second
47, 16.165593, 0.999353, 10.608819, 0.289015, 0.160245, 0.026132, 3.014326, 0.000000, 0.5621 Second
48, 16.229509, 0.999343, 10.481935, 0.287600, 0.158874, 0.025889, 2.948395, 0.000000, 0.5819 Second
49, 16.303919, 0.999332, 10.346849, 0.285989, 0.157060, 0.025621, 2.523233, 0.000000, 0.5641 Second
50, 16.647189, 0.999319, 10.204097, 0.284975, 0.155898, 0.025607, 2.985803, 0.000000, 0.5931 Second
51, 15.786446, 0.999307, 10.063841, 0.284149, 0.154857, 0.025123, 3.081674, 0.000000, 0.6471 Second
52, 15.599420, 0.999296, 9.939591, 0.283394, 0.154268, 0.024912, 3.379405, 0.000000, 0.6040 Second
