base_map, altered_map,frechet distance,hausdorff distance,symmetric difference
algeria_population_by_wilaya_2022_input.geojson,algeria_population_by_wilaya_2022_5.geojson,0.825094,0.466575,0.922939
algeria_population_by_wilaya_2022_input.geojson,algeria_population_by_wilaya_2022_5Fcarto.geojson,1.03275,0.517209,1.01089
algeria_population_by_wilaya_2022_input.geojson,algeria_population_by_wilaya_2022_flow_based.geojson,0.901568,0.493114,0.959143
australia_population_by_state_and_territory_2021_input.geojson,australia_population_by_state_and_territory_2021_2.geojson,1.10689,0.283751,0.669941
australia_population_by_state_and_territory_2021_input.geojson,australia_population_by_state_and_territory_2021_5Fcarto.geojson,0.537474,0.279546,0.621609
australia_population_by_state_and_territory_2021_input.geojson,australia_population_by_state_and_territory_2021_flow_based.geojson,0.541469,0.275248,0.624286
austria_population_by_state_2020_input.geojson,austria_population_by_state_2020_4.geojson,0.450027,0.249849,0.737205
austria_population_by_state_2020_input.geojson,austria_population_by_state_2020_5Fcarto.geojson,0.301939,0.222635,0.508278
austria_population_by_state_2020_input.geojson,austria_population_by_state_2020_flow_based.geojson,0.301869,0.222382,0.508007
bahamas_population_by_district_2010_input.geojson,bahamas_population_by_district_2010_9.geojson,1.29067,0.517949,0.480585
bahamas_population_by_district_2010_input.geojson,bahamas_population_by_district_2010_5Fcarto.geojson,1.25013,0.542995,1.0927
bahamas_population_by_district_2010_input.geojson,bahamas_population_by_district_2010_flow_based.geojson,1.25741,0.535152,1.09178
belgium_population_by_region_2022_input.geojson,belgium_population_by_region_2022_2.geojson,0.324619,0.283501,0.580082
belgium_population_by_region_2022_input.geojson,belgium_population_by_region_2022_5Fcarto.geojson,0.314256,0.203274,0.332708
belgium_population_by_region_2022_input.geojson,belgium_population_by_region_2022_flow_based.geojson,0.31393,0.203138,0.332512
brazil_population_by_state_2021_input.geojson,brazil_population_by_state_2021_4.geojson,1.07699,0.352892,0.655186
brazil_population_by_state_2021_input.geojson,brazil_population_by_state_2021_5Fcarto.geojson,0.590733,0.357895,0.69365
brazil_population_by_state_2021_input.geojson,brazil_population_by_state_2021_flow_based.geojson,0.590977,0.356063,0.693823
china_population_by_province_2020_input.geojson,china_population_by_province_2020_9.geojson,1.15278,0.31073,0.654473
china_population_by_province_2020_input.geojson,china_population_by_province_2020_5Fcarto.geojson,0.546322,0.312064,0.662879
china_population_by_province_2020_input.geojson,china_population_by_province_2020_flow_based.geojson,0.572497,0.332285,0.681785
conterminous_usa_population_by_state_2020_input.geojson,conterminous_usa_population_by_state_2020_4.geojson,0.530545,0.297222,0.580428
conterminous_usa_population_by_state_2020_input.geojson,conterminous_usa_population_by_state_2020_5Fcarto.geojson,0.483774,0.295302,0.550228
conterminous_usa_population_by_state_2020_input.geojson,conterminous_usa_population_by_state_2020_flow_based.geojson,0.483328,0.287997,0.55084
croatia_covid_cases_by_county_2022_input.geojson,croatia_covid_cases_by_county_2022_3.geojson,0.488166,0.28588,0.61982
croatia_covid_cases_by_county_2022_input.geojson,croatia_covid_cases_by_county_2022_5Fcarto.geojson,0.460113,0.258883,0.579631
croatia_covid_cases_by_county_2022_input.geojson,croatia_covid_cases_by_county_2022_flow_based.geojson,0.459926,0.259301,0.579191
croatia_population_by_county_2021_input.geojson,croatia_population_by_county_2021_6.geojson,0.390128,0.251521,0.570326
croatia_population_by_county_2021_input.geojson,croatia_population_by_county_2021_5Fcarto.geojson,0.385301,0.244222,0.516664
croatia_population_by_county_2021_input.geojson,croatia_population_by_county_2021_flow_based.geojson,0.38568,0.245986,0.517053
csv_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_ne50_antimeridian_minus169_brewer_pop_9.geojson,1.25409,0.400311,0.632428
csv_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_ne50_antimeridian_minus169_brewer_pop_5Fcarto.geojson,1.50339,0.509684,0.832771
csv_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_ne50_antimeridian_minus169_brewer_pop_flow_based.geojson,1.5714,0.475566,0.845677
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_9.geojson,1.28686,0.403776,0.623258
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_5Fcarto.geojson,0.905048,0.478429,0.812003
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_flow_based.geojson,1.01609,0.485464,0.827671
egypt_population_by_governate_2017_input.geojson,egypt_population_by_governate_2017_9.geojson,1.24598,0.475372,0.872957
egypt_population_by_governate_2017_input.geojson,egypt_population_by_governate_2017_5Fcarto.geojson,1.45404,0.496035,0.90539
egypt_population_by_governate_2017_input.geojson,egypt_population_by_governate_2017_flow_based.geojson,1.41932,0.600185,0.919944
england_population_by_region_2022_input.geojson,england_population_by_region_2022_2.geojson,1.09532,0.319515,0.651709
england_population_by_region_2022_input.geojson,england_population_by_region_2022_5Fcarto.geojson,0.255244,0.188572,0.365718
england_population_by_region_2022_input.geojson,england_population_by_region_2022_flow_based.geojson,0.25473,0.187835,0.365172
france_population_by_metropolitan_region_2008_input.geojson,france_population_by_metropolitan_region_2008_2.geojson,0.36902,0.265627,0.488924
france_population_by_metropolitan_region_2008_input.geojson,france_population_by_metropolitan_region_2008_5Fcarto.geojson,0.308738,0.218542,0.399082
france_population_by_metropolitan_region_2008_input.geojson,france_population_by_metropolitan_region_2008_flow_based.geojson,0.308546,0.218068,0.399077
germany_population_by_state_2011_input.geojson,germany_population_by_state_2011_6.geojson,0.305769,0.228149,0.504613
germany_population_by_state_2011_input.geojson,germany_population_by_state_2011_5Fcarto.geojson,0.250668,0.214339,0.458391
germany_population_by_state_2011_input.geojson,germany_population_by_state_2011_flow_based.geojson,0.24556,0.215187,0.458717
indonesia_population_by_province_2024_input.geojson,indonesia_population_by_province_2024_6.geojson,0.676474,0.393259,0.847098
indonesia_population_by_province_2024_input.geojson,indonesia_population_by_province_2024_5Fcarto.geojson,0.672769,0.369493,0.769049
indonesia_population_by_province_2024_input.geojson,indonesia_population_by_province_2024_flow_based.geojson,0.648815,0.36997,0.753931
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_3.geojson,1.105,0.321357,0.634292
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_5Fcarto.geojson,0.570206,0.329089,0.715867
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_flow_based.geojson,0.575196,0.324467,0.716772
malaysia_population_by_state_2020_input.geojson,malaysia_population_by_state_2020_6.geojson,0.497137,0.323411,0.614074
