mapname,F4Carto_min_relative_area_error_reached,F4Carto_n_iter,5FCarto_min_relative_area_error_reached,5FCarto_n_iter,flow_based_min_relative_area_error_reached,flow_based_n_iter
algeria_population_by_wilaya_2022,0.224776,34,1.043609643147647e-13,80,2.664535259100376e-15,68
australia_population_by_state_and_territory_2021,0.554882,17,3.108624468950438e-15,42,2.886579864025407e-15,96
austria_population_by_state_2020,0.0853007,78,3.8067660135254755e-11,83,4.440892098500626e-16,67
bahamas_population_by_district_2010,1.01236,100,1.9406698470447741e-13,99,2.731148640577885e-14,90
belgium_population_by_region_2022,0.0070389,51,2.220446049250313e-16,38,2.220446049250313e-16,60
brazil_population_by_state_2021,0.211295,27,4.440892098500626e-15,94,2.442490654175344e-15,93
china_population_by_province_2020,0.784266,21,7.614131547484249e-12,92,3.108624468950438e-15,97
conterminous_usa_population_by_state_2020,0.0299123,87,8.604228440844963e-14,59,5.9952043329758445e-15,82
croatia_covid_cases_by_county_2022,0.0156588,100,3.441691376337985e-15,90,3.3306690738754704e-15,96
croatia_population_by_county_2021,0.0116063,100,5.129230373768223e-14,96,1.665334536937735e-15,98
csv_ne50_antimeridian_minus169_brewer_pop,56.69,100,1.9914137006082908e-10,85,5.164313421346378e-12,99
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,7.17588,96,1.27426780238693e-9,96,6.734615087822249e-10,99
egypt_population_by_governate_2017,0.199794,100,5.9952043329758445e-15,79,3.552713678800501e-15,59
england_population_by_region_2022,0.148786,20,1.6209256159527292e-14,74,3.108624468950438e-15,57
france_population_by_metropolitan_region_2008,0.0104931,100,1.77635683940025e-15,93,8.881784197001252e-16,44
germany_population_by_state_2011,0.149993,93,4.218847493575595e-15,69,1.332267629550188e-15,54
indonesia_population_by_province_2024,0.164449,100,1.2656542480726781e-14,95,8.659739592076221e-15,47
japan_population_by_prefecture_2020,0.10768,79,6.283862319378386e-13,74,9.325873406851317e-15,63
malaysia_population_by_state_2020,0.0545457,100,8.881784197001252e-15,60,2.442490654175344e-15,98
metropolitan_france_population_by_departement_2022,0.211913,82,2.5757174171303632e-14,97,3.774758283725532e-15,56
NUTS_population_by_country_2021,0.186954,97,2.949862576429041e-13,87,1.255662240851052e-12,99
NUTS_population_by_region_2020,1.68921,26,6.872280522429719e-14,78,9.14823772291129e-14,87
russia_population_by_federal_subject_2010,1.09915,24,3.508304757815495e-14,69,2.2759572004815712e-14,50
simplified_belgium_population_by_region_2022,0.00785074,74,2.220446049250313e-16,76,5.551115123125784e-16,34
singapore_population_by_planning_area_2015,5.28365,48,7.419753700332876e-11,92,11.66538121101649,47
switzerland_gdp_in_billion_chf_by_canton_2019,0.027815,100,1.3187562153405e-11,79,9.103828801926284e-15,46
switzerland_population_by_canton_2016,0.021864,69,9.2148511043888e-15,71,3.885780586188048e-15,47
tunisia_population_by_governate_2014,0.0138493,97,9.490186414495838e-13,65,9.992007221626409e-16,87
usa_population_by_county_2021,4.04647,87,1.50390931649147e-5,75,0.3383478301980207,85
usa_population_by_state_2020,0.215729,100,9.769962616701378e-15,97,1.63202784619898e-14,86
vietnam_population_by_province_2019,0.122838,49,7.549516567451064e-15,83,4.662936703425657e-15,91
world_population_by_country_2010,7.25603,100,1.692520346097126e-9,95,6.361577931102147e-14,89
