mapname,F4Carto_n_iter,5FCarto_n_defeated,flow_based_n_defeated,F4Carto_min_relative_area_error_reached,5FCarto_max_relative_area_error_at_n,flow_based_max_relative_area_error_at_n,F4Carto_time,5FCarto_time_at_n,flow_based_time_at_n,5FCarto_final_error,flow_based_final_error,5FCarto_total_time,flow_based_total_time
algeria_population_by_wilaya_2022,6,5,6,0.302338,0.1806037199446788,0.2563618066897575,1.6304,1.071,1.0110000000000001,7.574962879175473e-11,3.108624468950438e-15,185.65100000000007,103.856
australia_population_by_state_and_territory_2021,3,1,1,0.845114,0.7313052580711753,0.7364740045714557,0.2021,0.221,0.383,5.209666031902316e-11,1.5099033134902132e-14,1525.3090000000002,242.57700000000003
austria_population_by_state_2020,5,1,1,0.438313,0.09794843987706424,0.09787826050951808,0.2493,0.261,0.10400000000000001,2.899168682901632e-9,1.77635683940025e-15,710.6610000000003,742.5170000000002
bahamas_population_by_district_2010,10,4,4,6.27002,5.465689055414206,5.482237374539369,1.7667,1.174,2.105,1.9406698470447741e-13,4.285460875053104e-14,443.86700000000025,228.639
belgium_population_by_region_2022,3,0,0,0.378991,0.3547914882899234,0.3544715625747589,0.1174,0.053,0.05,1.157740570079113e-12,2.220446049250313e-16,882.2070000000001,349.51
brazil_population_by_state_2021,5,3,3,0.313994,0.1118295495784836,0.1101452161453982,0.6868,0.691,0.42899999999999994,5.5178084323870286e-14,4.329869796038111e-15,217.30499999999995,130.51500000000001
china_population_by_province_2020,10,2,1,0.975881,0.8777647550072493,0.8833468905410538,1.5859999999999999,0.53,0.708,1.188234574067693e-7,3.108624468950438e-15,223.96800000000002,161.37999999999997
conterminous_usa_population_by_state_2020,5,2,2,0.437851,0.346390403223183,0.3855956345347141,0.5644,0.268,0.197,5.7551712839831743e-8,6.217248937900877e-15,273.229,136.78500000000003
croatia_covid_cases_by_county_2022,4,1,1,0.261069,0.1671254814129468,0.1683142731090099,0.44510000000000005,0.243,0.162,2.9243274468626623e-13,3.3306690738754704e-15,189.58599999999998,81.354
croatia_population_by_county_2021,7,1,1,0.293127,0.1454532313837971,0.1457786399291983,0.7443,0.186,0.11,1.6621537479721837e-10,1.77635683940025e-15,196.06300000000005,127.469
csv_ne50_antimeridian_minus169_brewer_pop,10,2,2,229.92,180.4938374894147,179.7608941341237,4.5073,0.752,1.0050000000000001,5.778305500747649e-9,5.164313421346378e-12,199.878,23.136000000000003
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,10,1,1,27.2867,21.13778547741535,21.36949688659621,3.7027,0.485,0.42400000000000004,3.2312875600948e-4,6.734615087822249e-10,143.581,12.455000000000004
egypt_population_by_governate_2017,10,8,8,0.697803,0.4089617594037753,0.43517041601003,2.1414999999999997,0.8859999999999998,0.597,1.823854878235665e-8,7.66053886991358e-15,215.5020000000001,149.39500000000004
