Map,F4Carto,5FCarto,Flow Based
Algeria Population by Wilaya (2022),0.224776,3.907985046680551e-14,2.220446049250313e-15
Australia Population by State and Territory (2021),0.554882,7.66053886991358e-15,1.9984014443252818e-15
Austria Population by State (2020),0.0853007,3.6637359812630166e-15,8.881784197001252e-16
Bahamas Population by District (2010),1.01236,2.83995049699115e-13,2.9198865547641623e-14
Belgium Population by Region (2022),0.0070389,4.440892098500626e-16,2.220446049250313e-16
Brazil Population by State (2021),0.211295,4.218847493575595e-15,2.997602166487923e-15
China Population by Province (2020),0.784266,2.557953848736361e-13,2.442490654175344e-15
Conterminous USA Population by State (2020),0.0299123,1.3655743202889432e-14,6.661338147750939e-15
Croatia Covid Cases by County (2022),0.0156588,1.598721155460225e-14,3.552713678800501e-15
Croatia Population by County (2021),0.0116063,7.438494264988549e-15,2.442490654175344e-15
Egypt Population by Governorate (2017),0.199794,2.464695114667848e-14,1.9984014443252818e-15
England Population by Region (2022),0.148786,8.881784197001252e-15,3.552713678800501e-15
European Union Population by Country (2021),0.186954,6.785683126508958e-13,2.51909604287448e-13
European Union Population by Region (2020),1.68921,3.4843794516348225e-11,9.919354226894939e-11
France Population by Metropolitan Region (2008),0.0104931,6.661338147750939e-16,1.332267629550188e-15
Germany Population by State (2011),0.149993,1.110223024625157e-15,1.221245327087672e-15
Indonesia Population by Province (2024),0.164449,7.549516567451064e-15,9.992007221626407e-15
Japan Population by Prefecture (2020),0.10768,2.2870594307278225e-14,1.3988810110276972e-14
Malaysia Population by State (2020),0.0545457,3.441691376337985e-15,3.552713678800501e-15
Metropolitan France Population by Département (2022),0.211913,4.551914400963142e-15,5.218048215738236e-15
Russia Population by Federal Subject (2010),1.09915,3.26405569239796e-14,3.3750779948604765e-14
Simplified Belgium Population by Region (2022),0.00785074,2.220446049250313e-16,8.881784197001252e-16
Singapore Population by Planning Area (2015),5.28365,2.491340467258852e-13,0.7747048816823643
Switzerland GDP by Canton (2019),0.027815,1.2843059948863809e-12,1.532107773982716e-14
Switzerland Population by Canton (2016),0.021864,7.860379014346108e-14,4.107825191113079e-15
Tunisia Population by Governorate (2014),0.0138493,3.108624468950438e-15,8.881784197001252e-16
USA Population by County (2021),4.04647,7.135854662720932e-08,8.01403581034501
USA Population by State (2020),0.215729,3.497202527569243e-14,1.4654943925052073e-14
Vietnam Population by Province (2019),0.122838,5.551115123125783e-15,6.661338147750939e-15
World Population by Country (2010),7.25603,7.630363008104267e-11,5.306866057708248e-14
World Population by Country and Region,56.69,6.68094468636582e-11,1.636468738297481e-13
World Population by Country and Region without Antarctica,7.17588,2.022246814448181e-10,8.637535131583719e-14
