mapname,F4Carto_min_relative_area_error_reached,F4Carto_n_iter,5FCarto_min_relative_area_error_reached,5FCarto_n_iter,flow_based_min_relative_area_error_reached,flow_based_n_iter
algeria_population_by_wilaya_2022,0.224776,34,6.59e-4,92,6.95e-4,49
australia_population_by_state_and_territory_2021,0.554882,17,7.27e-4,38,7.99e-4,36
austria_population_by_state_2020,0.0853007,78,2.82e-4,40,4.91e-4,28
bahamas_population_by_district_2010,1.01236,100,8.7e-4,97,8.83e-4,99
belgium_population_by_region_2022,0.0070389,51,3.77e-4,36,3.62e-4,39
brazil_population_by_state_2021,0.211295,27,6.9e-4,91,6.89e-4,94
china_population_by_province_2020,0.784266,21,6.95e-4,86,6.38e-4,60
concentric_circles,0.00563078,82,2.27e-4,53,2.3e-4,53
conterminous_usa_population_by_state_2020,0.0299123,87,6.23e-4,53,6.52e-4,38
croatia_covid_cases_by_county_2022,0.0156588,100,8.3e-4,41,5.82e-4,90
croatia_population_by_county_2021,0.0116063,100,4.83e-4,54,6.69e-4,96
csv_ne50_antimeridian_minus169_brewer_pop,56.69,100,0.001075,99,0.00108,87
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,7.17588,96,0.001096,98,0.001083,99
egypt_population_by_governate_2017,0.199794,100,9.35e-4,99,8.32e-4,91
england_population_by_region_2022,0.148786,20,2.64e-4,30,2.23e-4,33
france_population_by_metropolitan_region_2008,0.0104931,100,7.59e-4,23,7.75e-4,23
germany_population_by_state_2011,0.149993,93,6.07e-4,45,7.22e-4,71
indonesia_population_by_province_2024,0.164449,100,6.18e-4,85,7.69e-4,99
japan_population_by_prefecture_2020,0.10768,79,5.47e-4,97,5.63e-4,96
malaysia_population_by_state_2020,0.0545457,100,8.67e-4,83,5.52e-4,40
metropolitan_france_population_by_departement_2022,0.211913,82,6.51e-4,73,7.43e-4,85
NUTS_population_by_country_2021,0.186954,97,7.64e-4,99,6.8e-4,99
NUTS_population_by_region_2020,1.68921,26,9.18e-4,99,0.001317,93
russia_population_by_federal_subject_2010,1.09915,24,7.73e-4,86,8.45e-4,91
simplified_belgium_population_by_region_2022,0.00785074,74,4.52e-4,25,3.97e-4,29
singapore_population_by_planning_area_2015,5.28365,48,9.07e-4,99,0.109883,98
switzerland_gdp_in_billion_chf_by_canton_2019,0.027815,100,5.39e-4,53,6.24e-4,27
switzerland_population_by_canton_2016,0.021864,69,6.06e-4,77,7.08e-4,85
tunisia_population_by_governate_2014,0.0138493,97,6.22e-4,89,5.98e-4,28
usa_population_by_county_2021,4.04647,87,9.08e-4,98,1.183398,98
usa_population_by_state_2020,0.215729,100,9.42e-4,99,7.47e-4,99
vietnam_population_by_province_2019,0.122838,49,5.85e-4,99,6.79e-4,97
world_population_by_country_2010,7.25603,100,0.001016,96,9.77e-4,99
