Map,self-intersections,overlap intersections,algorithm
NUTS_population_by_country_2021,0,0,5fcarto
NUTS_population_by_region_2020,0,0,5fcarto
algeria_population_by_wilaya_2022,0,0,5fcarto
australia_population_by_state_and_territory_2021,0,0,5fcarto
austria_population_by_state_2020,0,0,5fcarto
bahamas_population_by_district_2010,0,0,5fcarto
belgium_population_by_region_2022,0,0,5fcarto
brazil_population_by_state_2021,0,0,5fcarto
china_population_by_province_2020,0,0,5fcarto
concentric_circles,0,0,5fcarto
conterminous_usa_population_by_state_2020,0,0,5fcarto
croatia_covid_cases_by_county_2022,0,0,5fcarto
croatia_population_by_county_2021,0,0,5fcarto
csv_ne50_antimeridian_minus169_brewer_pop,0,0,5fcarto
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,0,0,5fcarto
egypt_population_by_governate_2017,0,0,5fcarto
england_population_by_region_2022,0,0,5fcarto
france_population_by_metropolitan_region_2008,0,0,5fcarto
germany_population_by_state_2011,0,0,5fcarto
indonesia_population_by_province_2024,0,0,5fcarto
japan_population_by_prefecture_2020,0,0,5fcarto
malaysia_population_by_state_2020,0,0,5fcarto
metropolitan_france_population_by_departement_2022,0,0,5fcarto
russia_population_by_federal_subject_2010,0,0,5fcarto
simplified_belgium_population_by_region_2022,0,0,5fcarto
singapore_population_by_planning_area_2015,0,0,5fcarto
switzerland_gdp_in_billion_chf_by_canton_2019,0,0,5fcarto
switzerland_population_by_canton_2016,0,0,5fcarto
tunisia_population_by_governate_2014,0,0,5fcarto
usa_population_by_county_2021,0,0,5fcarto
usa_population_by_state_2020,0,0,5fcarto
vietnam_population_by_province_2019,0,0,5fcarto
world_population_by_country_2010,0,0,5fcarto
