Map,F4Carto_self-intersections,5FCarto_self-intersections,flow_based_self-intersections,F4Carto_overlap intersections,5FCarto_overlap intersections,flow_based_overlap intersections
Algeria Population by Wilaya (2022),0,0,0,212,0,0
Australia Population by State and Territory (2021),0,0,0,8,0,0
Austria Population by State (2020),0,0,0,46,0,0
Bahamas Population by District (2010),0,0,1,7,0,0
Belgium Population by Region (2022),0,0,0,8,0,0
Brazil Population by State (2021),0,0,0,79,0,0
China Population by Province (2020),0,0,7,260,0,5
Conterminous USA Population by State (2020),0,0,0,96,0,2
Croatia Covid Cases by County (2022),0,0,0,42,0,0
Croatia Population by County (2021),0,0,0,110,0,0
Egypt Population by Governorate (2017),0,0,51,621,0,29
England Population by Region (2022),0,0,3,15,0,0
European Union Population by Country (2021),0,0,0,123,0,0
European Union Population by Region (2020),0,0,48,375,0,39
France Population by Metropolitan Region (2008),0,0,0,35,0,0
Germany Population by State (2011),0,0,0,135,0,0
Indonesia Population by Province (2024),0,0,2,41,0,2
Japan Population by Prefecture (2020),0,0,0,24,0,0
Malaysia Population by State (2020),0,0,0,35,0,0
Metropolitan France Population by Département (2022),0,0,6,138,0,8
Russia Population by Federal Subject (2010),0,0,47,389,0,20
Simplified Belgium Population by Region (2022),0,0,2,13,0,6
Singapore Population by Planning Area (2015),0,0,271,483,0,693
Switzerland GDP by Canton (2019),0,0,0,91,0,0
Switzerland Population by Canton (2016),0,0,0,137,0,0
Tunisia Population by Governorate (2014),0,0,0,37,0,0
USA Population by County (2021),0,0,554,3434,0,2206
USA Population by State (2020),0,0,2,227,0,0
Vietnam Population by Province (2019),0,0,0,27,0,0
World Population by Country (2010),0,0,46,118,0,6
World Population by Country and Region,0,0,99,95,0,8
World Population by Country and Region without Antarctica,0,0,88,93,0,4
