Map,self-intersections,overlap intersections,algorithm
NUTS_population_by_country_2021,0,0,flow_based
NUTS_population_by_region_2020,51,15,flow_based
algeria_population_by_wilaya_2022,1,1,flow_based
australia_population_by_state_and_territory_2021,0,0,flow_based
austria_population_by_state_2020,0,0,flow_based
bahamas_population_by_district_2010,50,0,flow_based
belgium_population_by_region_2022,0,0,flow_based
brazil_population_by_state_2021,0,0,flow_based
china_population_by_province_2020,0,0,flow_based
concentric_circles,0,0,flow_based
conterminous_usa_population_by_state_2020,4,0,flow_based
croatia_covid_cases_by_county_2022,0,0,flow_based
croatia_population_by_county_2021,0,0,flow_based
csv_ne50_antimeridian_minus169_brewer_pop,45,2,flow_based
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,55,0,flow_based
egypt_population_by_governate_2017,30,34,flow_based
england_population_by_region_2022,6,0,flow_based
france_population_by_metropolitan_region_2008,0,0,flow_based
germany_population_by_state_2011,0,0,flow_based
indonesia_population_by_province_2024,2,2,flow_based
japan_population_by_prefecture_2020,0,0,flow_based
malaysia_population_by_state_2020,0,0,flow_based
metropolitan_france_population_by_departement_2022,16,14,flow_based
russia_population_by_federal_subject_2010,49,14,flow_based
simplified_belgium_population_by_region_2022,2,6,flow_based
singapore_population_by_planning_area_2015,336,872,flow_based
switzerland_gdp_in_billion_chf_by_canton_2019,2,6,flow_based
switzerland_population_by_canton_2016,0,0,flow_based
tunisia_population_by_governate_2014,2,0,flow_based
usa_population_by_county_2021,462,1795,flow_based
usa_population_by_state_2020,6,0,flow_based
vietnam_population_by_province_2019,0,0,flow_based
world_population_by_country_2010,20,1,flow_based
