map_name,self-intersections,overlap intersections
algeria_population_by_wilaya_2022_flow_based.geojson,2,0
australia_population_by_state_and_territory_2021_flow_based.geojson,0,0
austria_population_by_state_2020_flow_based.geojson,1,1
bahamas_population_by_district_2010_flow_based.geojson,48,0
belgium_population_by_region_2022_flow_based.geojson,0,0
brazil_population_by_state_2021_flow_based.geojson,0,0
china_population_by_province_2020_flow_based.geojson,0,0
conterminous_usa_population_by_state_2020_flow_based.geojson,0,0
croatia_covid_cases_by_county_2022_flow_based.geojson,0,0
croatia_population_by_county_2021_flow_based.geojson,0,0
csv_ne50_antimeridian_minus169_brewer_pop_flow_based.geojson,891,474
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_flow_based.geojson,237,55
egypt_population_by_governate_2017_flow_based.geojson,57,54
england_population_by_region_2022_flow_based.geojson,3,4
france_population_by_metropolitan_region_2008_flow_based.geojson,0,0
germany_population_by_state_2011_flow_based.geojson,0,0
indonesia_population_by_province_2024_flow_based.geojson,0,4
japan_population_by_prefecture_2020_flow_based.geojson,0,0
malaysia_population_by_state_2020_flow_based.geojson,2,0
metropolitan_france_population_by_departement_2022_flow_based.geojson,12,10
NUTS_population_by_country_2021_flow_based.geojson,0,0
NUTS_population_by_region_2020_flow_based.geojson,83,107
russia_population_by_federal_subject_2010_flow_based.geojson,88,43
simplified_belgium_population_by_region_2022_flow_based.geojson,0,2
singapore_population_by_planning_area_2015_flow_based.geojson,316,423
switzerland_gdp_in_billion_chf_by_canton_2019_flow_based.geojson,2,0
switzerland_population_by_canton_2016_flow_based.geojson,0,0
tunisia_population_by_governate_2014_flow_based.geojson,1,0
usa_population_by_county_2021_flow_based.geojson,195,323
usa_population_by_state_2020_flow_based.geojson,13,4
vietnam_population_by_province_2019_flow_based.geojson,0,0
world_population_by_country_2010_flow_based.geojson,92,72
