Map,frechet distance,hausdorff distance,symmetric difference,algorithm
algeria_population_by_wilaya_2022,0.934792,0.501379,0.97066,5fcarto
australia_population_by_state_and_territory_2021,0.524192,0.259133,0.563542,5fcarto
austria_population_by_state_2020,0.296781,0.22003,0.501715,5fcarto
bahamas_population_by_district_2010,1.23045,0.57739,1.1212,5fcarto
belgium_population_by_region_2022,0.325184,0.213421,0.350928,5fcarto
brazil_population_by_state_2021,0.599914,0.368603,0.707555,5fcarto
china_population_by_province_2020,0.549129,0.314369,0.67897,5fcarto
conterminous_usa_population_by_state_2020,0.479651,0.307485,0.580305,5fcarto
croatia_covid_cases_by_county_2022,0.464086,0.267717,0.592601,5fcarto
croatia_population_by_county_2021,0.385966,0.247292,0.524738,5fcarto
csv_ne50_antimeridian_minus169_brewer_pop,1.62302,0.521711,0.837738,5fcarto
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,0.886076,0.461833,0.782781,5fcarto
egypt_population_by_governate_2017,1.47662,0.491421,0.904518,5fcarto
england_population_by_region_2022,0.254712,0.188557,0.364474,5fcarto
france_population_by_metropolitan_region_2008,0.312133,0.221868,0.406167,5fcarto
germany_population_by_state_2011,0.25099,0.219229,0.468848,5fcarto
indonesia_population_by_province_2024,0.687141,0.382029,0.789518,5fcarto
japan_population_by_prefecture_2020,0.587769,0.326171,0.731264,5fcarto
malaysia_population_by_state_2020,0.549001,0.350054,0.628724,5fcarto
metropolitan_france_population_by_departement_2022,0.511035,0.306438,0.599497,5fcarto
NUTS_population_by_country_2021,0.328375,0.226385,0.50252,5fcarto
NUTS_population_by_region_2020,0.723876,0.42888,0.781216,5fcarto
russia_population_by_federal_subject_2010,0.958877,0.440465,0.925769,5fcarto
simplified_belgium_population_by_region_2022,0.45102,0.214037,0.345883,5fcarto
singapore_population_by_planning_area_2015,3.57707,0.704696,0.793645,5fcarto
switzerland_gdp_in_billion_chf_by_canton_2019,0.679705,0.369395,0.784296,5fcarto
switzerland_population_by_canton_2016,0.509393,0.330175,0.693259,5fcarto
tunisia_population_by_governate_2014,0.581122,0.368827,0.726115,5fcarto
usa_population_by_county_2021,1.07265,0.528266,0.860844,5fcarto
usa_population_by_state_2020,0.623618,0.33022,0.637101,5fcarto
vietnam_population_by_province_2019,0.436855,0.288079,0.610064,5fcarto
world_population_by_country_2010,0.894478,0.480546,0.814323,5fcarto
