base_map, altered_map,frechet distance,hausdorff distance,symmetric difference
NUTS_population_by_country_2021_input.geojson,NUTS_population_by_country_2021_5FCarto.geojson,0.358644,0.231337,0.505085
NUTS_population_by_region_2020_input.geojson,NUTS_population_by_region_2020_5FCarto.geojson,0.663343,0.424132,0.745151
algeria_population_by_wilaya_2022_input.geojson,algeria_population_by_wilaya_2022_5FCarto.geojson,1.00875,0.514912,1.0076
australia_population_by_state_and_territory_2021_input.geojson,australia_population_by_state_and_territory_2021_5FCarto.geojson,0.557723,0.271692,0.573807
austria_population_by_state_2020_input.geojson,austria_population_by_state_2020_5FCarto.geojson,0.305001,0.20587,0.490977
bahamas_population_by_district_2010_input.geojson,bahamas_population_by_district_2010_5FCarto.geojson,1.24355,0.488605,1.07383
belgium_population_by_region_2022_input.geojson,belgium_population_by_region_2022_5FCarto.geojson,0.332249,0.224165,0.36174
brazil_population_by_state_2021_input.geojson,brazil_population_by_state_2021_5FCarto.geojson,0.566957,0.358638,0.693655
china_population_by_province_2020_input.geojson,china_population_by_province_2020_5FCarto.geojson,0.549409,0.317145,0.692288
concentric_circles_input.geojson,concentric_circles_5FCarto.geojson,0.0289834,0.0255445,0.585792
conterminous_usa_population_by_state_2020_input.geojson,conterminous_usa_population_by_state_2020_5FCarto.geojson,0.519007,0.309698,0.589815
croatia_covid_cases_by_county_2022_input.geojson,croatia_covid_cases_by_county_2022_5FCarto.geojson,0.464677,0.274971,0.5764
croatia_population_by_county_2021_input.geojson,croatia_population_by_county_2021_5FCarto.geojson,0.385471,0.263987,0.532311
csv_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_ne50_antimeridian_minus169_brewer_pop_5FCarto.geojson,1.4223,0.478226,0.770966
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_input.geojson,csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_5FCarto.geojson,0.832656,0.460598,0.759723
egypt_population_by_governate_2017_input.geojson,egypt_population_by_governate_2017_5FCarto.geojson,1.44255,0.498667,0.911428
england_population_by_region_2022_input.geojson,england_population_by_region_2022_5FCarto.geojson,0.253805,0.19636,0.372124
france_population_by_metropolitan_region_2008_input.geojson,france_population_by_metropolitan_region_2008_5FCarto.geojson,0.334548,0.225653,0.430381
germany_population_by_state_2011_input.geojson,germany_population_by_state_2011_5FCarto.geojson,0.260796,0.21779,0.467167
indonesia_population_by_province_2024_input.geojson,indonesia_population_by_province_2024_5FCarto.geojson,0.659772,0.365034,0.753778
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_5FCarto.geojson,0.577297,0.331052,0.717964
malaysia_population_by_state_2020_input.geojson,malaysia_population_by_state_2020_5FCarto.geojson,0.537833,0.332257,0.593699
metropolitan_france_population_by_departement_2022_input.geojson,metropolitan_france_population_by_departement_2022_5FCarto.geojson,0.505944,0.297358,0.590425
russia_population_by_federal_subject_2010_input.geojson,russia_population_by_federal_subject_2010_5FCarto.geojson,0.934982,0.431298,0.92106
simplified_belgium_population_by_region_2022_input.geojson,simplified_belgium_population_by_region_2022_5FCarto.geojson,0.450943,0.20583,0.341624
singapore_population_by_planning_area_2015_input.geojson,singapore_population_by_planning_area_2015_5FCarto.geojson,3.5487,0.6088,0.863888
switzerland_gdp_in_billion_chf_by_canton_2019_input.geojson,switzerland_gdp_in_billion_chf_by_canton_2019_5FCarto.geojson,0.697106,0.381924,0.822459
switzerland_population_by_canton_2016_input.geojson,switzerland_population_by_canton_2016_5FCarto.geojson,0.530342,0.341042,0.715888
tunisia_population_by_governate_2014_input.geojson,tunisia_population_by_governate_2014_5FCarto.geojson,0.594428,0.35596,0.705505
usa_population_by_county_2021_input.geojson,usa_population_by_county_2021_5FCarto.geojson,0.948252,0.545353,0.805317
usa_population_by_state_2020_input.geojson,usa_population_by_state_2020_5FCarto.geojson,0.630042,0.313539,0.623695
vietnam_population_by_province_2019_input.geojson,vietnam_population_by_province_2019_5FCarto.geojson,0.425696,0.274022,0.594797
world_population_by_country_2010_input.geojson,world_population_by_country_2010_5FCarto.geojson,0.893077,0.480014,0.792703
